taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
7969485	Rhynchelmis croatanensis Fend & Lenat, 2010	7969485	Rhynchelmis croatanensis Fend & Lenat, 2010	5	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Rhynchelmis	2307973	Rhynchelmis croatanensis	7969485	
9857001	BOLD:ACQ6138	9857001	BOLD:ACQ6138	1	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lamprodrilus	5194009	Lamprodrilus melanotus	9043909	
4411008	Trichodrilus intermedius (Fauvel, 1903)	4411008	Trichodrilus intermedius (Fauvel, 1903)	1	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Trichodrilus	2307987	Trichodrilus intermedius	4411008	
2308001	Eclipidrilus daneus Cook, 1966	2308001	Eclipidrilus daneus Cook, 1966	28	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Eclipidrilus	2308000	Eclipidrilus daneus	2308001	
6964	Lumbriculidae	6964	Lumbriculidae	10701	FAMILY	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964					
4410980	Trichodrilus capilliformis Rodriguez & Giani, 1994	4410980	Trichodrilus capilliformis Rodriguez & Giani, 1994	5	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Trichodrilus	2307987	Trichodrilus capilliformis	4410980	
10244972	BOLD:ACW0044	10244972	BOLD:ACW0044	3	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964					
8168358	Rhynchelmis klamathensis Fend, 2014	8168358	Rhynchelmis klamathensis Fend, 2014	13	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Rhynchelmis	2307973	Rhynchelmis klamathensis	8168358	
9108604	Wsewolodus mixtus Semernoy, 2004	9108604	Wsewolodus mixtus Semernoy, 2004	4	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Wsewolodus	4812148	Wsewolodus mixtus	9108604	
9726244	Euaxes filirostris Grube, 1844	2307981	Rhynchelmis limosella Hoffmeister, 1843	3	SPECIES	SYNONYM	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Rhynchelmis	2307973	Rhynchelmis limosella	2307981	
9906078	BOLD:ACP9935	9906078	BOLD:ACP9935	1	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Kincaidiana	2307982	Kincaidiana hexatheca	2307983	
10259284	Euaxes baicalensis Grube, 1873	9254689	Teleuscolex baicalensis (Grube, 1873)	1	SPECIES	SYNONYM	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Teleuscolex	4812150	Teleuscolex baicalensis	9254689	
2308006	Eclipidrilus fontanus Wassel, 1984	2308006	Eclipidrilus fontanus Wassel, 1984	7	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Eclipidrilus	2308000	Eclipidrilus fontanus	2308006	
4411018	Bythonomus Grube, 1880	2308011	Stylodrilus Claparède, 1862	11	GENUS	SYNONYM	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Stylodrilus	2308011			
8949915	Altmanella lenati Fend, 2009	8949915	Altmanella lenati Fend, 2009	10	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Altmanella	4812146	Altmanella lenati	8949915	
10322628	BOLD:ACQ1873	10322628	BOLD:ACQ1873	1	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Rhynchelmis	2307973			
9582977	Styloscolex macer Sokolskaya, 1976	9582977	Styloscolex macer Sokolskaya, 1976	2	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Styloscolex	2307967	Styloscolex macer	9582977	
4410994	Trichodrilus claparedei Hrabĕ, 1938	4410994	Trichodrilus claparedei Hrabĕ, 1938	2	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Trichodrilus	2307987	Trichodrilus claparedei	4410994	
8735681	Phagodrilus macnabi McKey-Fender, 1988	8735681	Phagodrilus macnabi McKey-Fender, 1988	6	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Phagodrilus	4812143	Phagodrilus macnabi	8735681	
9245549	Kincaidiana smithi Fend & Rodriguez, 2017	9245549	Kincaidiana smithi Fend & Rodriguez, 2017	6	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Kincaidiana	2307982	Kincaidiana smithi	9245549	
10416280	BOLD:AAJ8441	10416280	BOLD:AAJ8441	1	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Trichodrilus	2307987			
4812146	Altmanella Fend, 2009	4812146	Altmanella Fend, 2009	5	GENUS	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Altmanella	4812146			
9900299	Lamprodrilus satyriscus tetratheca Michaelsen, 1905	9900299	Lamprodrilus satyriscus tetratheca Michaelsen, 1905	7	SUBSPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lamprodrilus	5194009	Lamprodrilus satyriscus	9190377	
2308017	Tatriella slovenica Hrabĕ, 1939	2308017	Tatriella slovenica Hrabĕ, 1939	50	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Tatriella	2308016	Tatriella slovenica	2308017	
5194010	Lamprodrilus wagneri Michaelsen, 1901	5194010	Lamprodrilus wagneri Michaelsen, 1901	44	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lamprodrilus	5194009	Lamprodrilus wagneri	5194010	
10171657	BOLD:ACQ1872	10171657	BOLD:ACQ1872	1	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Rhynchelmis	2307973	Rhynchelmis gustafsoni	8768375	
4411001	Trichodrilus angelieri Giani & Rodriguez, 1994	4411001	Trichodrilus angelieri Giani & Rodriguez, 1994	5	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Trichodrilus	2307987	Trichodrilus angelieri	4411001	
10302664	BOLD:ACQ5064	10302664	BOLD:ACQ5064	14	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Rhynchelmis	2307973	Rhynchelmis alyonae	9131367	
9306783	Stylodrilus suputensis Timm, 1995	9306783	Stylodrilus suputensis Timm, 1995	1	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Stylodrilus	2308011	Stylodrilus suputensis	9306783	
2308018	Lumbriculus Grube, 1844	2308018	Lumbriculus Grube, 1844	730	GENUS	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lumbriculus	2308018			
10388290	Lamprodrilus satyriscus ditheca Michaelsen, 1901	10388290	Lamprodrilus satyriscus ditheca Michaelsen, 1901	9	SUBSPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lamprodrilus	5194009	Lamprodrilus satyriscus	9190377	
10764009	BOLD:AEC5767	10764009	BOLD:AEC5767	2	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964					
7727318	Lamprodrilus isoporus Michaelsen, 1901	7727318	Lamprodrilus isoporus Michaelsen, 1901	212	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lamprodrilus	5194009	Lamprodrilus isoporus	7727318	
2307973	Rhynchelmis Hoffmeister, 1843	2307973	Rhynchelmis Hoffmeister, 1843	93	GENUS	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Rhynchelmis	2307973			
