FID,species,latitude,longitude,datasource,OBJECTID
3747,Aporrectodea caliginosa,51.079219999999999,10.448750000000000,sWorm,3748
3749,Aporrectodea caliginosa,51.115220000000001,10.453279999999999,sWorm,3750
3750,Aporrectodea caliginosa,51.076839999999997,10.406040000000001,sWorm,3751
3751,Aporrectodea caliginosa,51.092410000000001,10.496880000000001,sWorm,3752
3752,Aporrectodea caliginosa,51.061599999999999,10.412240000000001,sWorm,3753
3753,Aporrectodea caliginosa,51.061860000000003,10.455120000000001,sWorm,3754
3755,Aporrectodea caliginosa,51.075809999999997,10.463170000000000,sWorm,3756
3756,Aporrectodea caliginosa,51.086750000000002,10.477060000000000,sWorm,3757
3759,Aporrectodea caliginosa,51.107250000000001,10.465170000000001,sWorm,3760
3760,Aporrectodea caliginosa,51.070340000000002,10.457599999999999,sWorm,3761
3761,Aporrectodea caliginosa,51.096589999999999,10.405350000000000,sWorm,3762
3765,Aporrectodea caliginosa,51.076960000000000,10.414600000000000,sWorm,3766
3767,Aporrectodea caliginosa,51.083350000000003,10.491450000000000,sWorm,3768
3768,Aporrectodea caliginosa,51.094029999999997,10.509080000000001,sWorm,3769
3769,Aporrectodea caliginosa,51.105670000000003,10.410750000000000,sWorm,3770
3771,Aporrectodea caliginosa,51.090840000000000,10.514040000000000,sWorm,3772
3772,Aporrectodea caliginosa,51.080190000000002,10.525790000000001,sWorm,3773
3775,Aporrectodea caliginosa,51.088700000000003,10.488429999999999,sWorm,3776
3777,Aporrectodea caliginosa,51.066229999999997,10.417809999999999,sWorm,3778
3778,Aporrectodea caliginosa,51.087280000000000,10.516990000000000,sWorm,3779
3780,Aporrectodea caliginosa,51.097239999999999,10.453870000000000,sWorm,3781
3781,Aporrectodea caliginosa,51.085610000000003,10.525620000000000,sWorm,3782
3784,Aporrectodea caliginosa,51.094439999999999,10.513920000000001,sWorm,3785
3785,Aporrectodea caliginosa,51.077730000000003,10.471670000000000,sWorm,3786
3786,Aporrectodea caliginosa,51.102069999999998,10.410860000000000,sWorm,3787
3788,Aporrectodea caliginosa,51.083329999999997,10.488600000000000,sWorm,3789
3789,Aporrectodea caliginosa,51.081429999999997,10.480090000000001,sWorm,3790
3792,Aporrectodea caliginosa,51.060569999999998,10.398050000000000,sWorm,3793
3794,Aporrectodea caliginosa,51.079709999999999,10.488750000000000,sWorm,3795
3796,Aporrectodea caliginosa,51.062359999999998,10.551150000000000,sWorm,3797
3798,Aporrectodea caliginosa,51.097099999999998,10.442480000000000,sWorm,3799
3799,Aporrectodea caliginosa,51.098140000000001,10.385310000000000,sWorm,3800
3802,Aporrectodea caliginosa,51.070439999999998,10.466180000000000,sWorm,3803
3805,Aporrectodea rosea,51.094029999999997,10.509080000000001,sWorm,3806
3806,Aporrectodea rosea,51.070340000000002,10.457599999999999,sWorm,3807
3808,Aporrectodea rosea,51.083350000000003,10.491450000000000,sWorm,3809
3809,Aporrectodea rosea,51.076839999999997,10.406040000000001,sWorm,3810
3810,Aporrectodea rosea,51.092410000000001,10.496880000000001,sWorm,3811
3812,Aporrectodea rosea,51.087280000000000,10.516990000000000,sWorm,3813
3813,Aporrectodea rosea,51.115220000000001,10.453279999999999,sWorm,3814
3815,Aporrectodea rosea,51.080190000000002,10.525790000000001,sWorm,3816
3816,Aporrectodea rosea,51.079219999999999,10.448750000000000,sWorm,3817
3817,Aporrectodea rosea,51.060560000000002,10.411700000000000,sWorm,3818
3818,Aporrectodea rosea,51.079709999999999,10.488750000000000,sWorm,3819
3820,Aporrectodea rosea,51.066229999999997,10.417809999999999,sWorm,3821
3821,Aporrectodea rosea,51.105670000000003,10.410750000000000,sWorm,3822
3822,Aporrectodea rosea,51.102069999999998,10.410860000000000,sWorm,3823
3823,Aporrectodea rosea,51.086750000000002,10.477060000000000,sWorm,3824
3824,Aporrectodea rosea,51.081429999999997,10.480090000000001,sWorm,3825
3825,Aporrectodea rosea,51.098140000000001,10.385310000000000,sWorm,3826
3826,Aporrectodea rosea,51.077730000000003,10.471670000000000,sWorm,3827
3827,Aporrectodea rosea,51.091090000000001,10.499689999999999,sWorm,3828
3828,Aporrectodea rosea,51.076960000000000,10.414600000000000,sWorm,3829
3829,Aporrectodea rosea,51.060569999999998,10.398050000000000,sWorm,3830
3830,Aporrectodea rosea,51.097239999999999,10.453870000000000,sWorm,3831
3831,Aporrectodea rosea,51.061599999999999,10.412240000000001,sWorm,3832
3832,Aporrectodea rosea,51.097099999999998,10.442480000000000,sWorm,3833
3833,Aporrectodea rosea,51.064579999999999,10.422900000000000,sWorm,3834
3839,Dendrobaena pygmaea,51.068190000000001,10.429169999999999,sWorm,3840
3840,Dendrobaena pygmaea,51.098140000000001,10.385310000000000,sWorm,3841
3853,Dendrobaena octaedra,51.092410000000001,10.496880000000001,sWorm,3854
3866,Dendrobaena octaedra,51.087280000000000,10.516990000000000,sWorm,3867
3869,Dendrobaena octaedra,51.107250000000001,10.465170000000001,sWorm,3870
3895,Dendrobaena octaedra,51.091090000000001,10.499689999999999,sWorm,3896
3897,Dendrobaena octaedra,51.088700000000003,10.488429999999999,sWorm,3898
3903,Dendrobaena octaedra,51.097239999999999,10.453870000000000,sWorm,3904
3904,Dendrobaena octaedra,51.094029999999997,10.509080000000001,sWorm,3905
3914,Dendrobaena octaedra,51.064579999999999,10.422900000000000,sWorm,3915
3919,Dendrobaena octaedra,51.062359999999998,10.551150000000000,sWorm,3920
3922,Dendrodrilus rubidus,51.085610000000003,10.525620000000000,sWorm,3923
3924,Dendrodrilus rubidus,51.107250000000001,10.465170000000001,sWorm,3925
3929,Dendrodrilus rubidus,51.062359999999998,10.551150000000000,sWorm,3930
3935,Dendrodrilus rubidus,51.088700000000003,10.488429999999999,sWorm,3936
3946,Lumbricus castaneus,51.115220000000001,10.453279999999999,sWorm,3947
3947,Lumbricus castaneus,51.094439999999999,10.513920000000001,sWorm,3948
3948,Lumbricus castaneus,51.081429999999997,10.480090000000001,sWorm,3949
3949,Lumbricus castaneus,51.077730000000003,10.471670000000000,sWorm,3950
3950,Lumbricus castaneus,51.087280000000000,10.516990000000000,sWorm,3951
3951,Lumbricus castaneus,51.079709999999999,10.488750000000000,sWorm,3952
3952,Lumbricus castaneus,51.107250000000001,10.465170000000001,sWorm,3953
3953,Lumbricus castaneus,51.080190000000002,10.525790000000001,sWorm,3954
3954,Lumbricus castaneus,51.070290000000000,10.454780000000000,sWorm,3955
3955,Lumbricus castaneus,51.079219999999999,10.448750000000000,sWorm,3956
3956,Lumbricus castaneus,51.075809999999997,10.463170000000000,sWorm,3957
3957,Lumbricus castaneus,51.062359999999998,10.551150000000000,sWorm,3958
3958,Lumbricus castaneus,51.085610000000003,10.525620000000000,sWorm,3959
3959,Lumbricus castaneus,51.070439999999998,10.466180000000000,sWorm,3960
3960,Lumbricus castaneus,51.091090000000001,10.499689999999999,sWorm,3961
3961,Lumbricus castaneus,51.086750000000002,10.477060000000000,sWorm,3962
3962,Lumbricus castaneus,51.090840000000000,10.514040000000000,sWorm,3963
3963,Lumbricus castaneus,51.097239999999999,10.453870000000000,sWorm,3964
3964,Lumbricus castaneus,51.061860000000003,10.455120000000001,sWorm,3965
3965,Lumbricus castaneus,51.064579999999999,10.422900000000000,sWorm,3966
3967,Lumbricus rubellus,51.079219999999999,10.448750000000000,sWorm,3968
3984,Lumbricus rubellus,51.077730000000003,10.471670000000000,sWorm,3985
3990,Lumbricus rubellus,51.079709999999999,10.488750000000000,sWorm,3991
3995,Lumbricus rubellus,51.085610000000003,10.525620000000000,sWorm,3996
4000,Lumbricus rubellus,51.094439999999999,10.513920000000001,sWorm,4001
4002,Lumbricus rubellus,51.070439999999998,10.466180000000000,sWorm,4003
4004,Lumbricus terrestris,51.115220000000001,10.453279999999999,sWorm,4005
4007,Lumbricus terrestris,51.092410000000001,10.496880000000001,sWorm,4008
4009,Lumbricus terrestris,51.107250000000001,10.465170000000001,sWorm,4010
4010,Lumbricus terrestris,51.070439999999998,10.466180000000000,sWorm,4011
4011,Lumbricus terrestris,51.094439999999999,10.513920000000001,sWorm,4012
4012,Lumbricus terrestris,51.079219999999999,10.448750000000000,sWorm,4013
4013,Lumbricus terrestris,51.087280000000000,10.516990000000000,sWorm,4014
4016,Lumbricus terrestris,51.070340000000002,10.457599999999999,sWorm,4017
4018,Lumbricus terrestris,51.090840000000000,10.514040000000000,sWorm,4019
4019,Lumbricus terrestris,51.060569999999998,10.398050000000000,sWorm,4020
4020,Lumbricus terrestris,51.086750000000002,10.477060000000000,sWorm,4021
4021,Lumbricus terrestris,51.075809999999997,10.463170000000000,sWorm,4022
4022,Lumbricus terrestris,51.061860000000003,10.455120000000001,sWorm,4023
4023,Lumbricus terrestris,51.077730000000003,10.471670000000000,sWorm,4024
4024,Lumbricus terrestris,51.079709999999999,10.488750000000000,sWorm,4025
4036,Octolasion lacteum,51.094029999999997,10.509080000000001,sWorm,4037
4037,Octolasion lacteum,51.115220000000001,10.453279999999999,sWorm,4038
4041,Octolasion lacteum,51.102069999999998,10.410860000000000,sWorm,4042
4042,Octolasion lacteum,51.097239999999999,10.453870000000000,sWorm,4043
4043,Octolasion lacteum,51.081429999999997,10.480090000000001,sWorm,4044
4044,Octolasion lacteum,51.076839999999997,10.406040000000001,sWorm,4045
4046,Octolasion lacteum,51.098140000000001,10.385310000000000,sWorm,4047
4052,Octolasion lacteum,51.070439999999998,10.466180000000000,sWorm,4053
4053,Octolasion lacteum,51.077730000000003,10.471670000000000,sWorm,4054
4054,Octolasion lacteum,51.094439999999999,10.513920000000001,sWorm,4055
4055,Octolasion lacteum,51.105670000000003,10.410750000000000,sWorm,4056
4056,Octolasion lacteum,51.080190000000002,10.525790000000001,sWorm,4057
4057,Octolasion lacteum,51.096589999999999,10.405350000000000,sWorm,4058
4058,Octolasion lacteum,51.083350000000003,10.491450000000000,sWorm,4059
4059,Octolasion lacteum,51.061599999999999,10.412240000000001,sWorm,4060
4061,Octolasion lacteum,51.064579999999999,10.422900000000000,sWorm,4062
4062,Octolasion lacteum,51.091090000000001,10.499689999999999,sWorm,4063
4063,Octolasion lacteum,51.060560000000002,10.411700000000000,sWorm,4064
4064,Octolasion lacteum,51.092410000000001,10.496880000000001,sWorm,4065
4065,Octolasion lacteum,51.060569999999998,10.398050000000000,sWorm,4066
4066,Octolasion lacteum,51.070290000000000,10.454780000000000,sWorm,4067
4067,Octolasion lacteum,51.061860000000003,10.455120000000001,sWorm,4068
4068,Octolasion lacteum,51.068190000000001,10.429169999999999,sWorm,4069
4069,Octolasion lacteum,51.087280000000000,10.516990000000000,sWorm,4070
4070,Octolasion lacteum,51.066229999999997,10.417809999999999,sWorm,4071
