ID,MTB,SMTB,TKBUNDESLA,X,Y
15,916,List (Sylt),Schleswig-Holstein,8.415674342,55.04827256
70,1015,Westerland (Sylt),Schleswig-Holstein,8.249035914,54.94828357
71,1016,Kampen (Sylt),Schleswig-Holstein,8.415675213,54.94828403
72,1017,Rodenäs,Schleswig-Holstein,8.582314515,54.94828453
73,1018,Hoyer,Schleswig-Holstein,8.748953819,54.94828506
74,1019,Tondern,Schleswig-Holstein,8.915593127,54.94828564
126,1115,Rantum (Sylt),Schleswig-Holstein,8.249036712,54.84829504
127,1116,Morsum (Sylt),Schleswig-Holstein,8.415676079,54.8482955
128,1117,Friedr.-Wilh-Lübke-Koog,Schleswig-Holstein,8.582315448,54.84829599
129,1118,Neukirchen,Schleswig-Holstein,8.74895482,54.84829653
130,1119,Süderlügum,Schleswig-Holstein,8.915594196,54.8482971
131,1120,Ladelund,Schleswig-Holstein,9.082233574,54.84829771
132,1121,Medelby,Schleswig-Holstein,9.248872957,54.84829836
133,1122,Flensburg (Nord),Schleswig-Holstein,9.415512343,54.84829904
134,1123,Glücksburg,Schleswig-Holstein,9.582151733,54.84829977
135,1124,Westerholz,Schleswig-Holstein,9.748791127,54.84830053
182,1215,Hömum (Sylt),Schleswig-Holstein,8.249037505,54.7483065
183,1216,Borgsum,Schleswig-Holstein,8.415676939,54.74830696
184,1217,Midlum (Föhr),Schleswig-Holstein,8.582316376,54.74830746
185,1218,Niebüll,Schleswig-Holstein,8.748955816,54.74830799
186,1219,Leck,Schleswig-Holstein,8.915595258,54.74830857
187,1220,Achtrup,Schleswig-Holstein,9.082234704,54.74830918
188,1221,Wallsbüll,Schleswig-Holstein,9.248874154,54.74830982
189,1222,Flensburg (Süd),Schleswig-Holstein,9.415513607,54.74831051
190,1223,Husby,Schleswig-Holstein,9.582153064,54.74831123
191,1224,Sterup,Schleswig-Holstein,9.748792526,54.74831199
192,1225,Gelting/Oehe,Schleswig-Holstein,9.915431992,54.74831279
193,1226,Gelting/Oehe,Schleswig-Holstein,10.08207146,54.74831362
238,1315,Kniepsand (Amrum),Schleswig-Holstein,8.249038294,54.64831797
239,1316,Nieblum (Föhr),Schleswig-Holstein,8.415677795,54.64831843
240,1317,Wyk (Föhr),Schleswig-Holstein,8.582317298,54.64831893
241,1318,Ockholm,Schleswig-Holstein,8.748956805,54.64831946
242,1319,Bredstedt,Schleswig-Holstein,8.915596315,54.64832003
243,1320,Drelsdorf,Schleswig-Holstein,9.082235827,54.64832064
244,1321,Jörl,Schleswig-Holstein,9.248875344,54.64832129
245,1322,Eggebek,Schleswig-Holstein,9.415514864,54.64832197
246,1323,Satrup,Schleswig-Holstein,9.582154388,54.64832269
247,1324,Süderbrarup,Schleswig-Holstein,9.748793916,54.64832345
248,1325,Kappeln,Schleswig-Holstein,9.915433449,54.64832425
249,1326,Schönhagen,Schleswig-Holstein,10.08207299,54.64832508
268,1345,Wiek,Mecklenburg-Vorpommern,13.24822548,54.64834832
269,1346,Altenkirchen,Mecklenburg-Vorpommern,13.41486518,54.64834998
296,1417,Pellworm,Schleswig-Holstein,8.582318216,54.54833039
297,1418,Nordstrandischmoor,Schleswig-Holstein,8.748957789,54.54833093
298,1419,Wobbenbüll,Schleswig-Holstein,8.915597365,54.5483315
299,1420,Hattstedt,Schleswig-Holstein,9.082236944,54.54833211
300,1421,Viöl,Schleswig-Holstein,9.248876527,54.54833275
301,1422,Jübek,Schleswig-Holstein,9.415516113,54.54833344
302,1423,Schleswig,Schleswig-Holstein,9.582155704,54.54833416
303,1424,Brodersby,Schleswig-Holstein,9.748795299,54.54833491
304,1425,Holzdorf,Schleswig-Holstein,9.915434898,54.54833571
305,1426,Dorotheental,Schleswig-Holstein,10.0820745,54.54833654
311,1432,Westermarkelsdorf,Schleswig-Holstein,11.08191224,54.54834232
312,1433,Puttgarden,Schleswig-Holstein,11.24855188,54.54834342
323,1444,Insel Hiddensee,Mecklenburg-Vorpommern,13.0815885,54.54835815
324,1445,Trent,Mecklenburg-Vorpommern,13.24822825,54.54835976
325,1446,Glowe,Mecklenburg-Vorpommern,13.41486802,54.54836142
326,1447,Sassnitz,Mecklenburg-Vorpommern,13.58150781,54.54836314
352,1517,Süderoog,Schleswig-Holstein,8.582319128,54.44834186
353,1518,Südfall,Schleswig-Holstein,8.748958767,54.44834239
354,1519,Simonsberg,Schleswig-Holstein,8.915598409,54.44834297
355,1520,Husum,Schleswig-Holstein,9.082238054,54.44834357
356,1521,Ostenfeld (bei Husum),Schleswig-Holstein,9.248877703,54.44834422
357,1522,Hollingstedt,Schleswig-Holstein,9.415517356,54.4483449
358,1523,Kropp,Schleswig-Holstein,9.582157012,54.44834562
