File_name,Folder_path,Date_of_creation,Creator,Created_by_software,Date_last_change,Description,Content,Version_info,Related_files,Associated_publication
SppOccData_sWorm_v2.csv,I:\eie\==PERSONAL\RZ SoilBON\SoilBiodiversity\data,?,Helen Phillips (sWorm),?,2021-06-14,Species occurrences from sWorm with site names,Sample ID. Species and family name. Abundance with unit. Ecological group.,?,SiteData_sWorm_v2.csv,Phillips et al. (2019). Global distribution of earthworm diversity. Science. 366(6464). 480-485.
SiteData_sWorm_v2.csv,I:\eie\==PERSONAL\RZ SoilBON\SoilBiodiversity\data,?,Helen Phillips (sWorm),?,2021-06-14,Coordinated associated with species occurrences from sWorm,Sample ID. Observation vs Experiment. Decimal longitude and latitude.,?,SppOccData_sWorm_v2.csv,Phillips et al. (2019). Global distribution of earthworm diversity. Science. 366(6464). 480-485.
GBIF_Earthworms_combined.csv,I:\eie\==PERSONAL\RZ SoilBON\SoilBiodiversity\data,2021-08-18,Romy Zeiss,R,2021-06-19,Output of combining all earthworm species grids created with ArcGIS,Species. Decimal coordinates. Family. Datasource (GBIF). Country code.,NOT used anymore. Instead GBIF data with DOI for whole group Crassiclitellata - but not species-separated downloads.,occurrence.txt from folder I:\eie\==PERSONAL\Macroecology\Students\Jessica\Grid\GBIF_Data,none
,I:\eie\==PERSONAL\RZ SoilBON\SoilBiodiversity\data,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from GBIF:,,,,,,,,,,
,,,,,,,,,,
"see ""I:/eie/==PERSONAL/Macroecology/Students/Jessica/Grid/GBIF_Data""",,,,,,,,,,
GBIF_Earthworms_combined.csv - output after combining all earthworm species,,,,,,,,,,
,,,,,,,,,,
0060665-210914110416597,,,,,,,,,,
"Data downloaded from GBIF (Lumbricidae), received from CG",,,,,,,,,,
,,,,,,,,,,
0060661-210914110416597,,,,,,,,,,
Species names from GBIF corresponding to the similarly named data file,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from Edaphobase:,,,,,,,,,,
,,,,,,,,,,
Edaphobase_download_24-Feb-2021_Lumbricidae_Europe.csv,,,,,,,,,,
(manually changed ö/ä/ü/ß into oe/ae/ue/ss),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Combined data:,,,,,,,,,,
,,,,,,,,,,
Earthworm_occurrence_GBIF_sWorm_Edaphobase.csv,,,,,,,,,,
Earthworm_occurrence_Germany.txt - only points that intersect with German shapefile,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Shapefiles as base maps:,,,,,,,,,,
,,,,,,,,,,
Shapefile_Germany,,,,,,,,,,
...,,,,,,,,,,
,,,,,,,,,,
World_Countries_Boundaries,,,,,,,,,,
Downloaded from ArcGIS,,,,,,,,,,
,,,,,,,,,,
Europe_coastline,,,,,,,,,,
Downloaded from EEA,,,,,,,,,,
,,,,,,,,,,
Europe_Coastline_Polygon,,,,,,,,,,
Downloaded from EEA,,,,,,,,,,
https://www.eea.europa.eu/data-and-maps/data/eea-coastline-for-analysis-2/gis-data/eea-coastline-polygon,,,,,,,,,,
,,,,,,,,,,
WDPA_WDOECM_Dec2021_Public_EU_ship.zip,,,,,,,,,,
"Protected Areas in Europe with categorization (effectivity). Download 22.12.2021, 17:34.",,,,,,,,,,
