ID,Observational,Latitude_decimal_degrees,Longitude_decimal_degrees
000_Akulova2017_Komi_Reg_Priluz_1,Experimental,60.339,49.568
000_Akulova2017_Komi_Reg_Priluz_2,Experimental,60.341,49.591
000_Akulova2017_Komi_Reg_Sysol_1,Experimental,60.952,49.461
000_Akulova2017_Komi_Reg_Sysol_2,Experimental,60.956,49.437
000_Akulova2017_Komi_Reg_Sysol_3,Experimental,60.954,49.448
000_Akulova2017_Komi_Reg_Ust_Vym_1,Experimental,62.372,50.102
000_Akulova2017_Komi_Reg_Ust_Vym_2,Experimental,62.36,50.05
000_Akulova2017_Komi_Reg_Ust_Vym_3,Experimental,62.36,50.05
000_Akulova2017_Komi_Reg_Ust_Vym_4,Experimental,62.36,50.05
000_Akulova2017_Komi_Reg_Ust_Vym_5,Experimental,62.36,50.05
000_Akulova2017_Komi_Reg_Ust_Vym_6,Experimental,62.355,50.092
000_Akulova2017_Komi_Reg_Sykt_1,Experimental,61,50
000_Akulova2017_Komi_Reg_Sykt_2,Experimental,61,50
000_Akulova2017_Komi_Reg_Sykt_3,Experimental,61,50
000_Akulova2017_Komi_Reg_Sykt_4,Experimental,61,50
000_Akulova2017_Komi_Reg_Sykt_5,Experimental,61,50
000_Akulova2017_Komi_Reg_Sykt_6,Experimental,61.7,50.8
000_Akulova2017_Komi_Reg_Sykt_7,Experimental,61.7,50.8
000_Akulova2017_Komi_Reg_Sykt_8,Experimental,61.7,50.8
000_Akulova2017_Komi_Reg_Sykt_9,Experimental,61.7,50.8
000_Akulova2017_Komi_Reg_Sykt_10,Experimental,61.943,50.739
000_Akulova2017_Komi_Reg_Kortker_1,Experimental,61.83,51.8
000_Akulova2017_Komi_Reg_Kortker_2,Experimental,61.83,51.8
000_Akulova2017_Komi_Reg_Kortker_3,Experimental,61.83,51.8
000_Akulova2017_Komi_Reg_Kortker_4,Experimental,61.83,51.8
000_Akulova2017_Komi_Reg_Ust_Kul_1,Experimental,61.597,54.799
000_Akulova2017_Komi_Reg_Ust_Kul_2,Experimental,61.598,54.794
000_Akulova2017_Komi_Reg_Ust_Kul_3,Experimental,61.601,54.798
000_Akulova2017_Komi_Reg_Ust_Kul_4,Experimental,62.378,53.793
000_Akulova2017_Komi_Reg_Udor_1,Experimental,63.428,48.679
000_Akulova2017_Komi_Reg_Udor_2,Experimental,63.42,48.65
000_Akulova2017_Komi_Reg_Knyazh_1,Experimental,62.28,50.68
000_Akulova2017_Komi_Reg_Sosnogorsk_1,Experimental,63,55
000_Akulova2017_Komi_Reg_Sosnogorsk_2,Experimental,63,55
000_Akulova2017_Komi_Reg_Sosnogorsk_3,Experimental,63,55
000_Akulova2017_Komi_Reg_Sosnogorsk_4,Experimental,63,55
000_Akulova2017_Komi_Reg_Sosnogorsk_5,Experimental,63,55
000_Akulova2017_Komi_Reg_Sosnogorsk_6,Experimental,63,55
000_Akulova2017_Komi_Reg_Sosnogorsk_7,Experimental,63,55
000_Akulova2017_Komi_Reg_Sosnogorsk_8,Experimental,63,55
000_Akulova2017_Komi_Reg_Sosnogorsk_9,Experimental,63,55
000_Akulova2017_Komi_Reg_Sosnogorsk_10,Experimental,63,55
000_Akulova2017_Komi_Reg_Sosnogorsk_11,Experimental,63,55
000_Akulova2017_Komi_Reg_Sosnogorsk_12,Experimental,63,55
000_Akulova2017_Komi_Reg_Sosnogorsk_13,Experimental,63,55
000_Akulova2017_Komi_Reg_Tr_Pechor_1,Experimental,61.61,58.002
000_Akulova2017_Komi_Reg_Tr_Pechor_2,Experimental,61.61,58.002
000_Akulova2017_Komi_Reg_Tr_Pechor_3,Experimental,61.61,58.002
000_Akulova2017_Komi_Reg_Tr_Pechor_4,Experimental,61.81,57.87
000_Akulova2017_Komi_Reg_Tr_Pechor_5,Experimental,61.81,57.87
000_Akulova2017_Komi_Reg_Tr_Pechor_6,Experimental,61.81,57.87
000_Akulova2017_Komi_Reg_Tr_Pechor_7,Experimental,61.81,57.87
000_Akulova2017_Komi_Reg_Tr_Pechor_8,Experimental,61.81,57.87
000_Akulova2017_Komi_Reg_Tr_Pechor_9,Experimental,61.81,57.87
000_Akulova2017_Komi_Reg_Tr_Pechor_10,Experimental,61.81,57.87
000_Akulova2017_Komi_Reg_Tr_Pechor_11,Experimental,61.8,56.8
000_Akulova2017_Komi_Reg_Tr_Pechor_12,Experimental,61.8,56.8
000_Akulova2017_Komi_Reg_Tr_Pechor_13,Experimental,61.8,56.8
000_Akulova2017_Komi_Reg_Tr_Pechor_14,Experimental,61.8,56.8
000_Akulova2017_Komi_Reg_Tr_Pechor_15,Experimental,61.8,56.8
000_Akulova2017_Komi_Reg_Tr_Pechor_16,Experimental,61.8,56.8
000_Akulova2017_Komi_Reg_Tr_Pechor_17,Experimental,61.8,56.8
000_Akulova2017_Komi_Reg_Tr_Pechor_18,Experimental,61.8,56.8
000_Akulova2017_Komi_Reg_Tr_Pechor_19,Experimental,61.8,56.8
000_Akulova2017_Komi_Reg_Sev_Ural_1,Experimental,62.083,59.217
000_Akulova2017_Komi_Reg_Sev_Ural_2,Experimental,62.083,59.217
000_Akulova2017_Komi_Reg_Sev_Ural_3,Experimental,62.083,59.217
000_Akulova2017_Komi_Reg_Sev_Ural_4,Experimental,62.083,59.217
000_Akulova2017_Komi_Reg_Sev_Ural_5,Experimental,62.083,59.217
000_Akulova2017_Komi_Reg_Sev_Ural_6,Experimental,62.083,59.217
000_Akulova2017_Komi_Reg_Sev_Ural_7,Experimental,62.083,59.217
000_Akulova2017_Komi_Reg_Sev_Ural_8,Experimental,62.5595,56.9266
000_Akulova2017_Komi_Reg_Sev_Ural_9,Experimental,62.5595,56.9266
000_Akulova2017_Komi_Reg_Sev_Ural_10,Experimental,62.5595,56.9266
000_Akulova2017_Komi_Reg_Sev_Ural_11,Experimental,62.5595,56.9266
000_Baker1998a_Mortlake_Baker_A3,Observation,-38,143
000_Baker1998a_Mortlake_Baker_B3,Observation,-38,143
000_Baker1998a_Mortlake_Baker_C3,Observation,-38,143
000_Baker1998a_Mortlake_Baker_D3,Observation,-38,143
000_Baker1998a_Mortlake_Baker_A6,Observation,-38,143
000_Baker1998a_Mortlake_Baker_B6,Observation,-38,143
000_Baker1998a_Mortlake_Baker_C6,Observation,-38,143
000_Baker1998a_Mortlake_Baker_D6,Observation,-38,143
000_Baker1998a_Mortlake_Baker_A7,Observation,-38,143
000_Baker1998a_Mortlake_Baker_B7,Observation,-38,143
000_Baker1998a_Mortlake_Baker_C7,Observation,-38,143
000_Baker1998a_Mortlake_Baker_D7,Observation,-38,143
000_Baker1998a_Mortlake_Baker_A8,Observation,-38,143
000_Baker1998a_Mortlake_Baker_B8,Observation,-38,143
000_Baker1998a_Mortlake_Baker_C8,Observation,-38,143
000_Baker1998a_Mortlake_Baker_D8,Observation,-38,143
000_Baker1998a_Mortlake_Baker_A11,Observation,-38,143
000_Baker1998a_Mortlake_Baker_B11,Observation,-38,143
000_Baker1998a_Mortlake_Baker_C11,Observation,-38,143
000_Baker1998a_Mortlake_Baker_A14,Observation,-38,143
000_Baker1998a_Mortlake_Baker_B14,Observation,-38,143
000_Baker1998a_Mortlake_Baker_C14,Observation,-38,143
000_Baker1998a_Mortlake_Baker_D14,Observation,-38,143
000_Baker1998a_Mortlake_Baker_A15,Observation,-38,143
000_Baker1998a_Mortlake_Baker_B15,Observation,-38,143
000_Baker1998a_Mortlake_Baker_C15,Observation,-38,143
000_Baker1998a_Mortlake_Baker_D15,Observation,-38,143
000_Baker1998a_Mortlake_Baker_A18,Observation,-38,143
