Group_name,Species,SpeciesID,Fct_group,Comment,Ecogroup_Phillips,Acc_name,Species_Briones,Ecogroup_Briones,Species_final,Genus,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli,Ecogroup
Earthworms,Agastrodrilus multivesiculatus,Agast_mult,NA,NA,Endogeic,Agastrodrilus multivesiculatus,NA,NA,Agastrodrilus multivesiculatus,Agastrodrilus,NA,NA,NA,NA,Endogeic
Earthworms,Ailoscolex lacteospumosus,Ailos_lact,NA,NA,NA,Ailoscolex lacteospumosus,Ailoscolex lacteospumosus,Endogeic,Ailoscolex lacteospumosus,Ailoscolex,0,0,100,Endogeic,Endogeic
Earthworms,Allolobophora antipae,Proct_anti,NA,NA,NA,Allolobophora,Proctodrilus antipai,Endogeic,Proctodrilus antipai,Proctodrilus,NA,NA,NA,NA,Endogeic
Earthworms,Allolobophora altimontana,Allol_alti,NA,NA,NA,Allolobophora altimontana,NA,NA,Allolobophora altimontana,Allolobophora,NA,NA,NA,NA,NA
Earthworms,Allolobophora biserialis,Allol_bise,NA,NA,NA,Allolobophora biserialis,NA,NA,Allolobophora biserialis,Allolobophora,NA,NA,NA,NA,NA
Earthworms,Allolobophora carpathica,Aporr_carp,NA,NA,Anecic,Allolobophora carpathica,Aporrectodea carpathica,Anecic,Aporrectodea carpathica,Aporrectodea,NA,NA,NA,NA,Anecic
Earthworms,Allolobophora carpatica,Allol_carp,NA,NA,NA,Allolobophora carpatica,NA,NA,Allolobophora carpatica,Allolobophora,NA,NA,NA,NA,NA
Earthworms,Allolobophora cernosvitoviana,Allol_cern,NA,NA,NA,Allolobophora cernosvitoviana,NA,NA,Allolobophora cernosvitoviana,Allolobophora,NA,NA,NA,NA,NA
Earthworms,Allolobophora chlorotica,Allol_chlo,NA,NA,Epi-Endogeic,Allolobophora chlorotica,Allolobophora chlorotica,Epi-endogeic,Allolobophora chlorotica,Allolobophora,20.66666667,21.66666667,57.66666667,Intermediate,Epi-endogeic
Earthworms,Allolobophora cupulifera,Aporr_cupu,NA,NA,NA,Allolobophora cupulifera,Aporrectodea cupulifera,Endogeic,Aporrectodea cupulifera,Aporrectodea,NA,NA,NA,NA,Endogeic
Earthworms,Allolobophora cyrnea,Scher_cors,NA,NA,NA,Allolobophora cyrnea,Scherotheca corsicana?,Endo-Anecic,Scherotheca corsicana?,Scherotheca,NA,NA,NA,NA,Endo-Anecic
Earthworms,Allolobophora dacica,Allol_daci,NA,NA,NA,Allolobophora dacica,NA,NA,Allolobophora dacica,Allolobophora,NA,NA,NA,NA,NA
Earthworms,Allolobophora dubiosa,Aporr_dubi,NA,NA,NA,Allolobophora dubiosa,Aporrectodea dubiosa,Anecic,Aporrectodea dubiosa,Aporrectodea,NA,NA,NA,NA,Anecic
Earthworms,Allolobophora dugesi,Scher_duge,NA,NA,NA,Allolobophora dugesi,Scherotheca dugesi,Anecic,Scherotheca dugesi,Scherotheca,NA,NA,NA,NA,Anecic
Earthworms,Allolobophora exacystis,Allol_exac,NA,NA,NA,Allolobophora exacystis,NA,NA,Allolobophora exacystis,Allolobophora,NA,NA,NA,NA,NA
Earthworms,Allolobophora gestroides,Allol_gest,NA,NA,NA,Allolobophora gestroides,NA,NA,Allolobophora gestroides,Allolobophora,NA,NA,NA,NA,NA
Earthworms,Allolobophora giardi,Allol_giar,NA,NA,NA,Allolobophora giardi,NA,NA,Allolobophora giardi,Allolobophora,NA,NA,NA,NA,NA
Earthworms,Allolobophora hispanica,Allol_hisp,NA,NA,NA,Allolobophora hispanica,NA,NA,Allolobophora hispanica,Allolobophora,NA,NA,NA,NA,NA
Earthworms,Allolobophora leoni,Allol_leon,NA,NA,NA,Allolobophora leoni,Allolobophora leoni,Endogeic,Allolobophora leoni,Allolobophora,NA,NA,NA,NA,Endogeic
Earthworms,Allolobophora mehadiensis,Allol_meha,NA,NA,NA,Allolobophora mehadiensis,Allolobophora mehadiensis,Endogeic,Allolobophora mehadiensis,Allolobophora,NA,NA,NA,NA,Endogeic
Earthworms,Allolobophora minuscula,Murch_minu,NA,NA,NA,Allolobophora minuscula,Murcheiona minuscula,Endogeic,Murcheiona minuscula,Murcheiona,NA,NA,NA,NA,Endogeic
Earthworms,Allolobophora molleri,Allol_moll,NA,NA,NA,Allolobophora molleri,NA,NA,Allolobophora molleri,Allolobophora,NA,NA,NA,NA,NA
Earthworms,Allolobophora morenoe,Allol_more,NA,NA,NA,Allolobophora morenoe,NA,NA,Allolobophora morenoe,Allolobophora,NA,NA,NA,NA,NA
Earthworms,Allolobophora muldali,Murch_muld,NA,NA,NA,Allolobophora muldali,Murcheiona muldali,Endogeic,Murcheiona muldali,Murcheiona,NA,NA,NA,NA,Endogeic
Earthworms,Allolobophora oculata,Allol_ocul,NA,NA,NA,Allolobophora oculata,NA,NA,Allolobophora oculata,Allolobophora,15,0,85,Endogeic,Endogeic
Earthworms,Allolobophora parva,Allol_parv,NA,NA,NA,Allolobophora parva,NA,NA,Allolobophora parva,Allolobophora,NA,NA,NA,NA,NA
Earthworms,Allolobophora robusta,Allol_robu,NA,NA,NA,Allolobophora robusta,NA,NA,Allolobophora robusta,Allolobophora,NA,NA,NA,NA,NA
Earthworms,Allolobophora satchelli,Allol_satc,NA,NA,NA,Allolobophora satchelli,NA,NA,Allolobophora satchelli,Allolobophora,19,0,81,Endogeic,Endogeic
Earthworms,Allolobophora smaragdina,Aporr_smar,NA,NA,NA,Allolobophora smaragdina,Aporrectodea smaragdina,Endogeic,Aporrectodea smaragdina,Aporrectodea,NA,NA,NA,NA,Endogeic
Earthworms,Allolobophora sturanyi,Allol_stur,NA,NA,NA,Allolobophora sturanyi,Allolobophora sturanyi,Endogeic,Allolobophora sturanyi,Allolobophora,NA,NA,NA,NA,Endogeic
Earthworms,Allolobophora sturanyi dacidoides,Allol_stur,NA,NA,Endogeic,Allolobophora sturanyi dacidoides,Allolobophora sturanyi dacidoides,Endogeic,Allolobophora sturanyi dacidoides,Allolobophora,NA,NA,NA,NA,Endogeic
Earthworms,Allolobophora terrestris,Allol_terr,NA,NA,NA,Allolobophora terrestris,NA,NA,Allolobophora terrestris,Allolobophora,NA,NA,NA,NA,NA
Earthworms,Allolobophora thaleri,Aporr_thal,NA,NA,NA,Allolobophora thaleri,Aporrectodea thaleri,N/A,Aporrectodea thaleri,Aporrectodea,NA,NA,NA,NA,N/A
