species_name;lat;lon;obs_year;source
aporrectodea caliginosa;36,7253941723268;3,40418782491205;1990;jerome
allolobophora chlorotica;36,7253941723268;3,40418782491205;1990;jerome
aporrectodea rosea;36,7253941723268;3,40418782491205;1990;jerome
allolobophora minuscula;36,7253941723268;3,40418782491205;1990;jerome
helodrilus antipai;36,7253941723268;3,40418782491205;1990;jerome
octodrilus complanatus;36,7253941723268;3,40418782491205;1990;jerome
aporrectodea caliginosa;36,7407381126922;3,33769741666199;1990;jerome
allolobophora chlorotica;36,7407381126922;3,33769741666199;1990;jerome
aporrectodea rosea;36,7407381126922;3,33769741666199;1990;jerome
allolobophora borellii;36,7407381126922;3,33769741666199;1990;jerome
helodrilus antipai;36,7407381126922;3,33769741666199;1990;jerome
octodrilus complanatus;36,7407381126922;3,33769741666199;1990;jerome
eiseniella tetraedra;36,7407381126922;3,33769741666199;1990;jerome
microscolex phosphoreus;36,7407381126922;3,33769741666199;1990;jerome
aporrectodea caliginosa;36,6177024427252;3,21835565826444;1990;jerome
allolobophora chlorotica;36,6177024427252;3,21835565826444;1990;jerome
aporrectodea rosea;36,6177024427252;3,21835565826444;1990;jerome
allolobophora borellii;36,6177024427252;3,21835565826444;1990;jerome
allolobophora molleri;36,6177024427252;3,21835565826444;1990;jerome
allolobophora minuscula;36,6177024427252;3,21835565826444;1990;jerome
helodrilus antipai;36,6177024427252;3,21835565826444;1990;jerome
octodrilus complanatus;36,6177024427252;3,21835565826444;1990;jerome
microscolex phosphoreus;36,6177024427252;3,21835565826444;1990;jerome
amynthas sp;36,6177024427252;3,21835565826444;1990;jerome
aporrectodea caliginosa;36,5807633270307;2,92341102679622;1990;jerome
allolobophora chlorotica;36,5807633270307;2,92341102679622;1990;jerome
aporrectodea rosea;36,5807633270307;2,92341102679622;1990;jerome
allolobophora minuscula;36,5807633270307;2,92341102679622;1990;jerome
helodrilus antipai;36,5807633270307;2,92341102679622;1990;jerome
octodrilus complanatus;36,5807633270307;2,92341102679622;1990;jerome
amynthas sp;36,5807633270307;2,92341102679622;1990;jerome
aporrectodea rosea;36,5159778010435;2,41649270065045;1990;jerome
allolobophora minuscula;36,5159778010435;2,41649270065045;1990;jerome
microscolex phosphoreus;36,5159778010435;2,41649270065045;1990;jerome
Aporrectodea caliginosa caliginosa;47,3018674;9,6751024;2003;jerome
Aporrectodea caliginosa caliginosa;46,4390788;14,3809224;2005;jerome
Aporrectodea caliginosa caliginosa;46,4390788;14,3809224;2005;jerome
Aporrectodea caliginosa caliginosa;46,4390788;14,3809224;2005;jerome
Aporrectodea rosea;46,4390788;14,3809224;2005;jerome
Aporrectodea smaragdina;46,4390788;14,3809224;2005;jerome
Aporrectodea smaragdina;46,52373;13,75158;2017;jerome
Aporrectodea smaragdina;46,52373;13,75158;2017;jerome
Aporrectodea smaragdina;46,7338745438838;12,9471614508201;2017;jerome
Aporrectodea smaragdina;46,6149181;12,9610564;2017;jerome
Aporrectodea smaragdina;46,6149181;12,9610564;2017;jerome
Aporrectodea smaragdina;46,43751;14,48592;2017;jerome
Aporrectodea smaragdina;46,714586;12,96777;2017;jerome
Aporrectodea smaragdina;46,46322;14,25735;2017;jerome
Aporrectodea smaragdina;46,6273920999999;13,3711996;2017;jerome
Aporrectodea smaragdina;46,67995;13,49635;2017;jerome
Aporrectodea smaragdina;46,62161;12,92618;2017;jerome
Bimastos rubidus;46,4166667;14,5166667;2005;jerome
Bimastos rubidus;46,7338745438838;12,9471614508201;2017;jerome
Dendrobaena alpina alpina;46,4390788;14,3809224;2005;jerome
Dendrobaena alpina alpina;46,4390788;14,3809224;2005;jerome
Dendrobaena alpina alpina;46,8077388;13,5124361;2017;jerome
Dendrobaena alpina alpina;46,67995;13,49635;2017;jerome
Dendrobaena alpina alpina;46,5646;13,69272;2017;jerome
Dendrobaena attemsi;47,0135;13,18659;2017;jerome
Dendrobaena attemsi;47,0135;13,18659;2017;jerome
Dendrobaena attemsi;47,00143;13,17557;2017;jerome
Dendrobaena auriculifera;46,4166667;14,5166667;2005;jerome
Dendrobaena auriculifera;46,4390788;14,3809224;2005;jerome
Dendrobaena ganglbaueri;46,4166667;14,5166667;2005;jerome
Dendrobaena ganglbaueri;46,4166667;14,5166667;2005;jerome
Dendrobaena ganglbaueri;46,4869478;14,5308107;2005;jerome
Dendrobaena ganglbaueri;46,43751;14,48592;2017;jerome
Dendrobaena octaedra;46,4166667;14,5166667;2005;jerome
Dendrobaena octaedra;46,4166667;14,5166667;2005;jerome
Dendrobaena octaedra;46,4390788;14,3809224;2005;jerome
Dendrobaena octaedra;46,4390788;14,3809224;2005;jerome
Dendrobaena octaedra;46,9287647;14,8498463;2017;jerome
Dendrobaena octaedra;46,8077388;13,5124361;2017;jerome
Dendrobaena octaedra;47,0135;13,18659;2017;jerome
Eisenia spelaea;48,0593735;15,1189546;1971;jerome
Eisenia spelaea;47,8074041;14,9348188;1969;jerome
Eisenia spelaea;46,52373;13,75158;1980;jerome
Eisenia spelaea;46,49787;14,3463;2017;jerome
Lumbricus castaneus;46,4390788;14,3809224;2005;jerome
Lumbricus castaneus;46,49787;14,3463;2017;jerome
Lumbricus castaneus;46,43751;14,48592;2017;jerome
Lumbricus rubellus;46,5757103;13,4173931;2017;jerome
Lumbricus rubellus;46,8077388;13,5124361;2017;jerome
Lumbricus rubellus;46,9633975;13,18452;2017;jerome
Lumbricus terrestris;46,4390788;14,3809224;2005;jerome
Octodriloides karawankensis;46,4390788;14,3809224;2005;jerome
Octodrilus argoviensis;46,5757103;13,4173931;2017;jerome
Octodrilus argoviensis;46,5757103;13,4173931;2017;jerome
Octodrilus argoviensis;46,6149181;12,9610564;2017;jerome
Octodrilus croaticus;47,3018674;9,6751024;2003;jerome
Octolasion lacteum;46,4390788;14,3809224;2005;jerome
Octolasion lacteum;46,5757103;13,4173931;2017;jerome
Octolasion lacteum;46,9633975;13,18452;2017;jerome
Allolobophora dofleini;42,683333;22,316667;1971;jerome
Allolobophora dofleini;42,7;22,05;1975;jerome
Allolobophora dofleini;42,666667;22,3;1975;jerome
Allolobophora dofleini;42,55;21,983333;1975;jerome
Allolobophora dofleini;42,466667;21,8;1975;jerome
Allolobophora dofleini;42,833333;22,083333;1976;jerome
Allolobophora dofleini;42,916667;21,733333;1976;jerome
Allolobophora dofleini;43,316667;21,9;1976;jerome
Allolobophora dofleini;43,283333;22;1976;jerome
Allolobophora dofleini;42,866667;22,233333;1988;jerome
Allolobophora dofleini;42,933333;22,083333;1989;jerome
Allolobophora dofleini;43,316667;21,9;1989;jerome
Allolobophora dofleini;42,916667;21,733333;1989;jerome
Allolobophora dofleini;42,983333;21,95;1990;jerome
Allolobophora dofleini;42,666667;22,3;1990;jerome
Allolobophora dofleini;42,55;21,9;1993;jerome
Allolobophora dofleini;43,233333;21,583333;1993;jerome
Allolobophora dofleini;42,55;21,9;1993;jerome
Allolobophora dofleini;43,133333;21,55;1993;jerome
Allolobophora dofleini;43,383333;21,433333;1995;jerome
Allolobophora dofleini;43,383333;21,433333;1995;jerome
Allolobophora dofleini;43,683333;21,633333;1997;jerome
Allolobophora dofleini;43,666667;21,533333;1997;jerome
Allolobophora dofleini;42,983333;21,95;1998;jerome
Allolobophora dofleini;43,616667;19,85;2009;jerome
Allolobophora dofleini;42,516667;22,216667;2010;jerome
Allolobophora dofleini;43,866667;19,55;2010;jerome
Allolobophora dofleini;43,683333;19,883333;2011;jerome
Allolobophora dofleini;41,416667;22,016667;1963;jerome
Allolobophora dofleini;41,75;22,416667;1963;jerome
Allolobophora dofleini;41,383333;22,216667;1967;jerome
Allolobophora dofleini;41;21,2;1967;jerome
Allolobophora dofleini;41,383333;22,216667;1969;jerome
Allolobophora dofleini;41,183333;22,716667;1969;jerome
Allolobophora dofleini;41,416667;21,733333;1970;jerome
Allolobophora dofleini;41,366667;21,65;1972;jerome
Allolobophora dofleini;41,3;21,566667;1972;jerome
Allolobophora dofleini;41,316667;21,566667;1972;jerome
Allolobophora dofleini;41,416667;22,616667;1972;jerome
Allolobophora dofleini;41,166667;21,483333;1978;jerome
Allolobophora dofleini;41,883333;21,666667;1978;jerome
Allolobophora dofleini;41,95;21,383333;1978;jerome
Allolobophora dofleini;41,95;22,583333;1978;jerome
Allolobophora dofleini;41,75;22,883333;1978;jerome
Allolobophora dofleini;42,016667;22,35;1979;jerome
Allolobophora dofleini;41,883333;21,666667;1990;jerome
Allolobophora dofleini;42;22,216667;1990;jerome
Allolobophora dofleini;42,216667;21,816667;1990;jerome
Allolobophora dofleini;40,2;22,233333;1971;jerome
Allolobophora dofleini;41,283333;24,166667;1987;jerome
Allolobophora chlorotica;41,833333;23,2;2009;jerome
Aporrectodea caliginosa caliginosa;41,833333;23,2;2009;jerome
Aporrectodea caliginosa caliginosa;42,633333;23,266667;2010;jerome
Aporrectodea caliginosa caliginosa;42,633333;23,266667;2011;jerome
Aporrectodea jassyensis;42,633333;23,266667;2011;jerome
Aporrectodea rosea;41,833333;23,2;2010;jerome
Aporrectodea rosea;42,633333;23,266667;2010;jerome
Aporrectodea rosea;42,633333;23,266667;2011;jerome
Aporrectodea rosea;43,133333;23,55;2011;jerome
Aporrectodea rosea;42,6;23,4;2010;jerome
Aporrectodea rosea;41,833333;23,2;2009;jerome
Aporrectodea rosea leocernosvitovi;43,133333;23,55;2010;jerome
Aporrectodea trapezoides;41,833333;23,2;2009;jerome
Aporrectodea trapezoides;41,833333;23,2;2010;jerome
Aporrectodea trapezoides;42,633333;23,266667;2010;jerome
Aporrectodea trapezoides;42,633333;23,266667;2011;jerome
Dendrobaena byblica;43,133333;23,55;2011;jerome
Dendrobaena octaedra;42,183333;23,4;2009;jerome
Dendrodrilus rubidus subrubicundus;41,833333;23,2;2010;jerome
Eisenia fetida;41,833333;23,2;2010;jerome
Eiseniella tetraedra tetraedra;42,633333;23,266667;2010;jerome
Eiseniella tetraedra tetraedra;42,6;23,4;2010;jerome
Lumbricus meliboeus;42,183333;23,4;2009;jerome
Lumbricus terrestris;43,133333;23,55;2010;jerome
Octolasion lacteum;42,183333;23,4;2009;jerome
Octolasion lacteum;41,833333;23,2;2010;jerome
Octolasion lacteum;42,633333;23,266667;2010;jerome
Octolasion lacteum;42,633333;23,266667;2011;jerome
Octolasion lacteum;42,6;23,4;2010;jerome
Aporrectodea jassyensis;41,659033;25,8901;2012;jerome
Aporrectodea jassyensis;41,659033;25,8901;2012;jerome
Aporrectodea jassyensis;41,517833;25,7835;2012;jerome
Cernosvitovia rebeli;42,296983;27,620767;2007;jerome
Cernosvitovia rebeli;41,659033;25,8901;2012;jerome
