Predictor,Long_name,Category,Original_name,File_name,File_name_processed,Unit_original,Unit,Missing_values,Range,Range_EU_1km,Range_EU_2km,Resolution,Resolution_temporal,Projection,Reference,Reference_DOI,Temporal_scale,Time,Spatial_scale,Aggregation method,Link,DOI_data,Downloaded_by,Download_Date,Transformation,Reprojected_to_WGS84,Comment,Comment_citation
Aridity,Aridity_index,Climate,Aridity index,CHELSA_ai_1981-2010_V.2.1.tif,CHELSA_ai_1981-2010_V.2.1.tif,value,value,-99999,0.0002 - 655350016,0.1260 - 35.478,0.1263 - 35.1058,0.00833,mean of daily means,WGS84 (EPSG: 4326),Karger et al. 2017 Scientific Data,https://doi.org/10.1038/sdata.2017.122,1981-2010,C,Global,Average,https://envicloud.wsl.ch/#/?prefix=chelsa%2Fchelsa_V2%2FGLOBAL%2F,https://doi.org/10.5061/dryad.kd1d4,RZ,1/6/2022,In R: makeToGrid,No,index calculated by mean annual precipitation over mean annual potential evapotranspiration. Extremly high values in Antarktis,
MAP,Mean_annual_precipitation,Climate,bioclim 12=Annual Precipitation [mm/year],CHELSA_bio12_1981-2010_V.2.1.tif,CHELSA_bio12_1981-2010_V.2.1.tif,mm year-1,mm year-1,-99999,0 - 65535,117.1683 - 6553.5,117.4256 - 6553.5,0.00833,mean of daily means,WGS84 (EPSG: 4326),Karger et al. 2017 Scientific Data,https://doi.org/10.1038/sdata.2017.122,1981-2010,C,Global,Average/Total,https://envicloud.wsl.ch/#/?prefix=chelsa%2Fchelsa_V2%2FGLOBAL%2F,https://doi.org/10.5061/dryad.kd1d5,RZ,1/6/2022,In R: makeToGrid,No,Climatologies at high resolution for the Earth's land surface (CHELSA),
MAP_Seas,Precipitation_seasonality,Climate,bioclim 15=Precipitation Seasonality [coefficient of variation],CHELSA_bio15_1981-2010_V.2.1.tif,CHELSA_bio15_1981-2010_V.2.1.tif,kg m-2,kg m-2,3.40E+38,0 - 2312,6.3 - 108.8452,6.3 - 108.6969,0.00833,mean of daily means,WGS84 (EPSG: 4326),Karger et al. 2017 Scientific Data,https://doi.org/10.1038/sdata.2017.122,1981-2010,C,Global,Average,https://envicloud.wsl.ch/#/?prefix=chelsa%2Fchelsa_V2%2FGLOBAL%2F,https://doi.org/10.5061/dryad.kd1d6,RZ,1/6/2022,In R: makeToGrid,No,Climatologies at high resolution for the Earth's land surface (CHELSA),
MAT,Mean_annual_temperature,Climate,bioclim-variable: 1=Annual Mean Temperature [°C*10],CHELSA_bio1_1981-2010_V.2.1.tif,CHELSA_bio1_1981-2010_V.2.1.tif,degree_Celsius_*10,degree_Celsius_*10,-99999,2196 - 3079,-35.9099,-35.1974,0.00833,mean of daily means,WGS84 (EPSG: 4326),Karger et al. 2017 Scientific Data,https://doi.org/10.1038/sdata.2017.122,1981-2010,C,Global,Average,https://envicloud.wsl.ch/#/?prefix=chelsa%2Fchelsa_V2%2FGLOBAL%2F,https://doi.org/10.5061/dryad.kd1d7,RZ,1/6/2022,In R: makeToGrid,No,Climatologies at high resolution for the Earth's land surface (CHELSA),
MAT_Seas,Temperature_seasonality,Climate,bioclim 4=Temperature Seasonality [standard deviation],CHELSA_bio4_1981-2010_V.2.1.tif,CHELSA_bio4_1981-2010_V.2.1.tif,degree_Celsius_*10,degree_Celsius_*10,-99999,47 - 23342,155.6747 - 1075.634,155.74 - 1074.832,0.00833,mean of daily means,WGS84 (EPSG: 4326),Karger et al. 2017 Scientific Data,https://doi.org/10.1038/sdata.2017.122,1981-2010,C,Global,Average,https://envicloud.wsl.ch/#/?prefix=chelsa%2Fchelsa_V2%2FGLOBAL%2F,https://doi.org/10.5061/dryad.kd1d8,RZ,1/6/2022,In R: makeToGrid,No,Climatologies at high resolution for the Earth's land surface (CHELSA),
Snow,Snow_cover,Climate,Gap-filled Fractional Snow Cover (GFSC),c_gls_SCE-sce_201801110000_EUROPE_VIIRS_V1.0.1.tiff,Snow_2018_meanAcrossYears_420.tif,percent + 100,percent + 100,<100 and >200,100 - 188.2722,100 - 137.2619,100 - 136.4067,60 m x 60 m,daily,WGS84 (EPSG: 4326)/UTM,© European Union. Copernicus Land Monitoring Service 2021. European Environment Agency (EEA). f.ex. in 2018: © European Union. Copernicus Land Monitoring Service 2018. European Environment Agency (EEA).,none,2018-2021,C,Europe,Total,https://land.copernicus.eu/pan-european/biophysical-parameters/high-resolution-snow-and-ice-monitoring/snow-products,none ,RZ,2/16/2022,In Python with ArcGIS: Replace missing/flagged values by NULL and calculate Cell Statistics: Mean across all files. In R: makeToGrid,No,,This study has been conducted using E.U. Copernicus Land Service Information E.U. Copernicus Land Service Information Generated using E.U. Copernicus Land Service Information
Agriculture,Agriculture_cover,LandCover,CLC 2012,U2018_CLC2012_V2020_20u1.tif,Agriculture_2012_noGrid_WGS84.tif,logical (categorical),proportion,NoData,0/1,0 - 1,0 - 1,25 ha/ 100m,single time point,ETRS1989 LAEA (EPSG:3035),"© European Union, Copernicus Land Monitoring Service 2018, European Environment Agency (EEA)",none,2012,C,Europe,Average (%),https://land.copernicus.eu/pan-european/corine-land-cover/clc2018,none ,RZ,1/19/2022,In ArcGIS: Reclassify to 1 (land cover class present) and 0 (land cover class not present). NoData = TRUE. Zonal Statistics: Take mean per grid cell & Processing extent = snap to grid. Project Raster: WGS84. In R: makeToGrid,Yes,CLC classification: CLC12 all in 2 except 231 (Pasture),
Dist_Urban,Distance_to_urban_areas,LandCover,CLC 2012,U2018_CLC2012_V2020_20u1.tif,Dist_Urban_2012_distance_1km_WGS84.tif,logical (categorical),m,NoData,0/1,0 - 105604,0 - 132668,25 ha/ 100m,single time point,ETRS1989 LAEA (EPSG:3035),"© European Union, Copernicus Land Monitoring Service 2018, European Environment Agency (EEA)",none,2012,C,Europe,Average,https://land.copernicus.eu/pan-european/corine-land-cover/clc2018,none ,RZ,1/19/2022,In ArcGIS: Reclassify to 1 (land cover class present) and 0 (land cover class not present). NoData = TRUE. Euclidean Distance: cell size = 1 or 2km grid. Zonal Statistics: Take mean per grid cell & Processing extent = snap to grid. Project Raster: WGS84. In R: makeToGrid,Yes,CLC classification: CLC12 all in 1 except 122 (Roads) and 131 (Mineral extraction),
Forest_Coni,Coniferous_forest_cover,LandCover,CLC 2012,U2018_CLC2012_V2020_20u1.tif,Forest_Coni_2012_noGrid_WGS84.tif,logical (categorical),proportion,NoData,0/1,0 - 1,0 - 1,25 ha/ 100m,single time point,ETRS1989 LAEA (EPSG:3035),"© European Union, Copernicus Land Monitoring Service 2018, European Environment Agency (EEA)",none,2012,C,Europe,Average (%),https://land.copernicus.eu/pan-european/corine-land-cover/clc2018,none ,RZ,1/19/2022,In ArcGIS: Reclassify to 1 (land cover class present) and 0 (land cover class not present). NoData = TRUE. Zonal Statistics: Take mean per grid cell & Processing extent = snap to grid. Project Raster: WGS84. In R: makeToGrid,Yes,CLC classification: CLC12 312 and 334 (burnt),
Forest_Deci,Deciduous_forest_cover,LandCover,CLC 2012,U2018_CLC2012_V2020_20u1.tif,Forest_Deci_2012_noGrid_WGS84.tif,logical (categorical),proportion,NoData,0/1,0 - 1,0 - 1,25 ha/ 100m,single time point,ETRS1989 LAEA (EPSG:3035),"© European Union, Copernicus Land Monitoring Service 2018, European Environment Agency (EEA)",none,2012,C,Europe,Average (%),https://land.copernicus.eu/pan-european/corine-land-cover/clc2018,none ,RZ,1/19/2022,In ArcGIS: Reclassify to 1 (land cover class present) and 0 (land cover class not present). NoData = TRUE. Zonal Statistics: Take mean per grid cell & Processing extent = snap to grid. Project Raster: WGS84. In R: makeToGrid,Yes,CLC classification: CLC12 311 and 313 (mixed),
NDVI,NDVI,LandCover,Normalized Difference Vegetation Index Copernicus,c_gls_NDVI-NDVI_201001010000_EUROPE_VGT_V3.0.1.tiff,NDVI_2010-2020_noGrid_420.tif,value [0-250],value,>250,0 - 250,0 - 250,1.12152 - 250,1km,10 days,WGS84 (EPSG: 4326),Contains modified Copernicus Service information 2022,none,1999-2019,C,Global,Average,https://land.copernicus.eu/global/products/ndvi,none,RZ,2/21/2022,In Python with ArcGIS: Replace missing/flagged values by NULL and calculate Cell Statistics: Mean across all files. In R: makeToGrid,No,NA: 254 for sea pixels (QFLAG=16) and 255 for missing input data (QFLAG=0 or QFLAG=1). for the NDVI_unc layer: -1 for missing data. for the TIME_GRID layer: -32767 (sea) and -32768 (missing data over land),"The products were generated by the Global component of the Land Service of Copernicus, the Earth Observation programme of the European Commission. The research leading to the current version of the product has received funding from various European Commission Research and Technical Development programs. The product is based on VEGETATION data provided by CNES and distributed by VITO NV, and PROBA-V data provided by ESA and distributed by VITO NV."
Pastures,Pasture_cover,LandCover,CLC 2012,U2018_CLC2012_V2020_20u1.tif,Pasture_2012_noGrid_WGS84.tif,percent,proportion,NoData,0/1,0 - 1,0 - 1,25 ha/ 100m,single time point,ETRS1989 LAEA (EPSG:3035),"© European Union, Copernicus Land Monitoring Service 2018, European Environment Agency (EEA)",none,2012,C,Europe,Average (%),https://land.copernicus.eu/pan-european/corine-land-cover/clc2018,none,RZ,1/19/2022,In ArcGIS: Reclassify to 1 (land cover class present) and 0 (land cover class not present). NoData = TRUE. Zonal Statistics: Take mean per grid cell & Processing extent = snap to grid. Project Raster: WGS84. In R: makeToGrid,Yes,CLC classification: CLC12 231 (Pasture) and 321 (Natural grassland) and 333 (Sparsely open vegetation),
Pop_Dens,Population_density,LandCover,UN WPP-Adjusted Population Density,gpw_v4_population_density_adjusted_to_2020_unwpp_country_totals_rev11_2000_30_sec.tif,Pop_Dens_2000-20_noGrid.tif,number of people/km2,number of people/km2,NoData,0 - 66128.8 [in 2020],0 - 53444.72,0 - 53795.58,0.00833,5 years,WGS84 (EPSG: 4326),Doxsey-Whitfield et al. 2015 Papers in Applied Geography,https://doi.org/10.7927/H4F47M65,2000-2020,C,Global,Average,https://sedac.ciesin.columbia.edu/data/set/gpw-v4-population-density-adjusted-to-2015-unwpp-country-totals-rev11/metadata,https://doi.org/10.7927/H4F47M65,RZ,1/14/2022,In ArcGIS: Cell Statistics: Mean across all files. In R: makeToGrid,No,,
Shrubland,Shrubland_cover,LandCover,CLC 2012,U2018_CLC2012_V2020_20u1.tif,Shrubland_2012_noGrid_WGS84.tif,percent,proportion,NoData,0/1,0 - 1,0 - 1,25 ha/ 100m,single time point,ETRS1989 LAEA (EPSG:3035),"© European Union, Copernicus Land Monitoring Service 2018, European Environment Agency (EEA)",none,2012,C,Europe,Average (%),https://land.copernicus.eu/pan-european/corine-land-cover/clc2018,none,RZ,1/19/2022,In ArcGIS: Reclassify to 1 (land cover class present) and 0 (land cover class not present). NoData = TRUE. Zonal Statistics: Take mean per grid cell & Processing extent = snap to grid. Project Raster: WGS84. In R: makeToGrid,Yes,CLC classification: CLC12 all in 32 except 321 (Natural grassland) ,
Aspect,Aspect,Location,GISCO Aspect,eudem_aspc_3035_europe.tif,Aspect_noGrid_WGS84.tif,value,value,NoData,0 - 255,0 - 244.904,0 - 233.0085,25 m,single time point,ETRS1989 LAEA (EPSG:3035),"© European Union, Copernicus Land Monitoring Service 2018, European Environment Agency (EEA)",,2000,C,Europe,Average,https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/elevation/eu-dem/aspect,none,RZ,1/13/2022,In ArcGIS: Project raster to WGS84. In R: makeToGrid,Yes,,
Dist_Coast,Distance_to_coast,Location,EU-Hydro - River Network Database,U2018_CLC2012_V2020_20u1.tif,Dist_Coast_2012_distance_1km_WGS84.tif,logical (categorical),m,NoData,0/1,0 - 658983,0 - 658627,10000m²,single time point,ETRS1989 LAEA (EPSG:3035),"© European Union, Copernicus Land Monitoring Service 2018, European Environment Agency (EEA)",none,2006-2012,C,Europe,Average,https://land.copernicus.eu/imagery-in-situ/eu-hydro/eu-hydro-coastline,none,RZ,1/19/2022,In ArcGIS: Reclassify to 1 (land cover class present) and 0 (land cover class not present). NoData = TRUE. Euclidean Distance: cell size = 1 or 2km grid. Zonal Statistics: Take mean per grid cell & Processing extent = snap to grid. Project Raster: WGS84. In R: makeToGrid,Yes,CLC classification: CLC12 EU_Hydro all of 52 (marine water),
Dist_River,Distance_to_rivers,Location,EU-Hydro - River Network Database,U2018_CLC2012_V2020_20u1.tif,Dist_River_2012_distance_1km_WGS84.tif,logical (categorical),m,NoData,0/1,0 - 484497,0 - 516636,10000m²,single time point,ETRS1989 LAEA (EPSG:3035),"© European Union, Copernicus Land Monitoring Service 2018, European Environment Agency (EEA)",none,2006-2012,C,Europe,Average,https://land.copernicus.eu/imagery-in-situ/eu-hydro/eu-hydro-river-network-database,none,RZ,1/19/2022,In ArcGIS: Reclassify to 1 (land cover class present) and 0 (land cover class not present). NoData = TRUE. Euclidean Distance: cell size = 1 or 2km grid. Zonal Statistics: Take mean per grid cell & Processing extent = snap to grid. Project Raster: WGS84. In R: makeToGrid,Yes,CLC classification: CLC12 EU_Hydro all of 51 (inland water),
Elev,Elevation,Location,European Digital Elevation Model (EU-DEM),eudem_dem_3035_europe.tif,Elev_noGrid_WGS84.tif,meter,meter,nan and -32767,-5337.9755,-5099.7046,-4647.0911,25m,single time point,ETRS1989 LAEA (EPSG:3035) I52 m10,"© European Union, Copernicus Land Monitoring Service 2018, European Environment Agency (EEA)",none,2000,C,Europe,Average,https://land.copernicus.eu/imagery-in-situ/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0,none,RZ,3/3/2022,In ArcGIS: Project raster to WGS84. In R: makeToGrid,Yes,,
Slope,Slope,Location,Slope,eudem_slop_3035_europe.tif,Slope_noGrid_WGS84.tif,value,value,-32767,0 - 250,0 - 250,0 - 250,25m,single time point,ETRS1989 LAEA (EPSG:3035) I52 m10,"© European Union, Copernicus Land Monitoring Service 2018, European Environment Agency (EEA)",none,2000,C,Europe,Average,https://land.copernicus.eu/imagery-in-situ/eu-dem/eu-dem-v1-0-and-derived-products/slope,none,RZ,3/3/2022,In ArcGIS: Project raster to WGS84. In R: makeToGrid,Yes,,
CEC,Cation_exchange_capacity,Soil,Cation Exchange Capacity,CEC.tif,CEC_noGrid_WGS84.tif,cmol kg-1,cmol kg-1,-3.40E+38,0 - 69.85314,0 - 65.25113,0 - 63.76777,500m,single time point,ETRS1989 LAEA (EPSG:3035) I52 m10,Ballabio et al. 2019,https://doi.org/10.1016/j.geoderma.2019.113912,2012,C,Europe,Average,https://esdac.jrc.ec.europa.eu/content/chemical-properties-european-scale-based-lucas-topsoil-data,https://doi.org/10.1016/j.geoderma.2019.113912,RZ,1/17/2022,In ArcGIS: Project raster to WGS84. In R: makeToGrid,Yes,,Maps of Soil Chemical properties at European scale based on LUCAS 2009/2012 topsoil data
Clay+Silt,Clay_Silt_content,Soil,Clay (%) + Silt (%),NA,NA,percent,percent,-3.40E+38,0 - 100,0.544 - 100,0.815 - 100,500m,single time point,ETRS89 LAEA Europe,"Ballabio, Panagos, and Monatanarella 2016",https://doi.org/10.1016/j.geoderma.2015.07.006,2009,C,Europe,Sum of average,https://esdac.jrc.ec.europa.eu/content/topsoil-physical-properties-europe-based-lucas-topsoil-data,https://doi.org/10.1007/s10661-013-3109-3,RZ,1/17/2022,In ArcGIS: Project Clay and Silt raster to WGS84. In R: makeToGrid and sum up both rasters.,Yes,calculated based on reprojections,
Cu,Soil_copper,Soil,Copper distribution in topsoils,copper_map_fill.tif,Cu_noGrid_WGS84.tif,Cu mg kg-1,Cu mg kg-1,-3.40E+38,0.5439 - 134.1309,0.7286 - 130.0719,1.1172 - 133.15,500m,single time point,ETRS1989 LAEA (EPSG:3035),Ballabio et al. 2018 Sc Total Env & Panagos et al. 2018 Sustainability,https://doi.org/10.1016/j.scitotenv.2018.04.268,2009,C,Europe,Average,https://esdac.jrc.ec.europa.eu/content/copper-distribution-topsoils,https://doi.org/10.1007/s10661-013-3109-3,RZ,1/17/2022,In ArcGIS: Project raster to WGS84. In R: makeToGrid,Yes,,
