"MTB";"PERIODE";"Artensumme";"X";"Y";"SMTB";"TKBUNDESLA"
"1";0916;"1900-2018";6;8.41567434241598;55.0482725634728;"List (Sylt)";"Schleswig-Holstein"
"2";0916;"1980-1999";5;8.41567434241598;55.0482725634728;"List (Sylt)";"Schleswig-Holstein"
"3";0916;"2000-2018";5;8.41567434241598;55.0482725634728;"List (Sylt)";"Schleswig-Holstein"
"4";1015;"1900-2018";4;8.24903591386419;54.948283569088;"Westerland (Sylt)";"Schleswig-Holstein"
"5";1015;"2000-2018";2;8.24903591386419;54.948283569088;"Westerland (Sylt)";"Schleswig-Holstein"
"6";1015;"1980-1999";1;8.24903591386419;54.948283569088;"Westerland (Sylt)";"Schleswig-Holstein"
"7";1016;"2000-2018";5;8.41567521298635;54.9482840296028;"Kampen (Sylt)";"Schleswig-Holstein"
"8";1016;"1980-1999";3;8.41567521298635;54.9482840296028;"Kampen (Sylt)";"Schleswig-Holstein"
"9";1016;"1900-2018";6;8.41567521298635;54.9482840296028;"Kampen (Sylt)";"Schleswig-Holstein"
"10";1018;"1980-1999";1;8.74895381932632;54.9482850632131;"Hoyer";"Schleswig-Holstein"
"11";1018;"1900-2018";1;8.74895381932632;54.9482850632131;"Hoyer";"Schleswig-Holstein"
"12";1115;"1980-1999";3;8.24903671169196;54.8482950359788;"Rantum (Sylt)";"Schleswig-Holstein"
"13";1115;"2000-2018";6;8.24903671169196;54.8482950359788;"Rantum (Sylt)";"Schleswig-Holstein"
"14";1115;"1900-2018";8;8.24903671169196;54.8482950359788;"Rantum (Sylt)";"Schleswig-Holstein"
"15";1116;"1900-2018";7;8.41567607854445;54.8482954961468;"Morsum (Sylt)";"Schleswig-Holstein"
"16";1116;"2000-2018";5;8.41567607854445;54.8482954961468;"Morsum (Sylt)";"Schleswig-Holstein"
"17";1116;"1980-1999";5;8.41567607854445;54.8482954961468;"Morsum (Sylt)";"Schleswig-Holstein"
"18";1118;"1980-1999";4;8.74895482033314;54.8482965289141;"Neukirchen";"Schleswig-Holstein"
"19";1118;"1900-2018";4;8.74895482033314;54.8482965289141;"Neukirchen";"Schleswig-Holstein"
"20";1118;"2000-2018";4;8.74895482033314;54.8482965289141;"Neukirchen";"Schleswig-Holstein"
"21";1119;"1980-1999";6;8.9155941957123;54.848297101484;"SÅderlÅgum";"Schleswig-Holstein"
"22";1119;"2000-2018";8;8.9155941957123;54.848297101484;"SÅderlÅgum";"Schleswig-Holstein"
"23";1119;"1900-2018";11;8.9155941957123;54.848297101484;"SÅderlÅgum";"Schleswig-Holstein"
"24";1120;"1980-1999";1;9.08223357438086;54.8482977115152;"Ladelund";"Schleswig-Holstein"
"25";1120;"2000-2018";4;9.08223357438086;54.8482977115152;"Ladelund";"Schleswig-Holstein"
"26";1120;"1900-2018";5;9.08223357438086;54.8482977115152;"Ladelund";"Schleswig-Holstein"
"27";1121;"1980-1999";6;9.2488729565965;54.8482983590024;"Medelby";"Schleswig-Holstein"
"28";1121;"2000-2018";9;9.2488729565965;54.8482983590024;"Medelby";"Schleswig-Holstein"
"29";1121;"1900-2018";11;9.2488729565965;54.8482983590024;"Medelby";"Schleswig-Holstein"
"30";1122;"1980-1999";14;9.41551234258607;54.8482990439234;"Flensburg (Nord)";"Schleswig-Holstein"
"31";1122;"2000-2018";11;9.41551234258607;54.8482990439234;"Flensburg (Nord)";"Schleswig-Holstein"
"32";1122;"1900-2018";14;9.41551234258607;54.8482990439234;"Flensburg (Nord)";"Schleswig-Holstein"
"33";1123;"2000-2018";10;9.58215173256736;54.8482997662926;"GlÅcksburg";"Schleswig-Holstein"
"34";1123;"1980-1999";11;9.58215173256736;54.8482997662926;"GlÅcksburg";"Schleswig-Holstein"
"35";1123;"1900-2018";13;9.58215173256736;54.8482997662926;"GlÅcksburg";"Schleswig-Holstein"
"36";1124;"2000-2018";6;9.74879112676522;54.8483005261044;"Westerholz";"Schleswig-Holstein"
"37";1124;"1900-2018";6;9.74879112676522;54.8483005261044;"Westerholz";"Schleswig-Holstein"
"38";1215;"1900-2018";5;8.24903750493612;54.7483065032434;"Hîmum (Sylt)";"Schleswig-Holstein"
"39";1215;"2000-2018";5;8.24903750493612;54.7483065032434;"Hîmum (Sylt)";"Schleswig-Holstein"
"40";1215;"1980-1999";4;8.24903750493612;54.7483065032434;"Hîmum (Sylt)";"Schleswig-Holstein"
"41";1216;"1980-1999";7;8.4156769391336;54.748306963052;"Borgsum";"Schleswig-Holstein"
"42";1216;"1900-2018";9;8.4156769391336;54.748306963052;"Borgsum";"Schleswig-Holstein"
"43";1216;"2000-2018";7;8.4156769391336;54.748306963052;"Borgsum";"Schleswig-Holstein"
"44";1217;"1980-1999";4;8.58231637590883;54.7483074603011;"Midlum (Fîhr)";"Schleswig-Holstein"
"45";1217;"2000-2018";3;8.58231637590883;54.7483074603011;"Midlum (Fîhr)";"Schleswig-Holstein"
"46";1217;"1900-2018";4;8.58231637590883;54.7483074603011;"Midlum (Fîhr)";"Schleswig-Holstein"
"47";1218;"1900-2018";1;8.74895581552798;54.7483079949641;"NiebÅll";"Schleswig-Holstein"
"48";1218;"1980-1999";1;8.74895581552798;54.7483079949641;"NiebÅll";"Schleswig-Holstein"
"49";1219;"1900-2018";10;8.91559525821031;54.7483085670594;"Leck";"Schleswig-Holstein"
"50";1219;"2000-2018";9;8.91559525821031;54.7483085670594;"Leck";"Schleswig-Holstein"
"51";1219;"1980-1999";7;8.91559525821031;54.7483085670594;"Leck";"Schleswig-Holstein"
"52";1220;"1900-2018";10;9.08223470416982;54.7483091765561;"Achtrup";"Schleswig-Holstein"
"53";1220;"2000-2018";8;9.08223470416982;54.7483091765561;"Achtrup";"Schleswig-Holstein"
"54";1220;"1980-1999";7;9.08223470416982;54.7483091765561;"Achtrup";"Schleswig-Holstein"
"55";1221;"2000-2018";5;9.2488741536701;54.7483098234491;"WallsbÅll";"Schleswig-Holstein"
"56";1221;"1980-1999";5;9.2488741536701;54.7483098234491;"WallsbÅll";"Schleswig-Holstein"
"57";1221;"1900-2018";10;9.2488741536701;54.7483098234491;"WallsbÅll";"Schleswig-Holstein"
"58";1222;"1900-2018";15;9.41551360692511;54.7483105077588;"Flensburg (SÅd)";"Schleswig-Holstein"
"59";1222;"2000-2018";13;9.41551360692511;54.7483105077588;"Flensburg (SÅd)";"Schleswig-Holstein"
"60";1222;"1980-1999";12;9.41551360692511;54.7483105077588;"Flensburg (SÅd)";"Schleswig-Holstein"
"61";1223;"1900-2018";10;9.58215306415398;54.7483112294567;"Husby";"Schleswig-Holstein"
"62";1223;"1980-1999";6;9.58215306415398;54.7483112294567;"Husby";"Schleswig-Holstein"
"63";1223;"2000-2018";8;9.58215306415398;54.7483112294567;"Husby";"Schleswig-Holstein"
"64";1224;"1900-2018";7;9.74879252562272;54.748311988559;"Sterup";"Schleswig-Holstein"
"65";1224;"1980-1999";3;9.74879252562272;54.748311988559;"Sterup";"Schleswig-Holstein"
"66";1224;"2000-2018";7;9.74879252562272;54.748311988559;"Sterup";"Schleswig-Holstein"
"67";1225;"1900-2018";11;9.91543199153396;54.7483127850512;"Gelting/Oehe";"Schleswig-Holstein"
"68";1225;"2000-2018";11;9.91543199153396;54.7483127850512;"Gelting/Oehe";"Schleswig-Holstein"
"69";1225;"1980-1999";10;9.91543199153396;54.7483127850512;"Gelting/Oehe";"Schleswig-Holstein"
"70";1226;"1900-2018";2;10.082071462113;54.7483136189532;"Gelting/Oehe";"Schleswig-Holstein"
"71";1226;"1980-1999";2;10.082071462113;54.7483136189532;"Gelting/Oehe";"Schleswig-Holstein"
"72";1315;"1900-2018";5;8.24903829368474;54.6483179708297;"Kniepsand (Amrum)";"Schleswig-Holstein"
"73";1315;"1980-1999";1;8.24903829368474;54.6483179708297;"Kniepsand (Amrum)";"Schleswig-Holstein"
"74";1315;"2000-2018";5;8.24903829368474;54.6483179708297;"Kniepsand (Amrum)";"Schleswig-Holstein"
"75";1316;"1900-2018";8;8.41567779477812;54.6483184302918;"Nieblum (Fîhr)";"Schleswig-Holstein"
"76";1316;"1980-1999";6;8.41567779477812;54.6483184302918;"Nieblum (Fîhr)";"Schleswig-Holstein"
"77";1316;"2000-2018";6;8.41567779477812;54.6483184302918;"Nieblum (Fîhr)";"Schleswig-Holstein"
