"Grid","Sample_ID","LU_type","Species","Ecological grouping","Maturity","Abundance","Additional material","Total abundance per replicate","Comments","FID","OBJECTID","Unique_ID","Photo","NOTES","observed_o","user_login","positional","POINT_X","POINT_Y","Date","Time","MAT","MAP","Albedo","MAP_Seas","MAT_Seas","Crop","Dist_Urban","Forest_Con","NDVI","Forest_Dec","Pop_Dens","Elev","Slope","Aspect","Dist_River","SOC","pH","P","N","Clay_Silt"
"G24",1,"CROP","Aporrectodea oliveirae","Epigeic","1I",1,NA,1,NA,273,273,"G24_CROP_1","https://inaturalist-open-data.s3.amazonaws.com/photos/162857134/medium.jpg"," ","Mon Oct 11 2021 10:25:27 GMT+0100 (GMT+1)","claudia_carvalho_santos",5,-8.69442905296,41.3486822551,"Mon Oct 11"," (GMT",15.2585001,1401.5899658,1575.6400146,51.6198006,365.9030151,0.429266,893.5960083,0,176.9889984,0.570734,83.4063034,56.8316002,249.0950012,115.560997,3320.6699219,97.8469009,5.2315798,28.8736992,2.6461599,44.2714996
"G24",2,"PAST","Lumbricus friendi","Anecic","1SM+3I",4,NA,4,NA,274,274,"G24_PAST_2","https://inaturalist-open-data.s3.amazonaws.com/photos/162857165/medium.jpg"," ","Mon Oct 11 2021 11:32:20 GMT+0100 (GMT+1)","claudia_carvalho_santos",5,-8.73347782574,41.3377271501,"Mon Oct 11"," (GMT",-9999,-9999,-9999,-9999,-9999,-9999,631.867981,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"G24",5,"URB","Aporrectodea trapezoides","Anecic","2SM",2,NA,NA,NA,272,272,"G24_URB_5","https://static.inaturalist.org/photos/162895020/medium.jpeg"," ","Mon Oct 11 2021 16:14:26 GMT+0100 (GMT+1)","claudia_carvalho_santos",5,-8.7551504897,41.3973785699,"Mon Oct 11"," (GMT",15.2784004,1324.8299561,1849.2399902,52.1156998,347.2810059,0.403799,631.867981,0,132.9629974,0,918.6079712,23.2047005,249.9989929,169.6560059,5817.8198242,85.816803,5.4974298,42.0997009,1.54803,34.6893005
"G24",5,"URB","Satchellius madeirensis","Epi-Endogeic","3I",3,NA,16,NA,272,272,"G24_URB_5","https://static.inaturalist.org/photos/162895020/medium.jpeg"," ","Mon Oct 11 2021 16:14:26 GMT+0100 (GMT+1)","claudia_carvalho_santos",5,-8.7551504897,41.3973785699,"Mon Oct 11"," (GMT",15.2784004,1324.8299561,1849.2399902,52.1156998,347.2810059,0.403799,631.867981,0,132.9629974,0,918.6079712,23.2047005,249.9989929,169.6560059,5817.8198242,85.816803,5.4974298,42.0997009,1.54803,34.6893005
"G24",6,"PERM","Aporrectodea trapezoides","Anecic","3SM+5I",8,"plus one big tail fragment",NA,NA,275,275,"G24_PERM_6","https://inaturalist-open-data.s3.amazonaws.com/photos/164217475/medium.jpg"," ","2021-10-18 16:04:54","ruicarvalho",7,-8.64832330458,41.3053729621,"2021-10-18","16:04",15.2160997,1503.4799805,1737.9899902,51.2284012,379.6619873,0.790471,1263.7399902,0,167.6670074,0.197561,330.446991,91.5651016,248.9530029,172.5449982,9457.9101563,95.0353012,5.3222799,27.7605,2.9287,46.0046997
"G24",6,"PERM","Allolobophora chlorotica","Endogeic","2M+2SM+2I",6,NA,17,NA,275,275,"G24_PERM_6","https://inaturalist-open-data.s3.amazonaws.com/photos/164217475/medium.jpg"," ","2021-10-18 16:04:54","ruicarvalho",7,-8.64832330458,41.3053729621,"2021-10-18","16:04",15.2160997,1503.4799805,1737.9899902,51.2284012,379.6619873,0.790471,1263.7399902,0,167.6670074,0.197561,330.446991,91.5651016,248.9530029,172.5449982,9457.9101563,95.0353012,5.3222799,27.7605,2.9287,46.0046997
"G15",7,"CROP","Octolasion cyaneum","Endogeic","1SM",1,NA,1,NA,301,301,"G15_CROP_7","https://inaturalist-open-data.s3.amazonaws.com/photos/163060648/medium.jpg"," ","Tue Oct 12 2021 10:12:09 GMT+0100 (GMT+1)","claudia_carvalho_santos",5,-8.55951033503,41.2425937641,"Tue Oct 12"," (GMT",15.25,1483.6400146,1565.1099854,50.8283997,400.5169983,0.268845,1263.7399902,0,156.4140015,0.376156,279.0239868,104.6539993,249.3220062,112.4540024,11201.2998047,72.6495972,5.2073898,35.6846008,2.63731,40.4510002
"G15",11,"URB","Aporrectodea trapezoides","Anecic","1SM+1I",2,NA,NA,NA,299,299,"G15_URB_11","https://static.inaturalist.org/photos/163116502/medium.jpeg"," ","Tue Oct 12 2021 16:30:53 GMT+0100 (GMT+1)","claudia_carvalho_santos",5,-8.61573942973,41.2666354096,"Tue Oct 12"," (GMT",15.2540998,1505.3299561,1729.8299561,51.0999985,388.8129883,0.308243,0,0,137.677002,0.003243,2215.2199707,95.6611023,249.6929932,104.9339981,13126.9003906,86.6035995,5.7032499,37.2845993,2.0956399,32.2168007
"G15",11,"URB","Allolobophora chlorotica","Epi-Endogeic","1M+5I+2FI",8,NA,12,NA,299,299,"G15_URB_11","https://static.inaturalist.org/photos/163116502/medium.jpeg"," ","Tue Oct 12 2021 16:30:53 GMT+0100 (GMT+1)","claudia_carvalho_santos",5,-8.61573942973,41.2666354096,"Tue Oct 12"," (GMT",15.2540998,1505.3299561,1729.8299561,51.0999985,388.8129883,0.308243,0,0,137.677002,0.003243,2215.2199707,95.6611023,249.6929932,104.9339981,13126.9003906,86.6035995,5.7032499,37.2845993,2.0956399,32.2168007
"G36",14,"PERM","Aporrectodea caliginosa","Endogeic","5M+2SM+12I",19,"plus 3 tail fragments",23,NA,242,242,"G36_PERM_14","https://inaturalist-open-data.s3.amazonaws.com/photos/163606848/medium.jpeg"," ","Fri Oct 15 2021 11:00:29 GMT+0100 (GMT+1)","claudia_carvalho_santos",65,-8.54165269052,41.5718737288,"Fri Oct 15"," (GMT",14.9996004,1502.9699707,1669.5699463,50.8366013,422.5360107,0.690227,0,0,157.2079926,0.110696,316.0769958,64.4540024,248.8600006,118.7549973,2143.7399902,78.7070007,5.4900298,37.5723991,2.7820899,42.0564003
"G36",15,"URB","Aporrectodea trapezoides","Anecic","1I",1,"plus one big tail fragment",1,NA,246,246,"G36_URB_15","https://inaturalist-open-data.s3.amazonaws.com/photos/163606895/medium.jpeg"," ","2021-10-15 12:49:13","ruicarvalho",9,-8.49682600022,41.5770276796,"2021-10-15","12:49",15.1911001,1509.1700439,1601.6700439,51.2126999,433.1409912,0.998584,893.5960083,0,156.1869965,0.0014159,357.3919983,44.4469986,248.947998,85.0236969,2558.1899414,68.4645004,5.19348,38.6473007,2.60833,43.6405983
"G36",16,"CROP","Octolasion tyrtaeum","Epi-Endogeic","2I",2,NA,2,NA,241,241,"G36_CROP_16","https://inaturalist-open-data.s3.amazonaws.com/photos/163607092/medium.jpeg"," ","Fri Oct 15 2021 15:01:41 GMT+0100 (GMT+1)","claudia_carvalho_santos",5,-8.60655745506,41.5866969987,"Fri Oct 15"," (GMT",15.0415001,1512.2199707,1767.3499756,50.7041016,407.6789856,0.826489,893.5960083,0,171.1470032,0,253.5670013,39.8330994,249.7720032,136.7749939,5885.5297852,73.6174011,5.4527998,45.5579987,2.75125,48.6879997
"G36",17,"PAST","Aporrectodea caliginosa","Endogeic","1I",1,NA,1,NA,244,244,"G36_PAST_17","https://inaturalist-open-data.s3.amazonaws.com/photos/163606957/medium.jpeg"," ","Fri Oct 15 2021 16:20:13 GMT+0100 (GMT+1)","claudia_carvalho_santos",5,-8.58245986003,41.4818602003,"Fri Oct 15"," (GMT",14.5417004,1637.9899902,1547.1700439,51.0084991,412.5509949,0.257772,631.867981,0,186.7169952,0.651596,101.098999,171.2899933,245.3309937,83.3153992,5078.6298828,83.1727982,4.9651198,29.6672001,2.5606401,37.3880997
"G33",21,"PAST","Aporrectodea trapezoides","Anecic","1FI",1,NA,NA,NA,44,44,"G33_PAST_21","https://static.inaturalist.org/photos/164543996/medium.jpeg"," ","2021-10-20 12:40:50","carolina_duarte",5,-6.57262471356,41.3411496973,"2021-10-20","12:40",12.5825005,881.5670166,1936.4200439,48.1873016,576.5939941,0.917291,7148.7700195,0,122.1090012,0,0,761.2449951,249.9980011,121.5899963,8904.5097656,41.6114998,6.00701,21.7201004,2.8454499,51.0612984
"G33",21,"PAST","Aporrectodea oliveirae","Epigeic","1FI",1,NA,2,NA,44,44,"G33_PAST_21","https://static.inaturalist.org/photos/164543996/medium.jpeg"," ","2021-10-20 12:40:50","carolina_duarte",5,-6.57262471356,41.3411496973,"2021-10-20","12:40",12.5825005,881.5670166,1936.4200439,48.1873016,576.5939941,0.917291,7148.7700195,0,122.1090012,0,0,761.2449951,249.9980011,121.5899963,8904.5097656,41.6114998,6.00701,21.7201004,2.8454499,51.0612984
"G45",25,"URB","Aporrectodea trapezoides","Anecic","1SM",1,NA,NA,NA,33,33,"G45_URB_25","https://static.inaturalist.org/photos/164581472/medium.jpeg"," ","2021-10-20 17:36:19","srcosta",9,-6.27344542826,41.5042051399,"2021-10-20","17:36",13.1927004,683.1350098,1638.5200195,45.7999992,592.7299805,0.420614,631.867981,0,116.2850037,0,826.9249878,649.5230103,239.4799957,124.6930008,1085.1099854,38.1235008,6.0401001,16.4990005,1.42705,55.6940002
"G45",25,"URB","Allolobophora chlorotica","Endogeic","1SM",1,NA,NA,NA,33,33,"G45_URB_25","https://static.inaturalist.org/photos/164581472/medium.jpeg"," ","2021-10-20 17:36:19","srcosta",9,-6.27344542826,41.5042051399,"2021-10-20","17:36",13.1927004,683.1350098,1638.5200195,45.7999992,592.7299805,0.420614,631.867981,0,116.2850037,0,826.9249878,649.5230103,239.4799957,124.6930008,1085.1099854,38.1235008,6.0401001,16.4990005,1.42705,55.6940002
"G45",25,"URB","Aporrectodea rosea","Endogeic","1I",1,NA,3,NA,33,33,"G45_URB_25","https://static.inaturalist.org/photos/164581472/medium.jpeg"," ","2021-10-20 17:36:19","srcosta",9,-6.27344542826,41.5042051399,"2021-10-20","17:36",13.1927004,683.1350098,1638.5200195,45.7999992,592.7299805,0.420614,631.867981,0,116.2850037,0,826.9249878,649.5230103,239.4799957,124.6930008,1085.1099854,38.1235008,6.0401001,16.4990005,1.42705,55.6940002
"G58",29,"PAST","Aporrectodea trapezoides","Anecic","4I",4,NA,NA,NA,200,200,"G58_PAST_29","https://inaturalist-open-data.s3.amazonaws.com/photos/165763062/medium.jpg"," ","Tue Oct 26 2021 10:15:27 GMT+0100 (GMT+1)","claudia_carvalho_santos",177,-8.7889373274,41.8693158306,"Tue Oct 26"," (GMT",14.5002003,1884.7299805,1394.8699951,49.2958984,337.3389893,0.422445,631.867981,0,182.4799957,0.0354968,122.3830032,77.2829971,242.6569977,177.7810059,8272.4599609,107.435997,5.6701498,26.1431999,2.9210401,27.8612003
"G58",29,"PAST","Satchellius madeirensis","Epi-Endogeic","1SM+6I",7,NA,11,NA,200,200,"G58_PAST_29","https://inaturalist-open-data.s3.amazonaws.com/photos/165763062/medium.jpg"," ","Tue Oct 26 2021 10:15:27 GMT+0100 (GMT+1)","claudia_carvalho_santos",177,-8.7889373274,41.8693158306,"Tue Oct 26"," (GMT",14.5002003,1884.7299805,1394.8699951,49.2958984,337.3389893,0.422445,631.867981,0,182.4799957,0.0354968,122.3830032,77.2829971,242.6569977,177.7810059,8272.4599609,107.435997,5.6701498,26.1431999,2.9210401,27.8612003
"G58",30,"URB","Aporrectodea trapezoides","Anecic","1M",1,NA,NA,NA,197,197,"G58_URB_30","https://inaturalist-open-data.s3.amazonaws.com/photos/165776665/medium.jpeg"," ","Tue Oct 26 2021 11:39:04 GMT+0100 (GMT+1)","claudia_carvalho_santos",5,-8.73877074607,41.9292577125,"Tue Oct 26"," (GMT",14.2244997,1827.3399658,1411.9799805,49.3716011,356.8789978,0.0579172,631.867981,0.0926536,172.5339966,0,469.2489929,153.9579926,243.9810028,206.3179932,1952.8499756,115.2399979,5.9308,16.594101,2.26669,28.1930008
"G58",30,"URB","Allolobophora chlorotica","Endogeic","1M",1,NA,NA,NA,197,197,"G58_URB_30","https://inaturalist-open-data.s3.amazonaws.com/photos/165776665/medium.jpeg"," ","Tue Oct 26 2021 11:39:04 GMT+0100 (GMT+1)","claudia_carvalho_santos",5,-8.73877074607,41.9292577125,"Tue Oct 26"," (GMT",14.2244997,1827.3399658,1411.9799805,49.3716011,356.8789978,0.0579172,631.867981,0.0926536,172.5339966,0,469.2489929,153.9579926,243.9810028,206.3179932,1952.8499756,115.2399979,5.9308,16.594101,2.26669,28.1930008
"G58",30,"URB","Satchellius madeirensis","Epi-Endogeic","1SM+7I+1FI",9,NA,11,NA,197,197,"G58_URB_30","https://inaturalist-open-data.s3.amazonaws.com/photos/165776665/medium.jpeg"," ","Tue Oct 26 2021 11:39:04 GMT+0100 (GMT+1)","claudia_carvalho_santos",5,-8.73877074607,41.9292577125,"Tue Oct 26"," (GMT",14.2244997,1827.3399658,1411.9799805,49.3716011,356.8789978,0.0579172,631.867981,0.0926536,172.5339966,0,469.2489929,153.9579926,243.9810028,206.3179932,1952.8499756,115.2399979,5.9308,16.594101,2.26669,28.1930008
"G58",33,"CROP","Allolobophora chlorotica","Endogeic","1SM+1I",2,NA,NA,NA,198,198,"G58_CROP_33","https://inaturalist-open-data.s3.amazonaws.com/photos/165807172/medium.jpg"," ","Tue Oct 26 2021 16:59:13 GMT+0200 (GMT+2)","claudia_carvalho_santos",5,-8.79314758809,41.9105673254,"Tue Oct 26"," (GMT",14.8965998,1759.5699463,1148.6400146,49.4958992,328.25,0.283398,631.867981,0,147.1410065,0,328.7090149,11.4603004,249.177002,127.4440002,4622.2797852,68.3124008,5.68297,19.3726006,2.91816,48.0924988
"G58",33,"CROP","Satchellius madeirensis","Epi-Endogeic","2I",2,NA,4,NA,198,198,"G58_CROP_33","https://inaturalist-open-data.s3.amazonaws.com/photos/165807172/medium.jpg"," ","Tue Oct 26 2021 16:59:13 GMT+0200 (GMT+2)","claudia_carvalho_santos",5,-8.79314758809,41.9105673254,"Tue Oct 26"," (GMT",14.8965998,1759.5699463,1148.6400146,49.4958992,328.25,0.283398,631.867981,0,147.1410065,0,328.7090149,11.4603004,249.177002,127.4440002,4622.2797852,68.3124008,5.68297,19.3726006,2.91816,48.0924988
"G58",34,"PERM","Aporrectodea trapezoides","Anecic","1M+2FM+1SM+18I+3FI",25,"plus 11 tail fragments and 4 fragments",NA,"severely damaged",199,199,"G58_PERM_34","https://inaturalist-open-data.s3.amazonaws.com/photos/165816724/medium.jpg"," ","Tue Oct 26 2021 16:23:32 GMT+0100 (GMT+1)","claudia_carvalho_santos",5,-8.79622634517,41.8869536601,"Tue Oct 26"," (GMT",14.8334999,1785.7800293,1489.6300049,49.4873009,329.5870056,0.85655,1787.1899414,0,178.8789978,0,100.288002,25.9731998,247.7640076,148.5769958,6582.4101563,82.4875031,5.2212901,23.0534,2.59589,32.4029007
"G58",34,"PERM","Satchellius madeirensis","Epi-Endogeic","2FSM+1FI",3,"plus 5 tail fragments",28,NA,199,199,"G58_PERM_34","https://inaturalist-open-data.s3.amazonaws.com/photos/165816724/medium.jpg"," ","Tue Oct 26 2021 16:23:32 GMT+0100 (GMT+1)","claudia_carvalho_santos",5,-8.79622634517,41.8869536601,"Tue Oct 26"," (GMT",14.8334999,1785.7800293,1489.6300049,49.4873009,329.5870056,0.85655,1787.1899414,0,178.8789978,0,100.288002,25.9731998,247.7640076,148.5769958,6582.4101563,82.4875031,5.2212901,23.0534,2.59589,32.4029007
"G64",38,"URB","Satchellius madeirensis","Epi-Endogeic","1SM+2I",3,NA,4,"sub-adult damaged",109,109,"G64_URB_38","https://inaturalist-open-data.s3.amazonaws.com/photos/165954525/medium.jpeg"," ","2021-10-27 13:24:47","srcosta",10,-7.2645185326,41.8526434296,"2021-10-27","13:24",11.9362001,1373.6700439,1605.9399414,49.6127014,529.7319946,1,3402.7099609,0,143.602005,0,83.382103,764.1599731,248.6970062,133.022995,11075.7001953,54.9207993,5.3280802,34.9555016,1.4351701,52.1940002
"G64",39,"PERM","Aporrectodea trapezoides","Anecic","1M",1,NA,NA,NA,111,111,"G64_PERM_39","https://inaturalist-open-data.s3.amazonaws.com/photos/165959604/medium.jpeg"," ","2021-10-27 14:06:55","srcosta",11,-7.28471694333,41.8389902559,"2021-10-27","14:06",11.6106005,1417.7199707,1431.8299561,49.3126984,525.5859985,0.299155,1263.7399902,0,155.4329987,0.016696,17.6147003,829.1539917,242.326004,75.2555008,8990.8095703,55.7748985,5.33145,24.7399006,2.0232301,48.671299
"G64",39,"PERM","Satchellius madeirensis","Epi-Endogeic","1I",1,NA,NA,NA,111,111,"G64_PERM_39","https://inaturalist-open-data.s3.amazonaws.com/photos/165959604/medium.jpeg"," ","2021-10-27 14:06:55","srcosta",11,-7.28471694333,41.8389902559,"2021-10-27","14:06",11.6106005,1417.7199707,1431.8299561,49.3126984,525.5859985,0.299155,1263.7399902,0,155.4329987,0.016696,17.6147003,829.1539917,242.326004,75.2555008,8990.8095703,55.7748985,5.33145,24.7399006,2.0232301,48.671299
"G64",40,"CROP","Satchellius madeirensis","Epi-Endogeic","1I",1,NA,NA,NA,110,110,"G64_CROP_40","https://inaturalist-open-data.s3.amazonaws.com/photos/166091955/medium.jpeg"," ","2021-10-27 15:55:18","ruicarvalho",9,-7.27381430209,41.851438946,"2021-10-27","15:55",12.0613003,1397.9799805,1552.9899902,49.5410004,530.1760254,0.868561,2278.2299805,0,149.2519989,0,17.8115005,748.3029785,247.5509949,168.2480011,10706.9003906,55.5656013,5.1912999,31.5156002,1.72023,49.2173004
