ID,OriginalSpeciesBinomial,SpeciesBinomial,Genus,Family,Ecological_group,Abundance,Abundance_Unit
000_Akulova2017_Komi_Reg_Sykt_5,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_4,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,0.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_7,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,6.4,Individuals per m2
000_Akulova2017_Komi_Reg_Sysol_2,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_6,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,48.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_9,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,1.2,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Kul_4,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,13.3,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_3,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,16.5,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_2,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,1.5,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_7,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Priluz_2,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,13.6,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_6,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_3,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,10.4,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Kul_2,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,1.9,Individuals per m2
000_Akulova2017_Komi_Reg_Sysol_3,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,8.8,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_14,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,14.4,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_1,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,8,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Kul_1,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,3.7,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Vym_6,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,21.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sysol_2,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,24.8,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_3,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,53.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sosnogorsk_11,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,4.2,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_13,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sosnogorsk_4,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Udor_2,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,5.2,Individuals per m2
000_Akulova2017_Komi_Reg_Udor_1,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,6.8,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_2,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sysol_1,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,4,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Vym_1,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,12,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Kul_3,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,8.5,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Vym_2,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,8,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_8,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,2.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_5,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,2.4,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_17,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,1.6,Individuals per m2
