Family,Genus,Subgenus_Bouche,Species,Subspecies_Bouche,Variety_Bouche,Ecogroup_Bouche,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli
Lumbricidae,Scherotheca,Scherotheca,gigas,aquitania,NA,Anecic,0,94,6,Anecic
Lumbricidae,Scherotheca,Scherotheca,gigas,rhodana,NA,Anecic,0,88,12,Anecic
Lumbricidae,Scherotheca,Scherotheca,gigas,mifuga,NA,Anecic,0,94,6,Anecic
Lumbricidae,Scherotheca,Scherotheca,gigas,orbiensis,NA,Anecic,0,88,12,Anecic
Lumbricidae,Scherotheca,Rosanus,dugesi,dugesi,NA,Anecic,0,85,15,Anecic
Lumbricidae,Scherotheca,Rosanus,dugesi,porotheca,NA,Anecic,0,91,9,Anecic
Lumbricidae,Scherotheca,Rosanus,dugesi,brevisella,NA,Anecic,0,91,9,Anecic
Lumbricidae,Scherotheca,Scherotheca,monospessulensis,idica,NA,Anecic,0,91,9,Anecic
Lumbricidae,Scherotheca,Opothedrilus,savignyi,savignyi,NA,Anecic,0,95,5,Anecic
Lumbricidae,Scherotheca,Opothedrilus,savignyi,minor,NA,Anecic,4,92,4,Anecic
Lumbricidae,Octodrilus,NA,complanatus,NA,NA,Anecic,4,75,21,Anecic
Lumbricidae,Nicodrilus,Nicodrilus,terrestris,terrestris,terrestris,Anecic,30,70,0,Epi-anecic
Lumbricidae,Nicodrilus,Nicodrilus,terrestris,voconcus,voconcus,Anecic,30,70,0,Epi-anecic
Lumbricidae,Nicodrilus,Nicodrilus,longus,longus,ambiguus,Anecic,32,68,0,Epi-anecic
Lumbricidae,Nicodrilus,Nicodrilus,longus,longus,longus,Anecic,32,68,0,Epi-anecic
Lumbricidae,Nicodrilus,Nicodrilus,longus,longus,amplisellus,Anecic,32,68,0,Epi-anecic
Lumbricidae,Nicodrilus,Nicodrilus,longus,ripicola,viridis,Anecic,41,59,0,Epi-anecic
Lumbricidae,Nicodrilus,Nicodrilus,longus,ripicola,NA,Anecic,36,64,0,Epi-anecic
Lumbricidae,Nicodrilus,Nicodrilus,caliginosus,meridionalis,NA,Anecic,51,49,0,Epi-anecic
Lumbricidae,Nicodrilus,Nicodrilus,nocturnus,nocturnus,NA,Anecic,49,51,0,Epi-anecic
Lumbricidae,Nicodrilus,Nicodrilus,balisus,NA,NA,Anecic,10,90,0,Anecic
Lumbricidae,Nicodrilus,Nicodrilus,velox,NA,NA,Anecic,0,85,15,Anecic
Lumbricidae,Nicodrilus,Nicodrilus,nocturnus,cistercianus,NA,Anecic,49,51,0,Epi-anecic
Lumbricidae,Nicodrilus,NA,terrestris,terrestris,lemovicus,Anecic,28,72,0,Epi-anecic
Lumbricidae,Nicodrilus,NA,terrestris,terrestris,eduensis,Anecic,30,70,0,Epi-anecic
Hormogastridae,Hormogaster,NA,samnitica,lirapora,NA,Endogeic,0,24,76,Endo-anecic
Hormogastridae,Hemigastrodrilus,NA,monicae,NA,NA,Endogeic,0,0,100,Endogeic
Lumbricidae,Prosellodrilus,NA,praticola,NA,NA,Endogeic,0,0,100,Endogeic
Lumbricidae,Prosellodrilus,NA,pyrenaicus,NA,NA,Endogeic,0,0,100,Endogeic
Lumbricidae,Prosellodrilus,Kenleenus,amplisetosus,amplisetosus,NA,Endogeic,0,0,100,Endogeic
Lumbricidae,Prosellodrilus,Kenleenus,amplisetosus,hexathecosus,NA,Endogeic,0,0,100,Endogeic
Lumbricidae,Kritodrilus,NA,calarensis,NA,NA,Endogeic,4,0,96,Endogeic
Lumbricidae,Octolasium,NA,lacteum,lacteum,NA,Endogeic,14,20,66,Endo-anecic
Lumbricidae,Octolasium,NA,lacteum,gracile,NA,Endogeic,14,20,66,Endo-anecic
Lumbricidae,Allolobophora,NA,icterica,icterica,NA,Endogeic,0,8,92,Endogeic
Lumbricidae,Nicodrilus,Nicodrilus,caliginosus,caliginosus,NA,Endogeic,16,4,80,Endogeic
Lumbricidae,Nicodrilus,Nicodrilus,caliginosus,alternisetosus,NA,Endogeic,0,22,78,Endogeic
Lumbricidae,Allolobophora,NA,rosea,rosea,NA,Endogeic,15,0,85,Endogeic
Lumbricidae,Allolobophora,NA,oculata,oculata,NA,Endogeic,15,0,85,Endogeic
Lumbricidae,Allolobophora,NA,graffi,NA,NA,Endogeic,0,0,100,Endogeic
Lumbricidae,Allolobophora,NA,ligrum,NA,NA,Endogeic,37,12,52,Epi-endogeic
Lumbricidae,Allolobophora,NA,antipai,antipai,NA,Endogeic,25,0,75,Epi-endogeic
Lumbricidae,Allolobophora,NA,muldali,NA,NA,Endogeic,44,0,56,Epi-endogeic
Lumbricidae,Allolobophora,NA,bartoli,bartoli,NA,Endogeic,0,49,51,Endo-anecic
Diporodrilidae,Diporodrilus ,NA,pilosus,NA,NA,Endogeic,0,8,92,Endogeic
Lumbricidae,Nicodrilus,Rhodonicus,arvernus,NA,NA,Epigeic,81,19,0,Epi-anecic
Lumbricidae,Lumbricus ,NA,castaneus,disjonctus,NA,Epigeic,90,10,0,Epigeic
