Predictor,Long_name,Category,Response,Response_measure,Response_long,Effect_size,Variance,Scale,Reference,Link,Comment
N,Soil_total_nitrogen_content,Soil_nutrients,Microbes,Biomass,Microbial_biomass_carbon,*,0.06,global,Serna-Chavez et al. 2013,,
CN,Soil_carbon_nitrogen_ratio,Soil_nutrients,Microbes,Biomass,Microbial_biomass_carbon,**,0.13,global,Serna-Chavez et al. 2013,,
T,Temperature,Climate,Microbes,Biomass,Microbial_biomass_carbon,ns,,global,Serna-Chavez et al. 2013,,
MAP,Mean_annual_precipitation,Climate,Microbes,Biomass,Microbial_biomass_carbon,***,,global,Serna-Chavez et al. 2013,,
pH,pH_value,Soil_pH,Microbes,Biomass,Microbial_biomass_carbon,**,0.09,global,Serna-Chavez et al. 2013,,
MaxWD,Maximum_monthly_frequency_wet_days,Soil_moisture,Microbes,Biomass,Microbial_biomass_carbon,***,0.34,global,Serna-Chavez et al. 2013,,
Elev,Elevation,Location,Bacteria,Diversity,Bacterial_Shannon_diversity,***,-0.2,global,Delgado-Baquerizo et al. 2016,,
T_range,Diurnal_temperature_range,Climate,Bacteria,Diversity,Bacterial_Shannon_diversity,***,-0.2,global,Delgado-Baquerizo et al. 2016,,
PrecSeas,Precipitation_seasonality,Climate,Bacteria,Diversity,Bacterial_Shannon_diversity,**,0.25,global,Delgado-Baquerizo et al. 2016,,
Lat,Latitude,Location,Bacteria,Diversity,Bacterial_Shannon_diversity,***,0.2,global,Delgado-Baquerizo et al. 2016,,
H2O,Aridity,Soil_moisture,Bacteria,Diversity,Bacterial_Shannon_diversity,**,0.02,global,Delgado-Baquerizo et al. 2016,,
MAT,Mean_annual_temperature,Climate,Bacteria,Diversity,Bacterial_Shannon_diversity,**,0.55,global,Delgado-Baquerizo et al. 2016,,
pH,pH_value,Soil_pH,Bacteria,Diversity,Bacterial_Shannon_diversity,**,0.15,global,Delgado-Baquerizo et al. 2016,,
C,Soil_total_carbon,Soil_carbon,Bacteria,Diversity,Bacterial_Shannon_diversity,**,0.08,global,Delgado-Baquerizo et al. 2016,,
CN,Soil_carbon_nitrogen_ratio,Soil_nutrients,Bacteria,Diversity,Bacterial_Shannon_diversity,*,0.01,global,Delgado-Baquerizo et al. 2016,,
pH,pH_value,Soil_pH,Bacteria,Diversity,,,,local,FAO 2020,,
SOM,Soil_organic_matter,Soil_carbon,Bacteria,Diversity,,,,local,FAO 2020,,
,Nutrient_availability,Soil_nutrients,Bacteria,Diversity,,,,local,FAO 2020,,
H2O,,Soil_moisture,Bacteria,Diversity,,,,local,FAO 2020,,
Veg,Vegetation,Biotic_interactions,Bacteria,Diversity,,,,local,FAO 2020,,
pH,pH_value,Soil_pH,Archaea,Diversity,,,,local,FAO 2020,,
SOM,Soil_organic_matter,Soil_carbon,Archaea,Diversity,,,,local,FAO 2020,,
,Nutrient_availability,Soil_nutrients,Archaea,Diversity,,,,local,FAO 2020,,
H2O,,Soil_moisture,Archaea,Diversity,,,,local,FAO 2020,,
Veg,Vegetation,Biotic_interactions,Archaea,Diversity,,,,local,FAO 2020,,
Veg,Plant_host,Biotic_interactions,Fungi,Diversity,,,,local,FAO 2020,,
pH,pH_value,Soil_pH,Fungi,Diversity,,,,local,FAO 2020,,
,Cation_concentration,Soil_nutrients,Fungi,Diversity,,,,local,FAO 2020,,
N,Soil_nitrogen,Soil_N,Fungi,Diversity,,,,local,FAO 2020,,
N,Nitrogen_deposition,Soil_nutrients,Fungi,Diversity,,,,local,FAO 2020,,
K,Potassium_depostion,Soil_nutrients,Fungi,Diversity,,,,local,FAO 2020,,
Cover,Habitat_cover,Land_use,general,Diversity,,,,global,FAO 2020,,
,,Climate,general,Diversity,,,,global,FAO 2020,,
H2O,Soil_moisture,Soil_moisture,general,Diversity,,,,global,FAO 2020,,
SOC,Soil_organic_carbon,Soil_carbon,general,Diversity,,,,global,FAO 2020,,
CN,Soil_carbon_nitrogen_ratio,Soil_nutrients,Fungi,Diversity,,,,global,Tedersoo et al. 2014,,
CN,Soil_carbon_nitrogen_ratio,Soil_nutrients,Bacteria,Diversity,,,,global,Bahran et al. 201,,
CN,Soil_carbon_nitrogen_ratio,Soil_nutrients,Earthworms,Diversity,,,,global,Phillips et al. 2019,,
pH,pH_value,Soil_pH,Fungi,Diversity,,,,global,Tedersoo et al. 2014,,
pH,pH_value,Soil_pH,Bacteria,Diversity,,,,global,Bahran et al. 201,,
pH,pH_value,Soil_pH,Earthworms,Diversity,,,,global,Phillips et al. 2019,,
Seas,Seasonaliy,Climate,general,Diversity,,,,global,FAO 2020,,
Prec,Precipitation,Climate,Earthworms,Diversity,Earthworm_Species_Richness,*,0.5,global,Phillips et al. 2019,,four variables namely Annal precipitation Precip. seasonality Number of Months with Snow and Aridity Index
Elev,Elevation,Climate,Earthworms,Diversity,Earthworm_Species_Richness,,0.2,global,Phillips et al. 2019,,
Cover,Habitat_cover,Land_use,Earthworms,Diversity,Earthworm_Species_Richness,,0.15,global,Phillips et al. 2019,,
H2O,Water_retention,Soil_moisture,Earthworms,Diversity,Earthworm_Species_Richness,,0.1,global,Phillips et al. 2019,,interaction between climate variable and soil property variable
pH,pH_value,Soil_pH,Bacteria,Abundance,Bacterial_abundance,,0.2,global,Delgado-Baquerizo et al. 2018,,averaged importance
H2O,Aridity_Index,Soil_moisture,Bacteria,Abundance,Bacterial_abundance,,0.18,global,Delgado-Baquerizo et al. 2018,,averaged importance
Tmax,Maximum_temperature,Climate,Bacteria,Abundance,Bacterial_abundance,,0.15,global,Delgado-Baquerizo et al. 2018,,averaged importance
PriPro,Primary_productivity,Biotic_interactions,Bacteria,Abundance,Bacterial_abundance,,0.14,global,Delgado-Baquerizo et al. 2018,,averaged importance
PrecSeas,Precipitation_seasonality,Climate,Bacteria,Abundance,Bacterial_abundance,,0.13,global,Delgado-Baquerizo et al. 2018,,averaged importance
UV,UV_light,Location,Bacteria,Abundance,Bacterial_abundance,,0.12,global,Delgado-Baquerizo et al. 2018,,averaged importance
Tmin,Minumum_temperature,Climate,Bacteria,Abundance,Bacterial_abundance,,0.115,global,Delgado-Baquerizo et al. 2018,,averaged importance
C,Soil_carbon,Soil_carbon,Bacteria,Abundance,Bacterial_abundance,,0.1,global,Delgado-Baquerizo et al. 2018,,averaged importance
Trange,Mean_diurnal_temperature_range,Climate,Bacteria,Abundance,Bacterial_abundance,,0.1,global,Delgado-Baquerizo et al. 2018,,averaged importance
N,Soil_nitrogen,Soil_nutrients,Bacteria,Abundance,Bacterial_abundance,,0.85,global,Delgado-Baquerizo et al. 2018,,averaged importance
CN,Soil_carbon_nitrogen_ratio,Soil_nutrients,Bacteria,Abundance,Bacterial_abundance,,0.7,global,Delgado-Baquerizo et al. 2018,,averaged importance
P,Soil_phosphorus,Soil_nutrients,Bacteria,Abundance,Bacterial_abundance,,0.7,global,Delgado-Baquerizo et al. 2018,,averaged importance
Cover,Habitat_cover,Land_use,Bacteria,Abundance,Bacterial_abundance,,0.6,global,Delgado-Baquerizo et al. 2018,,averaged importance
Clay,Clay_Silt_content,Soil_texture,Bacteria,Abundance,Bacterial_abundance,,0.6,global,Delgado-Baquerizo et al. 2018,,averaged importance
