Database,Organism_group,Taxa_name,Location,No_occurrences,Date_accessed,Comment
GBIF,Earthworms,Lumbricidae,Europe,"73,560",11/23/2021,drawn polygon around Europe
GBIF,Earthworms,Oligochaeta,Europe,"89,292",11/23/2021,
GBIF,Springtails,Collembola,Europe,"214,303",11/23/2021,
GBIF,Mites,Gamasidae,Europe,0,11/23/2021,
GBIF,Mites,Oribatidae,Europe,"1,485",11/23/2021,
GBIF,Bacteria,Bacteria,Europe,"2,703,147",11/23/2021,"all, no filter for soil-specific (how to define?)"
GBIF,Fungi,Fungi,Europe,"13,674,617",11/23/2021,
GBIF,Fungi,Glomeromycota,Europe,"9,209",11/23/2021,"AMF phylum, see 602 species in http://amf-phylogeny.com/"
GBIF,Nematodes,Nematoda,Europe,"120,370",11/23/2021,
GBIF,Enchytraeids,Enchytraeida,Europe,"29,876",11/23/2021,
GBIF,Insects,Formicidae,Europe,"304,716",11/23/2021,ants
GBIF,Insects,Isoptera,Europe,0,11/23/2021,"termites, but in GBIF only plant genus"
GBIF,Insects,Coleoptera,Europe,"9,352,738",11/23/2021,more specific?
GBIF,Insects,Oniscidae,Europe,"36,683",11/23/2021,the only terrestrial isopod suborder
GBIF,Mammals,Talpidae,Europe,"208,103",11/23/2021,moles
