Group_name,Kingdom,Phylum,Class,Order,Family,Genus,Species,SpeciesID,Fct_group,Comment
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Acanthodrilidae,Microscolex,Microscolex dubius,Micr_dubi,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Acanthodrilidae,Microscolex,Microscolex phosphoreus,Micr_phos,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Hormogastridae,Hemigastrodrilus,Hemigastrodrilus monicae,Hemi_moni,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Hormogastridae,Hormogaster,Hormogaster najaformis,Horm_naja,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Hormogastridae,Hormogaster,Hormogaster riojana,Horm_rioj,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Hormogastridae,Hormogaster,Hormogaster samnitica,Horm_samn,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Hormogastridae,Vignysa,Vignysa popi,Vign_popi,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Hormogastridae,Xana,Xana omodeoi,Xana_omod,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora altimontana,Allo_alti,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora antipae,Allo_anti,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora carpathica,Allo_carp,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora chlorotica,Allo_chlo,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora minuscula,Allo_minu,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora muldali,Allo_muld,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora sturanyi,Allo_stur,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophoridella,Allolobophoridella eiseni,Allo_eise,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodae,Aporrectodea caliginosa,Apor_cali,,including subspecies Aporrectodea caliginosa ssp. trapezoides
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodae,Aporrectodea cupulifera,Apor_cupu,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodae,Aporrectodea dubiosa,Apor_dubi,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodae,Aporrectodea georgii,Apor_geor,,
