Group_name,Kingdom,Phylum,Class,Order,Family,Genus,Species,SpeciesID,Comment
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora altimontana,Allo_alti,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora carpathica,Allo_carp,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora chlorotica,Allo_chlo,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora sturanyi dacidoides,Allo_stur,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophoridella,Allolobophoridella eiseni,Allo_eise,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodae,Aporrectodea caliginosa,Apor_cali,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodae,Aporrectodea cupulifera,Apor_cupu,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodae,Aporrectodea dubiosa,Apor_dubi,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodae,Aporrectodea georgii,Apor_geor,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodae,Aporrectodea giardi,Apor_giar,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodae,Aporrectodea handlirschi,Apor_hand,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodae,Aporrectodea icterica,Apor_icte,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodae,Aporrectodea jassyensis,Apor_jass,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodae,Aporrectodea limicola,Apor_limi,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodae,Aporrectodea longa,Apor_long,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodae,Aporrectodea rosea,Apor_rose,
