SpeciesID,RedList_Germany
Agast_mult,
Ailos_lact,
Allol_alti,
Allol_anti,
Allol_bell,
Allol_bise,
Allol_bore,
Allol_cali,N
Allol_carp,
Allol_cern,
Allol_chlo,N
Allol_daci,
Allol_dofl,
Allol_exac,
Allol_gest,
Allol_giar,
Allol_hisp,
Allol_jass,
Allol_leon,
Allol_meha,
Allol_moll,
Allol_more,
Allol_ocul,
Allol_parv,
Allol_robu,
Aporr_rose,N
Allol_satc,
Allol_stur,
Allol_terr,
Allol_eise,N
Allur_neap,
Amynt_agre,
Amynt_aspe,
Amynt_cort,
Amynt_grac,
Amynt_hete,
Amynt_hupe,
Amynt_medi,
Amynt_mini,
Amynt_morr,
Amynt_rode,
Amynt_toki,
Aniso_macl,
Aporr_carp,
Aporr_cupu,DD
Aporr_dubi,
Aporr_geor,N
Aporr_giar,
Aporr_hand,DD
Aporr_haym,
Aporr_icte,TU
Aporr_jass,Rare
Aporr_limi,TU
Aporr_long,N
Aporr_moll,
Aporr_noct,
Aporr_oliv,
Aporr_opis,
Aporr_smar,Rare
Aporr_thal,Rare
Aporr_trap,
Aporr_tube,
Aporr_turg,
Balan_pear,
Bella_emil,
Bimas_anti,
Bimas_jord,
Bimas_eise,
Bimas_parv,
Catal_edwa,
Catal_mont,
Catal_porq,
Cerno_bert,
Cerno_dudi,
Cerno_rebe,
Cerno_schw,
Criod_lacu,DD
Dendr_alpi,
Dendr_atte,N
Dendr_auri,Rare
Dendr_bybl,
Dendr_cluj,
Dendr_depr,
Dendr_fran,
Dendr_frid,
Dendr_gall,
Dendr_gang,
Dendr_hort,NE
Dendr_illy,Rare
Dendr_lusi,
Dendr_mari,
Dendr_octa,N
Dendr_orie,
Dendr_osel,
Dendr_pant,
Dendr_pavl,
Dendr_pent,
Dendr_pers,
Dendr_peru,
Dendr_plat,
Dendr_pseu,
Dendr_pygm,N
Dendr_ress,
Dendr_ruff,
Dendr_schm,
Dendr_semi,
Dendr_succ,
Dendr_vejd,N
Dendr_vene,NE
Dendr_rubi,N
Dicho_affi,
Dicho_baer,
Dicho_bola,
Dicho_ehrh,
Dicho_grac,
Dicho_lero,
Dicho_mami,
Dicho_modi,
Dicho_nota,
Dicho_papi,
Dicho_sali,
Dicho_terr,
Diplo_hulb,
Diplo_kans,
Diplo_long,
Diplo_sing,
Diplo_oxcu,
Diplo_papi,
Dipor_pilo,
Dorgi_robu,
Drawi_barw,
Drawi_gist,
Drawi_japo,
Drawi_nepa,
Eisen_andr,NE
Eisen_atla,
Eisen_aust,
Eisen_bala,
Eisen_feti,NE
Eisen_foet,
Eisen_japo,
Eisen_luce,Rare
Eisen_nord,
Eisen_rhod,
Eisen_rose,
Eisen_spel,
Eisen_stor,
Eisen_subm,
