"ID","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Longitude","Latitude"
1,94,75,35,4875,213,0,213,42,58,158,34,644,61,43,9,174,139,169,159,-1.278612,52.55493
2,99,79,34,5572,223,-6,229,154,59,168,27,801,75,52,10,213,174,211,195,4.93903,50.98557
3,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.024639,51.46312
4,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.023232,51.461579
5,96,75,35,4834,213,1,212,45,60,158,35,687,69,43,13,199,145,165,176,-1.137751,51.564083
6,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.024639,51.46312
7,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.081326,51.457373
8,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.085638,51.457677
9,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.078874,51.457624
10,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.08099,51.459798
11,72,59,39,3254,151,0,151,44,78,115,33,994,115,52,27,336,164,230,265,-3.096113,59.068167
12,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.085638,51.457677
13,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.083911,51.457663
14,96,75,35,4834,213,1,212,45,60,158,35,687,69,43,13,199,145,165,176,-1.137172,51.564169
15,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.081326,51.457373
16,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.08099,51.459798
17,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.083911,51.457663
18,82,74,38,4350,189,-5,194,117,49,140,28,716,71,43,16,210,141,182,176,-3.307579,56.069837
19,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.081326,51.457373
20,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.08099,51.459798
21,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.083911,51.457663
