"SDM","SpeciesID","biomod","brt","brt2","ensm","gm","lasso","lmSubset","lm1","mars","maxent","maxnet","rf","rfDownsample","rf2","ridge","svm"
"SDM","Allol_chlo",1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Allol_cupu",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SDM","Allol_dofl",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Allol_eise",1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Allol_jass",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Allol_muld",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SDM","Allol_rose",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Allol_smar",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SDM","Amynt_cort",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Aporr_cali",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Aporr_cupu",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Aporr_geor",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Aporr_hand",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Aporr_icte",1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Aporr_jass",1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Aporr_limi",1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Aporr_long",1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Aporr_moll",1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Aporr_noct",1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Aporr_oerl",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SDM","Aporr_oliv",1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Aporr_rose",1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Aporr_smar",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"SDM","Aporr_trap",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SDM","Aporr_tube",NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Criod_lacu",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Dendr_alpi",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Dendr_atte",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Dendr_bybl",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Dendr_depr",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Dendr_gall",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Dendr_hort",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Dendr_illy",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Dendr_lusi",NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Dendr_octa",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Dendr_pers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SDM","Dendr_pygm",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Dendr_rubi",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Dendr_vejd",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Dendr_vene",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Eisen_andr",NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Eisen_feti",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Eisen_luce",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Eisen_tetr",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Fitzi_plat",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SDM","Healy_mari",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1
"SDM","Helod_ocul",NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Lumbr_bade",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Lumbr_cast",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"SDM","Lumbr_fest",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SDM","Lumbr_frie",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SDM","Lumbr_herc",NA,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA,1,1
"SDM","Lumbr_meli",NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
