"SpeciesID","Kappa","TSS","ROC"
"Allol_chlo",0.534,0.625,0.904
"Aporr_rose",0.528,0.573,0.885
"Allol_eise",0.491,0.82,0.967
"Aporr_cali",0.559,0.57,0.887
"Aporr_long",0.519,0.689,0.927
"Dendr_atte",0.476,0.802,0.966
"Dendr_illy",0.836,0.986,0.998
"Dendr_octa",0.471,0.504,0.858
"Dendr_rubi",0.474,0.578,0.884
"Eisen_feti",0.445,0.728,0.939
"Eisen_tetr",0.793,0.801,0.967
"Lumbr_cast",0.515,0.633,0.903
"Lumbr_fest",0.332,0.795,0.951
"Lumbr_rube",0.543,0.625,0.904
"Lumbr_terr",0.581,0.627,0.91
"Octol_cyan",0.469,0.616,0.9
"Octol_lact",0.459,0.684,0.93
"Octol_tyrt",0.541,0.814,0.965
"Satch_mamm",0.457,0.914,0.982
