"SpeciesID","RawOcc","CleanOcc","NumCells_2km","Edaphobase_raw","GBIF_raw","jean_raw","jerome_raw","SoilReCon_raw","sWorm_raw","NA","Edaphobase_clean","GBIF_clean","jean_clean","jerome_clean","SoilReCon_clean","sWorm_clean","Included"
"Allol_chlo",7761,6886,2004,779,3141,3247,25,24,545,NA,738,2918,3186,20,24,394,TRUE
"Allol_dofl",44,43,36,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,43,NA,NA,TRUE
"Allol_eise",342,284,164,16,286,NA,NA,NA,40,NA,15,269,NA,NA,NA,21,TRUE
"Allol_rose",38,38,24,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,38,NA,NA,TRUE
"Aporr_cali",16888,15030,3300,2849,7623,4989,82,6,1339,NA,2793,7312,4848,71,6,874,TRUE
"Aporr_cupu",41,29,18,6,26,NA,NA,NA,9,NA,3,26,NA,NA,NA,8,TRUE
"Aporr_hand",22,10,10,3,7,NA,NA,NA,12,NA,3,7,NA,NA,NA,12,TRUE
"Aporr_icte",205,132,68,41,122,NA,NA,NA,42,NA,33,99,NA,NA,NA,42,TRUE
"Aporr_limi",232,182,112,41,150,NA,NA,NA,41,NA,41,141,NA,NA,NA,41,TRUE
"Aporr_long",3546,3062,1039,239,1673,1346,11,NA,277,NA,224,1553,1280,5,NA,260,TRUE
"Aporr_moll",67,1,33,NA,NA,NA,NA,1,66,NA,NA,NA,NA,NA,1,60,TRUE
"Aporr_noct",38,22,28,NA,25,NA,NA,NA,13,NA,NA,22,NA,NA,NA,13,TRUE
"Aporr_oliv",29,11,26,NA,NA,NA,NA,11,18,NA,NA,NA,NA,NA,11,18,TRUE
"Aporr_rose",12532,11238,2495,1644,6490,3241,95,11,1051,NA,1594,6377,3175,81,11,629,TRUE
"Aporr_smar",22,22,20,2,6,NA,14,NA,NA,NA,2,6,NA,14,NA,NA,TRUE
"Aporr_trap",738,52,55,NA,NA,NA,4,50,684,NA,NA,NA,NA,2,50,97,TRUE
"Dendr_alpi",18,18,10,1,11,NA,6,NA,NA,NA,1,11,NA,6,NA,NA,TRUE
"Dendr_atte",414,397,129,82,317,NA,7,8,NA,NA,82,301,NA,6,8,NA,TRUE
"Dendr_bybl",16,9,15,1,3,NA,5,NA,7,NA,1,3,NA,5,NA,7,TRUE
"Dendr_hort",95,81,59,8,72,NA,11,NA,4,NA,8,62,NA,11,NA,4,TRUE
