"NumOcc","NumSpecies","NumSpeciesID","OccType"
0,357,339,"NumCells_2km"
1,146,131,"NumCells_2km"
5,78,68,"NumCells_2km"
10,61,51,"NumCells_2km"
15,52,43,"NumCells_2km"
20,47,38,"NumCells_2km"
50,32,24,"NumCells_2km"
100,27,20,"NumCells_2km"
200,21,14,"NumCells_2km"
300,18,12,"NumCells_2km"
500,16,10,"NumCells_2km"
1000,8,6,"NumCells_2km"
0,357,339,"Records"
1,240,223,"Records"
5,134,121,"Records"
10,99,88,"Records"
15,87,76,"Records"
20,76,65,"Records"
50,48,40,"Records"
100,38,30,"Records"
200,32,25,"Records"
300,29,22,"Records"
500,24,17,"Records"
1000,21,14,"Records"
