"","IUCNcat","sumCell","SpeciesID","coverage","coverage_km2"
"1","ProtectedAreas",108686.248939713,"Aporr_cali",0.2866,434745
"2","II",1584.07952468658,"Aporr_cali",0.0042,6336.32
"3","V",66062.0661482624,"Aporr_cali",0.1742,264248.26
"4","Ib",62.5509414391793,"Aporr_cali",2e-04,250.2
"5","IV",13037.1170442984,"Aporr_cali",0.0344,52148.47
"6","III",119.64285426149,"Aporr_cali",3e-04,478.57
"7","Ia",44.7996044974709,"Aporr_cali",1e-04,179.2
"8","Not.Reported",45115.4008470206,"Aporr_cali",0.119,180461.6
"9","Not.Assigned",7389.78926505413,"Aporr_cali",0.0195,29559.16
"10","Not.Applicable",564.512311651422,"Aporr_cali",0.0015,2258.05
"11","VI",443.921729736598,"Aporr_cali",0.0012,1775.69
"12","Presence",379213,"Aporr_cali",1,1516852
"13","ProtectedAreas",93423.2088740948,"Lumbr_terr",0.2606,373692.84
"14","II",1045.27825508385,"Lumbr_terr",0.0029,4181.11
"15","V",57332.4993182035,"Lumbr_terr",0.1599,229330
"16","Ib",60.0690796406595,"Lumbr_terr",2e-04,240.28
"17","IV",9520.6988880006,"Lumbr_terr",0.0266,38082.8
"18","III",120.450595214714,"Lumbr_terr",3e-04,481.8
"19","Ia",90.7679811878081,"Lumbr_terr",3e-04,363.07
"20","Not.Reported",36640.0588720501,"Lumbr_terr",0.1022,146560.24
"21","Not.Assigned",5572.46267847771,"Lumbr_terr",0.0155,22289.85
"22","Not.Applicable",311.081764454277,"Lumbr_terr",9e-04,1244.33
"23","VI",380.185210303541,"Lumbr_terr",0.0011,1520.74
"24","Presence",358503,"Lumbr_terr",1,1434012
