"IUCNcat","sumCell","SpeciesID","coverage","SSP","coverage_km2"
"Ia",10.3592260289964,"Allol_chlo_ssp126_mean",2e-04,"ssp126",51.8
"Ib",4.56021254493066,"Allol_chlo_ssp126_mean",1e-04,"ssp126",22.8
"II",213.326487631953,"Allol_chlo_ssp126_mean",0.0033,"ssp126",1066.63
"III",25.1022420398836,"Allol_chlo_ssp126_mean",4e-04,"ssp126",125.51
"IV",1511.15352788905,"Allol_chlo_ssp126_mean",0.0236,"ssp126",7555.77
"Not.Applicable",158.598626216373,"Allol_chlo_ssp126_mean",0.0025,"ssp126",792.99
"Not.Assigned",855.056514296944,"Allol_chlo_ssp126_mean",0.0134,"ssp126",4275.28
"Not.Reported",8349.25637460043,"Allol_chlo_ssp126_mean",0.1306,"ssp126",41746.28
"Outside.PA",43936.1300231233,"Allol_chlo_ssp126_mean",0.6872,"ssp126",219680.65
"Presence",63938,"Allol_chlo_ssp126_mean",1,"ssp126",319690
"Protected",10638.9584617629,"Allol_chlo_ssp126_mean",0.1664,"ssp126",53194.79
"Unprotected",53299.0415382371,"Allol_chlo_ssp126_mean",0.8336,"ssp126",266495.21
"V",8751.23426819071,"Allol_chlo_ssp126_mean",0.1369,"ssp126",43756.17
"VI",123.22249743742,"Allol_chlo_ssp126_mean",0.0019,"ssp126",616.11
"Ia",10.1639590661161,"Allol_chlo_ssp370_mean",2e-04,"ssp370",50.82
"Ib",4.10725710596103,"Allol_chlo_ssp370_mean",1e-04,"ssp370",20.54
"II",194.959752613385,"Allol_chlo_ssp370_mean",0.0031,"ssp370",974.8
"III",23.8686071953462,"Allol_chlo_ssp370_mean",4e-04,"ssp370",119.34
"IV",1451.38587575892,"Allol_chlo_ssp370_mean",0.0232,"ssp370",7256.93
"Not.Applicable",156.984543733963,"Allol_chlo_ssp370_mean",0.0025,"ssp370",784.92
"Not.Assigned",836.312852635254,"Allol_chlo_ssp370_mean",0.0134,"ssp370",4181.56
"Not.Reported",8186.00805230745,"Allol_chlo_ssp370_mean",0.1309,"ssp370",40930.04
"Outside.PA",43033.7690397406,"Allol_chlo_ssp370_mean",0.6882,"ssp370",215168.85
"Presence",62529,"Allol_chlo_ssp370_mean",1,"ssp370",312645
"Protected",10315.9255115827,"Allol_chlo_ssp370_mean",0.165,"ssp370",51579.63
"Unprotected",52213.0744884173,"Allol_chlo_ssp370_mean",0.835,"ssp370",261065.37
"V",8513.54931253627,"Allol_chlo_ssp370_mean",0.1362,"ssp370",42567.75
"VI",117.890747306732,"Allol_chlo_ssp370_mean",0.0019,"ssp370",589.45
"Ia",9.48451619914886,"Allol_chlo_ssp585_mean",2e-04,"ssp585",47.42
"Ib",3.70607556341361,"Allol_chlo_ssp585_mean",1e-04,"ssp585",18.53
"II",192.703461761119,"Allol_chlo_ssp585_mean",0.0032,"ssp585",963.52
"III",22.9824178879698,"Allol_chlo_ssp585_mean",4e-04,"ssp585",114.91
"IV",1369.41886608553,"Allol_chlo_ssp585_mean",0.0228,"ssp585",6847.09
"Not.Applicable",164.750689341186,"Allol_chlo_ssp585_mean",0.0027,"ssp585",823.75
"Not.Assigned",804.105642360448,"Allol_chlo_ssp585_mean",0.0134,"ssp585",4020.53
"Not.Reported",7949.07334997508,"Allol_chlo_ssp585_mean",0.1321,"ssp585",39745.37
"Outside.PA",41520.7892505788,"Allol_chlo_ssp585_mean",0.69,"ssp585",207603.95
"Presence",60174,"Allol_chlo_ssp585_mean",1,"ssp585",300870
"Protected",9735.28106774447,"Allol_chlo_ssp585_mean",0.1618,"ssp585",48676.41
"Unprotected",50438.7189322555,"Allol_chlo_ssp585_mean",0.8382,"ssp585",252193.59
"V",8026.96080886599,"Allol_chlo_ssp585_mean",0.1334,"ssp585",40134.8
"VI",110.024921381302,"Allol_chlo_ssp585_mean",0.0018,"ssp585",550.12
"Ia",8.26414884835867,"Allol_eise_ssp126_mean",2e-04,"ssp126",41.32
"Ib",2.86993528224002,"Allol_eise_ssp126_mean",1e-04,"ssp126",14.35
"II",183.827819718156,"Allol_eise_ssp126_mean",0.005,"ssp126",919.14
"III",14.3707549052435,"Allol_eise_ssp126_mean",4e-04,"ssp126",71.85
"IV",1099.09900480093,"Allol_eise_ssp126_mean",0.0296,"ssp126",5495.5
"Not.Applicable",19.4971499007606,"Allol_eise_ssp126_mean",5e-04,"ssp126",97.49
"Not.Assigned",723.575993669184,"Allol_eise_ssp126_mean",0.0195,"ssp126",3617.88
"Not.Reported",4862.10178154216,"Allol_eise_ssp126_mean",0.1312,"ssp126",24310.51
"Outside.PA",25091.1431005728,"Allol_eise_ssp126_mean",0.6769,"ssp126",125455.72
"Presence",37070,"Allol_eise_ssp126_mean",1,"ssp126",185350
"Protected",6373.6819743151,"Allol_eise_ssp126_mean",0.1719,"ssp126",31868.41
"Unprotected",30696.3180256849,"Allol_eise_ssp126_mean",0.8281,"ssp126",153481.59
"V",4919.4304468291,"Allol_eise_ssp126_mean",0.1327,"ssp126",24597.15
"VI",145.819863931074,"Allol_eise_ssp126_mean",0.0039,"ssp126",729.1
"Ia",8.46682784082986,"Allol_eise_ssp370_mean",3e-04,"ssp370",42.33
"Ib",2.29659250014402,"Allol_eise_ssp370_mean",1e-04,"ssp370",11.48
"II",165.896400918652,"Allol_eise_ssp370_mean",0.005,"ssp370",829.48
"III",13.7667086802562,"Allol_eise_ssp370_mean",4e-04,"ssp370",68.83
"IV",969.654127217841,"Allol_eise_ssp370_mean",0.0292,"ssp370",4848.27
"Not.Applicable",21.8288846251035,"Allol_eise_ssp370_mean",7e-04,"ssp370",109.14
"Not.Assigned",631.889250673057,"Allol_eise_ssp370_mean",0.019,"ssp370",3159.45
"Not.Reported",4574.52321526699,"Allol_eise_ssp370_mean",0.1378,"ssp370",22872.62
"Outside.PA",22343.6889959518,"Allol_eise_ssp370_mean",0.6729,"ssp370",111718.44
"Presence",33205,"Allol_eise_ssp370_mean",1,"ssp370",166025
"Protected",5633.06965348303,"Allol_eise_ssp370_mean",0.1696,"ssp370",28165.35
"Unprotected",27571.930346517,"Allol_eise_ssp370_mean",0.8304,"ssp370",137859.65
"V",4347.47979438318,"Allol_eise_ssp370_mean",0.1309,"ssp370",21737.4
"VI",125.509201942123,"Allol_eise_ssp370_mean",0.0038,"ssp370",627.55
"Ia",7.41523666522153,"Allol_eise_ssp585_mean",3e-04,"ssp585",37.08
"Ib",1.56665163309253,"Allol_eise_ssp585_mean",1e-04,"ssp585",7.83
"II",137.635772458353,"Allol_eise_ssp585_mean",0.005,"ssp585",688.18
"III",13.053243261766,"Allol_eise_ssp585_mean",5e-04,"ssp585",65.27
"IV",786.499967787364,"Allol_eise_ssp585_mean",0.0288,"ssp585",3932.5
"Not.Applicable",13.5449083324002,"Allol_eise_ssp585_mean",5e-04,"ssp585",67.72
"Not.Assigned",573.629087622861,"Allol_eise_ssp585_mean",0.021,"ssp585",2868.15
"Not.Reported",4004.4880644893,"Allol_eise_ssp585_mean",0.1464,"ssp585",20022.44
"Outside.PA",18079.0866892146,"Allol_eise_ssp585_mean",0.661,"ssp585",90395.43
"Presence",27353,"Allol_eise_ssp585_mean",1,"ssp585",136765
"Protected",4682.25125034087,"Allol_eise_ssp585_mean",0.1712,"ssp585",23411.26
"Unprotected",22670.7487496591,"Allol_eise_ssp585_mean",0.8288,"ssp585",113353.74
"V",3626.73031213547,"Allol_eise_ssp585_mean",0.1326,"ssp585",18133.65
"VI",109.350066399604,"Allol_eise_ssp585_mean",0.004,"ssp585",546.75
"Ia",3.42794485750892,"Aporr_cali_ssp126_mean",1e-04,"ssp126",17.14
"Ib",4.75116282702334,"Aporr_cali_ssp126_mean",1e-04,"ssp126",23.76
"II",123.860626045213,"Aporr_cali_ssp126_mean",0.003,"ssp126",619.3
"III",7.39515416240964,"Aporr_cali_ssp126_mean",2e-04,"ssp126",36.98
"IV",987.043810639725,"Aporr_cali_ssp126_mean",0.0236,"ssp126",4935.22
"Not.Applicable",29.4683714711955,"Aporr_cali_ssp126_mean",7e-04,"ssp126",147.34
"Not.Assigned",590.146870569821,"Aporr_cali_ssp126_mean",0.0141,"ssp126",2950.73
"Not.Reported",4847.09785145448,"Aporr_cali_ssp126_mean",0.1159,"ssp126",24235.49
"Outside.PA",28915.0836968463,"Aporr_cali_ssp126_mean",0.6911,"ssp126",144575.42
"Presence",41837,"Aporr_cali_ssp126_mean",1,"ssp126",209185
"Protected",7455.20320965823,"Aporr_cali_ssp126_mean",0.1782,"ssp126",37276.02
"Unprotected",34381.7967903418,"Aporr_cali_ssp126_mean",0.8218,"ssp126",171908.98
"V",6302.82910678304,"Aporr_cali_ssp126_mean",0.1507,"ssp126",31514.15
"VI",25.8954043433059,"Aporr_cali_ssp126_mean",6e-04,"ssp126",129.48
"Ia",3.19025534647335,"Aporr_cali_ssp370_mean",1e-04,"ssp370",15.95
"Ib",4.27998245370486,"Aporr_cali_ssp370_mean",1e-04,"ssp370",21.4
"II",90.905241362957,"Aporr_cali_ssp370_mean",0.0023,"ssp370",454.53
"III",6.76781673626236,"Aporr_cali_ssp370_mean",2e-04,"ssp370",33.84
"IV",909.306137780519,"Aporr_cali_ssp370_mean",0.0232,"ssp370",4546.53
"Not.Applicable",27.2212333728476,"Aporr_cali_ssp370_mean",7e-04,"ssp370",136.11
"Not.Assigned",576.804418571581,"Aporr_cali_ssp370_mean",0.0147,"ssp370",2884.02
"Not.Reported",4695.0803242266,"Aporr_cali_ssp370_mean",0.1195,"ssp370",23475.4
"Outside.PA",27176.0831956355,"Aporr_cali_ssp370_mean",0.692,"ssp370",135880.42
"Presence",39274,"Aporr_cali_ssp370_mean",1,"ssp370",196370
"Protected",6798.81082819346,"Aporr_cali_ssp370_mean",0.1731,"ssp370",33994.05
"Unprotected",32475.1891718065,"Aporr_cali_ssp370_mean",0.8269,"ssp370",162375.95
"V",5743.95350870189,"Aporr_cali_ssp370_mean",0.1463,"ssp370",28719.77
"VI",40.4078858116573,"Aporr_cali_ssp370_mean",0.001,"ssp370",202.04
"Ia",3.4806836443513,"Aporr_cali_ssp585_mean",1e-04,"ssp585",17.4
"Ib",3.85609064579853,"Aporr_cali_ssp585_mean",1e-04,"ssp585",19.28
"II",101.103226047208,"Aporr_cali_ssp585_mean",0.0029,"ssp585",505.52
"III",6.94655570388543,"Aporr_cali_ssp585_mean",2e-04,"ssp585",34.73
"IV",798.283376035623,"Aporr_cali_ssp585_mean",0.0226,"ssp585",3991.42
"Not.Applicable",34.8726554876866,"Aporr_cali_ssp585_mean",0.001,"ssp585",174.36
"Not.Assigned",574.225744644239,"Aporr_cali_ssp585_mean",0.0163,"ssp585",2871.13
"Not.Reported",4456.79058322413,"Aporr_cali_ssp585_mean",0.1263,"ssp585",22283.95
"Outside.PA",24300.4457906268,"Aporr_cali_ssp585_mean",0.6889,"ssp585",121502.23
"Presence",35274,"Aporr_cali_ssp585_mean",1,"ssp585",176370
"Protected",5907.66522601715,"Aporr_cali_ssp585_mean",0.1675,"ssp585",29538.33
"Unprotected",29366.3347739828,"Aporr_cali_ssp585_mean",0.8325,"ssp585",146831.67
"V",4951.74762887198,"Aporr_cali_ssp585_mean",0.1404,"ssp585",24758.74
"VI",42.2476650683038,"Aporr_cali_ssp585_mean",0.0012,"ssp585",211.24
"Ia",24.7101458652282,"Aporr_long_ssp126_mean",4e-04,"ssp126",123.55
"Ib",12.4007465744755,"Aporr_long_ssp126_mean",2e-04,"ssp126",62
"II",259.713790171215,"Aporr_long_ssp126_mean",0.0039,"ssp126",1298.57
"III",21.048407750325,"Aporr_long_ssp126_mean",3e-04,"ssp126",105.24
"IV",2022.45576322636,"Aporr_long_ssp126_mean",0.0304,"ssp126",10112.28
"Not.Applicable",68.5254468192961,"Aporr_long_ssp126_mean",0.001,"ssp126",342.63
"Not.Assigned",1090.09610903218,"Aporr_long_ssp126_mean",0.0164,"ssp126",5450.48
"Not.Reported",8311.50796657036,"Aporr_long_ssp126_mean",0.125,"ssp126",41557.54
"Outside.PA",44988.0767267271,"Aporr_long_ssp126_mean",0.6767,"ssp126",224940.38
"Presence",66485,"Aporr_long_ssp126_mean",1,"ssp126",332425
"Protected",12026.7937508511,"Aporr_long_ssp126_mean",0.1809,"ssp126",60133.97
"Unprotected",54458.2062491489,"Aporr_long_ssp126_mean",0.8191,"ssp126",272291.03
"V",9591.23977766698,"Aporr_long_ssp126_mean",0.1443,"ssp126",47956.2
"VI",95.2251195965146,"Aporr_long_ssp126_mean",0.0014,"ssp126",476.13
"Ia",25.4415167265884,"Aporr_long_ssp370_mean",4e-04,"ssp370",127.21
"Ib",12.8739373987626,"Aporr_long_ssp370_mean",2e-04,"ssp370",64.37
"II",259.234662088496,"Aporr_long_ssp370_mean",0.0039,"ssp370",1296.17
"III",21.498645814033,"Aporr_long_ssp370_mean",3e-04,"ssp370",107.49
"IV",1936.33295711927,"Aporr_long_ssp370_mean",0.0291,"ssp370",9681.66
"Not.Applicable",74.9702238162663,"Aporr_long_ssp370_mean",0.0011,"ssp370",374.85
"Not.Assigned",1076.56758337939,"Aporr_long_ssp370_mean",0.0162,"ssp370",5382.84
"Not.Reported",8232.83516936367,"Aporr_long_ssp370_mean",0.1239,"ssp370",41164.18
"Outside.PA",45301.8644016393,"Aporr_long_ssp370_mean",0.6816,"ssp370",226509.32
"Presence",66463,"Aporr_long_ssp370_mean",1,"ssp370",332315
"Protected",11776.7626218014,"Aporr_long_ssp370_mean",0.1772,"ssp370",58883.81
"Unprotected",54686.2373781986,"Aporr_long_ssp370_mean",0.8228,"ssp370",273431.19
"V",9416.48134526365,"Aporr_long_ssp370_mean",0.1417,"ssp370",47082.41
"VI",104.899557390616,"Aporr_long_ssp370_mean",0.0016,"ssp370",524.5
"Ia",26.8663920644226,"Aporr_long_ssp585_mean",4e-04,"ssp585",134.33
