"SpeciesID","SSP","Ia","Ib","II","III","IV","Not.Applicable","Not.Assigned","Not.Reported","Outside.PA","Presence","Protected","Unprotected","V","VI"
"Allol_chlo","ssp126",51.8,22.8,1066.63,125.51,7555.77,792.99,4275.28,41746.28,219680.65,319690,53194.79,266495.21,43756.17,616.11
"Allol_chlo","ssp370",50.82,20.54,974.8,119.34,7256.93,784.92,4181.56,40930.04,215168.85,312645,51579.63,261065.37,42567.75,589.45
"Allol_chlo","ssp585",47.42,18.53,963.52,114.91,6847.09,823.75,4020.53,39745.37,207603.95,300870,48676.41,252193.59,40134.8,550.12
"Allol_eise","ssp126",41.32,14.35,919.14,71.85,5495.5,97.49,3617.88,24310.51,125455.72,185350,31868.41,153481.59,24597.15,729.1
"Allol_eise","ssp370",42.33,11.48,829.48,68.83,4848.27,109.14,3159.45,22872.62,111718.44,166025,28165.35,137859.65,21737.4,627.55
"Allol_eise","ssp585",37.08,7.83,688.18,65.27,3932.5,67.72,2868.15,20022.44,90395.43,136765,23411.26,113353.74,18133.65,546.75
"Aporr_cali","ssp126",17.14,23.76,619.3,36.98,4935.22,147.34,2950.73,24235.49,144575.42,209185,37276.02,171908.98,31514.15,129.48
"Aporr_cali","ssp370",15.95,21.4,454.53,33.84,4546.53,136.11,2884.02,23475.4,135880.42,196370,33994.05,162375.95,28719.77,202.04
"Aporr_cali","ssp585",17.4,19.28,505.52,34.73,3991.42,174.36,2871.13,22283.95,121502.23,176370,29538.33,146831.67,24758.74,211.24
"Aporr_long","ssp126",123.55,62,1298.57,105.24,10112.28,342.63,5450.48,41557.54,224940.38,332425,60133.97,272291.03,47956.2,476.13
"Aporr_long","ssp370",127.21,64.37,1296.17,107.49,9681.66,374.85,5382.84,41164.18,226509.32,332315,58883.81,273431.19,47082.41,524.5
"Aporr_long","ssp585",134.33,71.85,1277.99,110.27,9085.84,368.93,5282.94,39700.54,219888.88,321190,55948.7,265241.3,44671.73,596.7
"Aporr_rose","ssp126",61.84,33.81,1642.11,149.45,7496.96,536.82,3949.5,44782.43,225338.77,333885,59277.47,274607.53,49366.54,526.77
"Aporr_rose","ssp370",60.44,35.77,1534.42,139.91,7280.03,530.97,3899.52,43944.52,221815.08,328395,58204.91,270190.09,48600.23,554.12
"Aporr_rose","ssp585",75.47,29.68,1637.34,145.38,6811.7,579.23,3800.59,43693.11,217288.59,321230,55868.48,265361.52,46602.59,566.31
"Dendr_atte","ssp126",89.48,51.55,1434.79,71.26,6309.23,531,4569.26,31576.45,106339.24,188945,45929.05,143015.95,37151.05,821.7
"Dendr_atte","ssp370",108.09,50.18,1447.55,76.64,5797.9,645.49,4423.42,31103.59,103286.93,183780,44320.57,139459.43,36048.91,791.3
"Dendr_atte","ssp585",107.24,46.71,1274.65,69.79,4987.93,613.62,4233.74,29356.06,92292.18,167535,41039.4,126495.6,33863.28,689.81
