"IUCNcat","SSP","sumCell","coverage","coverage_km2","SpeciesID"
"Ia","ssp126",40.1253556422728,0.000552631578947368,200.626842105263,"_Mean"
"Ia","ssp370",40.4827622620469,0.000568421052631579,202.413157894737,"_Mean"
"Ia","ssp585",41.8328146551164,0.000578947368421053,209.163684210526,"_Mean"
"Ib","ssp126",76.4605864565049,0.000947368421052632,382.303157894737,"_Mean"
"Ib","ssp370",76.5591670231899,0.000947368421052632,382.795789473684,"_Mean"
"Ib","ssp585",78.0569296707454,0.000963157894736842,390.284736842105,"_Mean"
"II","ssp126",445.191728587203,0.00654210526315789,2225.95894736842,"_Mean"
"II","ssp370",435.526984413511,0.00644736842105263,2177.63421052632,"_Mean"
"II","ssp585",433.274212065088,0.00657368421052632,2166.37210526316,"_Mean"
"III","ssp126",27.7711830690162,0.000415789473684211,138.856315789474,"_Mean"
"III","ssp370",27.4099486715885,0.000410526315789474,137.048421052632,"_Mean"
"III","ssp585",27.1424541106837,0.000594736842105263,135.711578947368,"_Mean"
"IV","ssp126",1657.2337093076,0.0275526315789474,8286.16894736842,"_Mean"
"IV","ssp370",1602.89090542798,0.0270947368421053,8014.45421052632,"_Mean"
"IV","ssp585",1519.68629904113,0.0266368421052632,7598.43157894737,"_Mean"
"Not.Applicable","ssp126",162.82865640519,0.00245263157894737,814.143684210526,"_Mean"
"Not.Applicable","ssp370",166.931296154087,0.00255789473684211,834.656315789474,"_Mean"
"Not.Applicable","ssp585",164.515318237331,0.00256315789473684,822.575263157895,"_Mean"
"Not.Assigned","ssp126",1039.68443789022,0.0173473684210526,5198.42105263158,"_Mean"
"Not.Assigned","ssp370",1034.46052505336,0.0176473684210526,5172.30210526316,"_Mean"
"Not.Assigned","ssp585",1020.99465014454,0.0180578947368421,5104.97368421053,"_Mean"
"Not.Reported","ssp126",8586.85045455053,0.143678947368421,42934.2521052632,"_Mean"
"Not.Reported","ssp370",8475.48571657668,0.140921052631579,42377.4278947368,"_Mean"
"Not.Reported","ssp585",8323.50315396673,0.154889473684211,41617.5157894737,"_Mean"
"Outside.PA","ssp126",35892.1656653229,0.653926315789474,179460.828947368,"_Mean"
"Outside.PA","ssp370",35283.7895781936,0.657905263157895,176418.947894737,"_Mean"
"Outside.PA","ssp585",34119.1532324272,0.637342105263158,170595.767368421,"_Mean"
"Presence","ssp126",56653.2631578947,1,283266.315789474,"_Mean"
"Presence","ssp370",55665.4210526316,1,278327.105263158,"_Mean"
