"IUCNcat","sumCell","coverage","coverage_km2","SpeciesID"
"Ia",68.7006414644295,0.000863157894736842,343.502631578947,"_Mean"
"Ib",94.360423379809,0.000957894736842105,471.802105263158,"_Mean"
"II",709.333974024381,0.00762105263157895,3546.67052631579,"_Mean"
"III",49.3618936082216,0.000615789473684211,246.808947368421,"_Mean"
"IV",2185.80376762621,0.0265894736842105,10929.02,"_Mean"
"Not.Applicable",286.231844793961,0.00465789473684211,1431.15842105263,"_Mean"
"Not.Assigned",1410.23202526183,0.0162052631578947,7051.15947368421,"_Mean"
"Not.Reported",13140.1045980748,0.173057894736842,65700.5226315789,"_Mean"
"Outside.PA",50403.6606439528,0.622431578947368,252018.303157895,"_Mean"
"Presence",79305.4210526316,1,396527.105263158,"_Mean"
"Protected",14065.1919405482,0.183636842105263,70325.96,"_Mean"
"Unprotected",65240.2291120834,0.816363157894737,326201.145263158,"_Mean"
"V",10675.2348002962,0.143794736842105,53376.1721052632,"_Mean"
"VI",282.396440148927,0.0032,1411.98210526316,"_Mean"
"Ia",19.163275906781,2e-04,95.82,"Allol_chlo"
"Ib",5.18079470946395,1e-04,25.9,"Allol_chlo"
"II",419.971093890756,0.0054,2099.86,"Allol_chlo"
"III",51.9682231396123,7e-04,259.84,"Allol_chlo"
"IV",2021.93937975979,0.0258,10109.7,"Allol_chlo"
"Not.Applicable",231.980518808494,0.003,1159.9,"Allol_chlo"
"Not.Assigned",969.586528591971,0.0124,4847.93,"Allol_chlo"
"Not.Reported",11458.3838896712,0.1464,57291.92,"Allol_chlo"
"Outside.PA",53009.2609612473,0.6774,265046.3,"Allol_chlo"
"Presence",78254,1,391270,"Allol_chlo"
"Protected",12584.788101681,0.1608,62923.94,"Allol_chlo"
"Unprotected",65669.211898319,0.8392,328346.06,"Allol_chlo"
"V",9840.47829338508,0.1258,49202.39,"Allol_chlo"
"VI",226.087040889492,0.0029,1130.44,"Allol_chlo"
"Ia",23.5512140208539,4e-04,117.76,"Allol_eise"
"Ib",3.79576694426532,1e-04,18.98,"Allol_eise"
"II",264.818105254889,0.005,1324.09,"Allol_eise"
"III",37.7837907433859,7e-04,188.92,"Allol_eise"
"IV",1741.22121002098,0.0326,8706.11,"Allol_eise"
"Not.Applicable",170.802563284926,0.0032,854.01,"Allol_eise"
"Not.Assigned",704.652654509584,0.0132,3523.26,"Allol_eise"
"Not.Reported",8332.46044587485,0.1558,41662.3,"Allol_eise"
"Outside.PA",35538.0367969719,0.6644,177690.18,"Allol_eise"
"Presence",53492,1,267460,"Allol_eise"
"Protected",8746.0475393587,0.1635,43730.24,"Allol_eise"
"Unprotected",44745.9524606413,0.8365,223729.76,"Allol_eise"
"V",6470.68894986258,0.121,32353.44,"Allol_eise"
"VI",204.188502511753,0.0038,1020.94,"Allol_eise"
"Ia",6.00235557208123,1e-04,30.01,"Aporr_cali"
