"SpeciesID","cells_min","cells_max","cells_mean","cells_sd","area_km2_min","area_km2_max","area_km2_mean","area_km2_sd","scenario","cells","area_km2","area_km2_change","area_km2_change_p","area_km2_p_sd"
"Allol_chlo_future",87156,114797,96718.8,8027.92236242621,435780,573985,483594,40139.6118121311,"Allol_chlo_current",78254,391270,92324,0.235959823140031,0.102588012912135
"Allol_eise_future",56267,91286,70200.4,9796.86235339808,281335,456430,351002,48984.3117669904,"Aporr_rose_current",88139,440695,-89693,-0.203526248312325,0.111152411003053
"Aporr_cali_future",65583,84007,73137.9333333333,5711.23182192857,327915,420035,365689.666666667,28556.1591096428,"Allol_eise_current",53492,267460,98229.6666666667,0.367268625838132,0.106767961974287
"Aporr_long_future",91863,99870,95859.5333333333,2415.48684435211,459315,499350,479297.666666667,12077.4342217605,"Aporr_cali_current",62287,311435,167862.666666667,0.538997436597257,0.0387799515846341
"Aporr_rose_future",91232,102303,96013.3333333333,3283.33549190164,456160,511515,480066.666666667,16416.6774595082,"Aporr_long_current",100696,503480,-23413.3333333333,-0.0465030057466698,0.0326064142756578
"Dendr_atte_future",57118,105260,73068.9333333333,13034.2017809556,285590,526300,365344.666666667,65171.0089047781,"Dendr_atte_current",47551,237755,127589.666666667,0.536643463509355,0.27410994050505
"Dendr_illy_future",45,270,148.8,71.0786284938829,225,1350,744,355.393142469415,"Dendr_illy_current",325,1625,-881,-0.542153846153846,0.218703472288871
"Dendr_octa_future",104765,147315,122900.4,11535.6733334965,523825,736575,614502,57678.3666674826,"Dendr_octa_current",93555,467775,146727,0.313670033670034,0.123303653823917
"Dendr_rubi_future",132643,155377,142613.6,6769.09554836221,663215,776885,713068,33845.4777418111,"Dendr_rubi_current",129316,646580,66488,0.102830276222587,0.0523453830025845
"Eisen_feti_future",81380,85160,82963.0666666667,1103.72981079524,406900,425800,414815.333333333,5518.6490539762,"Eisen_feti_current",83038,415190,-374.666666666686,-0.000902398098862415,0.0132918640958987
"Eisen_tetr_future",33028,45903,39692,3007.13587036854,165140,229515,198460,15035.6793518427,"Eisen_tetr_current",40774,203870,-5410,-0.0265365183695492,0.073751308931391
"Lumbr_cast_future",113136,133794,122105.533333333,5869.66341048454,565680,668970,610527.666666667,29348.3170524227,"Lumbr_cast_current",126121,630605,-20077.3333333334,-0.0318382082814652,0.0465399371277149
"Lumbr_fest_future",54319,68433,59796.5333333333,4107.87791699709,271595,342165,298982.666666667,20539.3895849855,"Lumbr_fest_current",54860,274300,24682.6666666667,0.0899842022116904,0.0748792912321745
"Lumbr_rube_future",111148,134611,120927.266666667,7168.59014298455,555740,673055,604636.333333333,35842.9507149227,"Lumbr_rube_current",107566,537830,66806.3333333334,0.124214590731892,0.0666436433722975
"Lumbr_terr_future",119074,131829,124960.266666667,3382.37134623174,595370,659145,624801.333333333,16911.8567311587,"Lumbr_terr_current",135078,675390,-50588.6666666666,-0.0749028956109309,0.0250401349311638
"Octol_cyan_future",96780,120967,104177.733333333,7170.00041309689,483900,604835,520888.666666667,35850.0020654844,"Octol_cyan_current",95134,475670,45218.6666666667,0.0950631039726421,0.0753673808848244
"Octol_lact_future",88523,89616,89035.2,335.174197779517,442615,448080,445176,1675.87098889759,"Octol_lact_current",91098,455490,-10314,-0.0226437462951986,0.00367927065116157
"Octol_tyrt_future",25691,79210,67439.0666666667,14409.8245526479,128455,396050,337195.333333333,72049.1227632397,"Octol_tyrt_current",87659,438295,-101099.666666667,-0.230665799670694,0.164384998147913
"Satch_mamm_future",29498,35707,31828.5333333333,1564.99191539065,147490,178535,159142.666666667,7824.95957695325,"Satch_mamm_current",31860,159300,-157.333333333343,-0.000987654320987715,0.0491209012991416
