"Group_name","Species","SpeciesID","Fct_group","Comment","Ecogroup_Phillips","Acc_name","Species_Briones","Ecogroup_Briones","Species_final","Genus","Percent_Epigeic","Percent_Anecic","Percent_Endogeic","Ecogroup_Bottinelli","Ecogroup","kingdom","subkingdom","infrakingdom","superphylum","phylum","class","superorder","order","suborder","superfamily","family","Records","NumCells_2km"
"Earthworms","Agastrodrilus multivesiculatus","Agast_mult",NA,NA,"Endogeic","Agastrodrilus multivesiculatus",NA,NA,"Agastrodrilus multivesiculatus","Agastrodrilus",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Megascolecoidea","Acanthodrilidae",0,0
"Earthworms","Ailoscolex lacteospumosus","Ailos_lact",NA,NA,NA,"Ailoscolex lacteospumosus","Ailoscolex lacteospumosus","Endogeic","Ailoscolex lacteospumosus","Ailoscolex",0,0,100,"Endogeic","Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Ailoscolecidae",1,1
"Earthworms","Allolobophora altimontana","Allol_alti",NA,NA,NA,"Allolobophora altimontana",NA,NA,"Allolobophora altimontana","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
"Earthworms","Allolobophora antipai","Allol_anti",NA,NA,NA,"Allolobophora antipai",NA,NA,"Allolobophora antipai","Allolobophora",25,0,75,"Epi-endogeic","Epi-endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",2,2
"Earthworms","Allolobophora bellicosa","Allol_bell",NA,NA,NA,"Allolobophora bellicosa",NA,NA,"Allolobophora bellicosa","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",1,1
"Earthworms","Allolobophora biserialis","Allol_bise",NA,NA,NA,"Allolobophora biserialis",NA,NA,"Allolobophora biserialis","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
"Earthworms","Allolobophora borellii","Allol_bore",NA,NA,NA,"Allolobophora borellii",NA,NA,"Allolobophora borellii","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",2,0
"Earthworms","Allolobophora caliginosa","Allol_cali",NA,NA,NA,"Allolobophora caliginosa",NA,NA,"Allolobophora caliginosa","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",10,1
"Earthworms","Allolobophora carpatica","Allol_carp",NA,NA,NA,"Allolobophora carpatica",NA,NA,"Allolobophora carpatica","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
"Earthworms","Allolobophora cernosvitoviana","Allol_cern",NA,NA,NA,"Allolobophora cernosvitoviana",NA,NA,"Allolobophora cernosvitoviana","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
"Earthworms","Allolobophora chlorotica","Allol_chlo",NA,NA,"Epi-Endogeic","Allolobophora chlorotica","Allolobophora chlorotica","Epi-endogeic","Allolobophora chlorotica","Allolobophora",20.6666666666667,21.6666666666667,57.6666666666667,"Intermediate","Epi-endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",7339,2025
"Earthworms","Allolobophora dacica","Allol_daci",NA,NA,NA,"Allolobophora dacica",NA,NA,"Allolobophora dacica","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
"Earthworms","Allolobophora dofleini","Allol_dofl",NA,NA,NA,"Allolobophora dofleini",NA,NA,"Allolobophora dofleini","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",43,36
"Earthworms","Allolobophora exacystis","Allol_exac",NA,NA,NA,"Allolobophora exacystis",NA,NA,"Allolobophora exacystis","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
"Earthworms","Allolobophora gestroides","Allol_gest",NA,NA,NA,"Allolobophora gestroides",NA,NA,"Allolobophora gestroides","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
"Earthworms","Allolobophora giardi","Allol_giar",NA,NA,NA,"Allolobophora giardi",NA,NA,"Allolobophora giardi","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
"Earthworms","Allolobophora hispanica","Allol_hisp",NA,NA,NA,"Allolobophora hispanica",NA,NA,"Allolobophora hispanica","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
"Earthworms","Allolobophora jassyensis","Allol_jass",NA,NA,NA,"Allolobophora jassyensis",NA,NA,"Allolobophora jassyensis","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",8,7
"Earthworms","Allolobophora leoni","Allol_leon",NA,NA,NA,"Allolobophora leoni","Allolobophora leoni","Endogeic","Allolobophora leoni","Allolobophora",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",6,6
"Earthworms","Allolobophora mehadiensis","Allol_meha",NA,NA,NA,"Allolobophora mehadiensis","Allolobophora mehadiensis","Endogeic","Allolobophora mehadiensis","Allolobophora",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",1,1
"Earthworms","Allolobophora molleri","Allol_moll",NA,NA,NA,"Allolobophora molleri",NA,NA,"Allolobophora molleri","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",1,0
"Earthworms","Allolobophora morenoe","Allol_more",NA,NA,NA,"Allolobophora morenoe",NA,NA,"Allolobophora morenoe","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
"Earthworms","Allolobophora oculata","Allol_ocul",NA,NA,NA,"Allolobophora oculata",NA,NA,"Allolobophora oculata","Allolobophora",15,0,85,"Endogeic","Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
