Species,SpeciesID,Fct_group,Comment,Ecogroup_Phillips,Acc_name,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli,Ecogroup,kingdom,phylum,class,order,suborder,family,genus,Records,NumCells_2km,NumCells_1km
Agastrodrilus multivesiculatus,Agast_mult,NA,NA,Endogeic,Agastrodrilus multivesiculatus,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Agastrodrilus,4,0,0
Ailoscolex lacteospumosus,Ailos_lact,NA,NA,NA,Ailoscolex lacteospumosus,0,0,100,Endogeic,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Ailoscolecidae,Ailoscolex,1,1,1
Allolobophora antipae,Allol_anti,NA,NA,NA,Allolobophora,25,0,75,Epi-endogeic,Epi-endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,2,2,2
Allolobophora carpathica,Allol_carp,NA,NA,Anecic,Allolobophora carpathica,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,2,2,2
Allolobophora carpatica,Allol_carp,NA,NA,NA,Allolobophora carpatica,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,2,2,2
Allolobophora chlorotica,Allol_chlo,NA,NA,Epi-Endogeic,Allolobophora chlorotica,20.66666667,21.66666667,57.66666667,Intermediate,Intermediate,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,4324,1436,1572
Allolobophora cupulifera,Allol_cupu,NA,NA,NA,Allolobophora cupulifera,2,0,98,Endogeic,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,17,11,11
Allolobophora cyrnea,Allol_cyrn,NA,NA,NA,Allolobophora cyrnea,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,1,1,1
Allolobophora dubiosa,Allol_dubi,NA,NA,NA,Allolobophora dubiosa,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,2,2,2
Allolobophora dugesi,Allol_duge,NA,NA,NA,Allolobophora dugesi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,2,2,2
