"Variables","VIF_raw","VIF","MAP","MAP_Seas","MAT","MAT_Seas","Agriculture","Dist_Urban","Forest_Coni","Forest_Deci","NDVI","Pastures","Pop_Dens","Shrubland","Aspect","Dist_Coast","Dist_River","Elev","Slope","CEC","Clay.Silt","Cu","Hg","Moisture","N","P","pH","SOC"
"MAP",2.67409179419196,2.88815720841894,1,-0.161300889001762,-0.192448331187654,-0.308311291075262,-0.35641941358672,0.0965193961410622,0.0162833704927843,0.172916058445912,0.3342767941897,0.293603283183653,-0.00677450929751326,0.0480458937950279,0.0276868036897786,-0.0610082070956665,0.135856730019446,0.484828229086606,-0.56988535753848,0.0205298523154756,0.0956534307213961,0.0983139724533902,0.448453448574926,0.0883988524494325,0.604972482201454,-0.0715280880674059,-0.172258931514664,0.485676366673798
"MAP_Seas",1.80241525695873,1.8506448140191,-0.161300889001762,1,0.162957558622851,0.109227813635731,-0.00543255671987362,0.195811159319335,0.0609236947686394,-0.0646115319640174,-0.346530464116811,-0.208041413406064,-0.135960307607154,0.327580237777069,-0.00444234923298237,-0.102151932420544,0.0655447737151785,0.183607466017454,-0.148832834033978,-0.03413325397464,-0.0901581324400094,0.122049362392318,-0.151371616278792,-0.249704667509436,-0.21909534728876,-0.413242841341552,0.0785372624568536,-0.260287148625396
"MAT",6.7359468698859,6.72668706794418,-0.192448331187654,0.162957558622851,1,-0.553622791221934,0.537096692656496,-0.48508788671877,-0.553298689991144,-0.03309611579418,-0.107029353028035,0.070383286790231,0.108330329430106,-0.089510586460616,0.147931978718421,-0.0587549590001059,0.23351155196801,-0.167752348778572,0.0655103174419151,0.223882903189999,0.486502959783927,0.497358917265423,-0.20654214589797,-0.0152482861268251,-0.112645823003614,0.0312314902128685,0.702853460170948,-0.205620371799886
"MAT_Seas",5.41280417377431,4.50379453828847,-0.308311291075262,0.109227813635731,-0.553622791221934,1,-0.141299403150008,0.290581022535388,0.354219601781895,0.0551358992271573,-0.256762305034117,-0.365300705520894,-0.172224472045755,0.0501470574557898,-0.177788479845744,0.293604828726459,-0.318175251777581,-0.0257376934045556,0.105331711500403,0.0855953088685609,-0.259060355966127,-0.18942497024416,-0.118668596192933,-0.0830460495412834,-0.303225184801777,-0.259698661142228,-0.23775904776196,-0.238577206046218
"Agriculture",7.39545987992046,6.56422849752367,-0.35641941358672,-0.00543255671987362,0.537096692656496,-0.141299403150008,1,-0.338299952828456,-0.492935290488845,-0.322285521597485,-0.320982109394469,-0.21321569149954,-0.0222462929186151,-0.287815073343302,0.0664326317249235,0.00886187831878209,0.0993644732605265,-0.307366745479002,0.284854353365946,0.172650999487392,0.387111168007051,0.296086962747347,-0.309095407307998,-0.0380603409333884,-0.222660615545817,0.384944724566083,0.620922667011106,-0.285979416986373
"Dist_Urban",2.05532570896049,1.86591432019548,0.0965193961410622,0.195811159319335,-0.48508788671877,0.290581022535388,-0.338299952828456,1,0.311434872777178,-0.03929768507892,-0.180058153518958,-0.105601161552023,-0.169059868449522,0.285416549300257,-0.102064224625123,-0.125087835087121,-0.0606808230623281,0.187657846093774,-0.0391097200867255,-0.15693129080977,-0.30067994442276,-0.208800082371019,-0.0585841322870441,-0.262377316125432,-0.0505168717617664,-0.25177973535784,-0.308913799103163,0.0815645253483771
"Forest_Coni",6.02904805260476,5.30773320196828,0.0162833704927843,0.0609236947686394,-0.553298689991144,0.354219601781895,-0.492935290488845,0.311434872777178,1,-0.167577053780598,0.152399846114189,-0.259889112725572,-0.135424622627824,0.0127630756523612,-0.151702829291947,-0.0668313496178926,-0.232493497188993,0.0763960503631701,-0.0213608592280658,-0.254241110733548,-0.491097842999903,-0.344150612348034,0.147313701583432,0.118215493621539,-0.105989423482042,-0.26473186731082,-0.641045683978298,0.0897465084762435
"Forest_Deci",4.27846607180166,3.94459165442126,0.172916058445912,-0.0646115319640174,-0.03309611579418,0.0551358992271573,-0.322285521597485,-0.03929768507892,-0.167577053780598,1,0.371185605694827,-0.128441131500901,-0.0326367122801225,-0.0758579883285047,0.0362131671956588,0.159955884346266,0.0622145951383534,0.127263800269939,-0.212436909835779,0.0277445737929914,0.0611768739708175,0.0103947398146125,0.143639149536591,0.126426376865961,0.122019874586107,-0.315147528912785,-0.129209868689085,0.0959777840671413
"NDVI",3.42374098422738,3.54445808627074,0.3342767941897,-0.346530464116811,-0.107029353028035,-0.256762305034117,-0.320982109394469,-0.180058153518958,0.152399846114189,0.371185605694827,1,0.253569225599075,-0.0578837494550155,-0.156067403571768,0.0726067718868356,0.00205266305260567,0.0810924269049149,-0.119889079312162,-0.0367996192160458,-0.0718120090319529,-0.0588551327173135,-0.078895629806975,0.179009019994856,0.404580859939883,0.322292739778471,0.0736892430259745,-0.442020942128077,0.369481974533874
"Pastures",3.82199675425255,3.51052368269234,0.293603283183653,-0.208041413406064,0.070383286790231,-0.365300705520894,-0.21321569149954,-0.105601161552023,-0.259889112725572,-0.128441131500901,0.253569225599075,1,-0.0129449929404573,-0.130473583856598,0.1095922583096,0.0469945832982152,0.169986775409698,0.178174857418188,-0.125696862923113,0.066988597185563,0.151018545437301,0.0405711312671799,0.151917467438313,0.0299016256656875,0.418418162990495,0.22341061976897,0.0683077413044965,0.209368587743176
"Pop_Dens",1.27866543511359,1.36285663606768,-0.00677450929751326,-0.135960307607154,0.108330329430106,-0.172224472045755,-0.0222462929186151,-0.169059868449522,-0.135424622627824,-0.0326367122801225,-0.0578837494550155,-0.0129449929404573,1,-0.0817284211173911,0.0820442528010488,0.0148350748881593,0.00116425408977884,-0.092696988321494,0.0604785823697117,-0.0333523702918733,0.0892524074682215,0.0590662237999622,0.116162626692258,0.016661633939303,0.00193691356355839,0.151910520947177,0.0918872680347478,-0.0187485517780857
"Shrubland",2.44645405575728,2.22396266560708,0.0480458937950279,0.327580237777069,-0.089510586460616,0.0501470574557898,-0.287815073343302,0.285416549300257,0.0127630756523612,-0.0758579883285047,-0.156067403571768,-0.130473583856598,-0.0817284211173911,1,0.0167914283118134,-0.165376146379845,0.0875937615623479,0.215320551063635,-0.196379866927925,-0.0363635936740927,-0.107676146301772,-0.0548800720539022,-0.0663570789216116,-0.18919060537441,-0.0455669851183834,-0.28350919076052,-0.0642360063407146,-0.0773167103514195
"Aspect",1.06454443373351,1.10965516929064,0.0276868036897786,-0.00444234923298237,0.147931978718421,-0.177788479845744,0.0664326317249235,-0.102064224625123,-0.151702829291947,0.0362131671956588,0.0726067718868356,0.1095922583096,0.0820442528010488,0.0167914283118134,1,0.0353360795489809,0.138474025716745,0.00903150225776522,-0.0421788859582852,-0.0876430214999914,0.0535525092445729,-0.0209330670229784,-0.00690353914636868,0.0223040378811754,0.0110485401762894,0.0302795955675135,0.0550911426055996,0.00938478483259915
"Dist_Coast",1.83682149538369,1.96663989114918,-0.0610082070956665,-0.102151932420544,-0.0587549590001059,0.293604828726459,0.00886187831878209,-0.125087835087121,-0.0668313496178926,0.159955884346266,0.00205266305260567,0.0469945832982152,0.0148350748881593,-0.165376146379845,0.0353360795489809,1,-0.00882784843421584,0.239392351332592,-0.0332902381402969,0.0398439646517047,0.264874640827539,-0.108453995442511,0.0336325308289191,-0.0320681275379189,-0.0177282858546056,-0.0498828125670925,0.0484097139497781,-0.082594804841247
"Dist_River",1.30967294690162,1.30131439085207,0.135856730019446,0.0655447737151785,0.23351155196801,-0.318175251777581,0.0993644732605265,-0.0606808230623281,-0.232493497188993,0.0622145951383534,0.0810924269049149,0.169986775409698,0.00116425408977884,0.0875937615623479,0.138474025716745,-0.00882784843421584,1,0.19598344604674,-0.204299542816409,0.116109655955713,0.273588106115792,0.193873046682018,0.0544082717752587,-0.0305586065387396,0.145958351665816,0.014175134768977,0.235068610047197,0.0416131039950804
"Elev",2.99638876137255,3.98216479571791,0.484828229086606,0.183607466017454,-0.167752348778572,-0.0257376934045556,-0.307366745479002,0.187657846093774,0.0763960503631701,0.127263800269939,-0.119889079312162,0.178174857418188,-0.092696988321494,0.215320551063635,0.00903150225776522,0.239392351332592,0.19598344604674,1,-0.731475653652458,0.0487435570618468,0.168002909752591,0.0897721489589215,0.325298128615231,-0.11725494471945,0.395647257887314,-0.325104435090518,0.0634185220756015,0.0574021104944646
"Slope",2.68702145957029,3.13757327670017,-0.56988535753848,-0.148832834033978,0.0655103174419151,0.105331711500403,0.284854353365946,-0.0391097200867255,-0.0213608592280658,-0.212436909835779,-0.0367996192160458,-0.125696862923113,0.0604785823697117,-0.196379866927925,-0.0421788859582852,-0.0332902381402969,-0.204299542816409,-0.731475653652458,1,-0.169493542114806,-0.181767354670099,-0.210937530167231,-0.401181193187839,-0.0117608434696329,-0.446808971195511,0.273492086991083,-0.0836204809987385,-0.169037209132219
