"Variables","VIF_raw","VIF","MAP","MAP_Seas","MAT","MAT_Seas","Snow","Agriculture","Dist_Urb","Forest_Coni_2012","Forest_Deci_2012","Pastures","Pop_Dens","Shrubland","NDVI","Aspect","Dist_Coast","Dist_River","Elev","Slope","CEC","Clay","Cu","Hg","N","P","pH","Silt","SOC","Moisture"
"Aridity",11.8768338640922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAP",8.78447208849501,2.79498851304816,1,-0.141811448026467,-0.122056630097547,-0.42624556196088,-0.170275934708688,-0.305742126442669,0.0879263681471358,0.00598125323122648,0.162157641882835,0.20684187362597,-0.0418849588594816,0.038184499232384,0.332671930194537,-0.0132545343375651,-0.157143286621053,0.0805636761186883,0.31368666955876,-0.417631538239573,0.0672634089875001,0.0313532874692814,0.105403320312673,0.429033940713741,0.602040245275767,-0.0417432291162287,-0.209584313450067,0.035240186889219,0.526564717787053,0.14560602653839
"MAP_Seas",1.89544028241491,1.90406192213163,-0.141811448026467,1,0.136661591826969,0.187638168529577,0.239412068532593,-0.0553032638884178,0.187928419642784,0.0570352263299556,-0.0309695781678458,-0.130475191735299,-0.109495636495364,0.239789984911701,-0.371567299036865,-0.0938744757998479,-0.0320823017103129,0.00471004892433832,0.206796068902629,-0.150315103248978,-0.0441110428749765,-0.0887795813037691,0.105425090609616,-0.147628812193136,-0.213892364643053,-0.375364948638767,0.0439050225646697,-0.0651833066807902,-0.235329573302943,-0.233057545488574
"MAT",10.5798152269791,6.83397025746336,-0.122056630097547,0.136661591826969,1,-0.548791820665274,-0.512831674025902,0.436777413158041,-0.521727654048425,-0.479432768954784,-0.0670165934100171,0.0999932236194613,0.143001179839633,-0.0500105361117035,-0.0943005083872154,0.102892902013721,-0.0403240131751691,0.314904214121946,-0.0529315276339085,-0.00137005780832602,0.246966067570042,0.606895833093948,0.474566272051386,-0.183268467187242,0.0312768278617248,0.0327002372814443,0.70877044386429,0.323314476490253,-0.126637397626277,0.0121055677736252
"MAT_Seas",6.28562684930539,5.68670143546059,-0.42624556196088,0.187638168529577,-0.548791820665274,1,0.528545963850921,-0.125998754683747,0.317225102482907,0.314267704642493,0.0544990767850661,-0.264957159442473,-0.139218989920066,0.0177219239039603,-0.260541237042991,-0.100365295883552,0.364293987247536,-0.322354759408054,-0.0127530742837289,0.0662387703409133,-0.0102917532380539,-0.350330319917582,-0.17598231984895,-0.165703426011752,-0.459481163114728,-0.266115577561005,-0.249057896363312,-0.187158199969446,-0.382746429661757,-0.174892446550021
"Snow",2.44746904261896,2.26308746945604,-0.170275934708688,0.239412068532593,-0.512831674025902,0.528545963850921,1,-0.226844770149516,0.4368051080142,0.411003407751845,-0.0320704149448958,-0.215813516368339,-0.147152770069197,0.197661745715522,-0.197411336508725,-0.0690708447332978,-0.114990067747277,-0.202339564401658,-0.0644740409761268,0.119467022363775,-0.127983575908103,-0.418727662476821,-0.208336996468651,-0.0831991920021534,-0.322608631169599,-0.192494794713047,-0.352660697714529,-0.251337136973608,-0.126018371825533,-0.141010753225699
"Agriculture",5.91077810588175,7.17238046777737,-0.305742126442669,-0.0553032638884178,0.436777413158041,-0.125998754683747,-0.226844770149516,1,-0.329223815125023,-0.47349480820006,-0.327414683848969,-0.246912116884385,0.0367131129354128,-0.272216204670068,-0.333617695315009,0.0394407909076428,0.11292374695921,0.162115780717258,-0.229763911842914,0.243751259881345,0.134816965646483,0.325694285313731,0.182024223568397,-0.254697139030573,-0.155140487497576,0.408884357032332,0.571078092948773,0.276314784613573,-0.191431798858285,0.00092269192550459
"Dist_Urb",1.92269292179003,1.94831114338933,0.0879263681471358,0.187928419642784,-0.521727654048425,0.317225102482907,0.4368051080142,-0.329223815125023,1,0.308376813240065,0.0347936296217103,-0.12563609040108,-0.202086537971257,0.232096972078834,-0.163167214951269,-0.0798394029335153,-0.109440634284168,-0.129931230817201,0.107753318178094,-0.0195706855895745,-0.127481310019101,-0.368515386469898,-0.190161643218143,-0.0294524729140347,-0.155181401340775,-0.264631434757189,-0.346876984287459,-0.197396962932879,-0.0113224907171153,-0.224557103767727
"Forest_Coni_2012",4.90933073009208,6.20383025189353,0.00598125323122648,0.0570352263299556,-0.479432768954784,0.314267704642493,0.411003407751845,-0.47349480820006,0.308376813240065,1,-0.206344338691831,-0.221761657733701,-0.149658718476,-0.0416759707323255,0.165484500020458,-0.059795630743547,-0.0690955903000122,-0.245190028019708,0.0376939448431625,0.0349262993359318,-0.224377297599157,-0.471793296945236,-0.298482309176592,0.135356813804486,-0.171185029162601,-0.262251191048717,-0.579196597437575,-0.342423478963711,0.0538764998010457,0.0181976491676498
"Forest_Deci_2012",3.6954333826412,4.69137790882965,0.162157641882835,-0.0309695781678458,-0.0670165934100171,0.0544990767850661,-0.0320704149448958,-0.327414683848969,0.0347936296217103,-0.206344338691831,1,-0.136696458810532,-0.0324506109424942,-0.0833026050380256,0.315627893899944,-0.0151525838912321,0.00543969006462179,0.0504865869741789,0.18573324696619,-0.351627583124151,0.0447848115517723,0.0518703865992378,0.0677413841402355,0.10350803980294,0.165226808039068,-0.298992389212204,-0.114843869194439,0.0319282230069399,0.011556976133265,0.0603919126863557
