Predictor,maxent,Species,Run
Agriculture,3.715,Allol_chlo,1
Aspect,0.203,Allol_chlo,1
CEC,8.943,Allol_chlo,1
Clay.Silt,2.314,Allol_chlo,1
Cu,8.656,Allol_chlo,1
Dist_Coast,2.539,Allol_chlo,1
Dist_River,0.86,Allol_chlo,1
Dist_Urban,0.67,Allol_chlo,1
Elev,4.695,Allol_chlo,1
Forest_Coni,2.49,Allol_chlo,1
Forest_Deci,0.713,Allol_chlo,1
Hg,0.079,Allol_chlo,1
MAP,3.243,Allol_chlo,1
MAP_Seas,5.84,Allol_chlo,1
MAT,14.896,Allol_chlo,1
Moisture,0.893,Allol_chlo,1
N,5.926,Allol_chlo,1
NDVI,1.409,Allol_chlo,1
P,3.027,Allol_chlo,1
Pastures,3.928,Allol_chlo,1
Pop_Dens,8.244,Allol_chlo,1
SOC,0.313,Allol_chlo,1
Shrubland,0.423,Allol_chlo,1
Slope,0.403,Allol_chlo,1
pH,15.579,Allol_chlo,1
Agriculture,9.027,Allol_dofl,1
Aspect,0,Allol_dofl,1
CEC,0,Allol_dofl,1
Clay.Silt,90.487,Allol_dofl,1
Cu,0,Allol_dofl,1
Dist_Coast,0,Allol_dofl,1
Dist_River,0,Allol_dofl,1
Dist_Urban,0,Allol_dofl,1
Elev,0,Allol_dofl,1
Forest_Coni,0.088,Allol_dofl,1
Forest_Deci,0,Allol_dofl,1
Hg,0,Allol_dofl,1
MAP,0,Allol_dofl,1
MAP_Seas,0,Allol_dofl,1
MAT,0,Allol_dofl,1
Moisture,0,Allol_dofl,1
N,0,Allol_dofl,1
NDVI,0.059,Allol_dofl,1
P,0,Allol_dofl,1
Pastures,0,Allol_dofl,1
Pop_Dens,0,Allol_dofl,1
SOC,0,Allol_dofl,1
Shrubland,0,Allol_dofl,1
Slope,0,Allol_dofl,1
pH,0.339,Allol_dofl,1
Agriculture,0,Allol_rose,1
Aspect,0,Allol_rose,1
CEC,0,Allol_rose,1
Clay.Silt,0,Allol_rose,1
Cu,5.031,Allol_rose,1
Dist_Coast,13.836,Allol_rose,1
Dist_River,5.66,Allol_rose,1
Dist_Urban,0,Allol_rose,1
Elev,8.805,Allol_rose,1
Forest_Coni,0,Allol_rose,1
Forest_Deci,0,Allol_rose,1
Hg,0,Allol_rose,1
MAP,0,Allol_rose,1
MAP_Seas,0.629,Allol_rose,1
MAT,0,Allol_rose,1
Moisture,0,Allol_rose,1
N,0,Allol_rose,1
NDVI,5.031,Allol_rose,1
P,0,Allol_rose,1
Pastures,16.352,Allol_rose,1
Pop_Dens,44.654,Allol_rose,1
SOC,0,Allol_rose,1
Shrubland,0,Allol_rose,1
Slope,0,Allol_rose,1
pH,0,Allol_rose,1
Agriculture,7.445,Allol_eise,1
Aspect,0.183,Allol_eise,1
CEC,2.149,Allol_eise,1
Clay.Silt,8.721,Allol_eise,1
Cu,0.016,Allol_eise,1
Dist_Coast,9.671,Allol_eise,1
Dist_River,1.171,Allol_eise,1
Dist_Urban,0.121,Allol_eise,1
Elev,0.974,Allol_eise,1
Forest_Coni,9.775,Allol_eise,1
Forest_Deci,3.69,Allol_eise,1
Hg,2.138,Allol_eise,1
MAP,2.243,Allol_eise,1
MAP_Seas,3.042,Allol_eise,1
MAT,17.642,Allol_eise,1
Moisture,0.611,Allol_eise,1
N,0.866,Allol_eise,1
NDVI,2.073,Allol_eise,1
P,10.263,Allol_eise,1
Pastures,5.913,Allol_eise,1
Pop_Dens,2.859,Allol_eise,1
SOC,1.278,Allol_eise,1
Shrubland,0.251,Allol_eise,1
Slope,0.681,Allol_eise,1
pH,6.224,Allol_eise,1
Agriculture,6.229,Aporr_cali,1
Aspect,0.55,Aporr_cali,1
CEC,7.592,Aporr_cali,1
Clay.Silt,2.36,Aporr_cali,1
Cu,11.904,Aporr_cali,1
Dist_Coast,6.013,Aporr_cali,1
Dist_River,0.16,Aporr_cali,1
Dist_Urban,0.178,Aporr_cali,1
Elev,5.279,Aporr_cali,1
Forest_Coni,1.44,Aporr_cali,1
Forest_Deci,0.797,Aporr_cali,1
Hg,0.022,Aporr_cali,1
MAP,2.165,Aporr_cali,1
MAP_Seas,10.512,Aporr_cali,1
MAT,7.4,Aporr_cali,1
Moisture,2.662,Aporr_cali,1
N,7.39,Aporr_cali,1
NDVI,1.295,Aporr_cali,1
P,7.564,Aporr_cali,1
Pastures,3.667,Aporr_cali,1
Pop_Dens,8.067,Aporr_cali,1
SOC,1.317,Aporr_cali,1
Shrubland,0,Aporr_cali,1
Slope,0.223,Aporr_cali,1
pH,5.214,Aporr_cali,1
Agriculture,1.194,Aporr_cupu,1
Aspect,1.194,Aporr_cupu,1
CEC,0,Aporr_cupu,1
Clay.Silt,0.977,Aporr_cupu,1
Cu,0,Aporr_cupu,1
Dist_Coast,0,Aporr_cupu,1
Dist_River,10.858,Aporr_cupu,1
Dist_Urban,1.737,Aporr_cupu,1
Elev,0.651,Aporr_cupu,1
Forest_Coni,0.217,Aporr_cupu,1
Forest_Deci,1.086,Aporr_cupu,1
Hg,0.76,Aporr_cupu,1
MAP,0,Aporr_cupu,1
MAP_Seas,3.909,Aporr_cupu,1
MAT,0,Aporr_cupu,1
Moisture,2.932,Aporr_cupu,1
N,0,Aporr_cupu,1
NDVI,4.234,Aporr_cupu,1
P,2.823,Aporr_cupu,1
Pastures,1.737,Aporr_cupu,1
Pop_Dens,46.58,Aporr_cupu,1
SOC,0.651,Aporr_cupu,1
Shrubland,18.35,Aporr_cupu,1
Slope,0.109,Aporr_cupu,1
pH,0,Aporr_cupu,1
Agriculture,0.246,Aporr_hand,1
Aspect,0,Aporr_hand,1
CEC,0,Aporr_hand,1
Clay.Silt,0,Aporr_hand,1
Cu,0,Aporr_hand,1
Dist_Coast,14.496,Aporr_hand,1
Dist_River,0,Aporr_hand,1
Dist_Urban,4.668,Aporr_hand,1
Elev,0,Aporr_hand,1
Forest_Coni,0,Aporr_hand,1
Forest_Deci,1.72,Aporr_hand,1
Hg,1.72,Aporr_hand,1
MAP,0.491,Aporr_hand,1
MAP_Seas,0,Aporr_hand,1
MAT,0,Aporr_hand,1
Moisture,6.142,Aporr_hand,1
N,0,Aporr_hand,1
NDVI,9.337,Aporr_hand,1
P,23.096,Aporr_hand,1
Pastures,5.651,Aporr_hand,1
Pop_Dens,19.165,Aporr_hand,1
SOC,8.6,Aporr_hand,1
Shrubland,4.668,Aporr_hand,1
Slope,0,Aporr_hand,1
pH,0,Aporr_hand,1
Agriculture,1.31,Aporr_icte,1
Aspect,0,Aporr_icte,1
CEC,0,Aporr_icte,1
Clay.Silt,0,Aporr_icte,1
Cu,11.561,Aporr_icte,1
Dist_Coast,9.446,Aporr_icte,1
Dist_River,0,Aporr_icte,1
Dist_Urban,8.981,Aporr_icte,1
Elev,0,Aporr_icte,1
Forest_Coni,3.154,Aporr_icte,1
Forest_Deci,0,Aporr_icte,1
Hg,7.548,Aporr_icte,1
MAP,0,Aporr_icte,1
MAP_Seas,2.735,Aporr_icte,1
MAT,0,Aporr_icte,1
Moisture,4.642,Aporr_icte,1
N,0,Aporr_icte,1
NDVI,0,Aporr_icte,1
P,24.091,Aporr_icte,1
Pastures,0,Aporr_icte,1
Pop_Dens,19.388,Aporr_icte,1
SOC,0,Aporr_icte,1
Shrubland,0,Aporr_icte,1
Slope,6.989,Aporr_icte,1
pH,0.155,Aporr_icte,1
Agriculture,0.664,Aporr_jass,1
Aspect,0,Aporr_jass,1
CEC,0,Aporr_jass,1
Clay.Silt,3.32,Aporr_jass,1
Cu,1.062,Aporr_jass,1
Dist_Coast,0,Aporr_jass,1
Dist_River,0,Aporr_jass,1
Dist_Urban,0,Aporr_jass,1
Elev,0,Aporr_jass,1
Forest_Coni,0,Aporr_jass,1
Forest_Deci,0,Aporr_jass,1
Hg,9.695,Aporr_jass,1
MAP,1.461,Aporr_jass,1
MAP_Seas,0,Aporr_jass,1
MAT,24.834,Aporr_jass,1
Moisture,13.28,Aporr_jass,1
N,4.117,Aporr_jass,1
NDVI,1.992,Aporr_jass,1
P,0,Aporr_jass,1
Pastures,0,Aporr_jass,1
Pop_Dens,7.437,Aporr_jass,1
SOC,0.266,Aporr_jass,1
Shrubland,1.992,Aporr_jass,1
Slope,29.881,Aporr_jass,1
pH,0,Aporr_jass,1
Agriculture,0.259,Aporr_limi,1
Aspect,0.501,Aporr_limi,1
CEC,0.404,Aporr_limi,1
Clay.Silt,4.762,Aporr_limi,1
Cu,1.359,Aporr_limi,1
Dist_Coast,2.988,Aporr_limi,1
Dist_River,2.021,Aporr_limi,1
Dist_Urban,1.196,Aporr_limi,1
Elev,4.894,Aporr_limi,1
Forest_Coni,1.54,Aporr_limi,1
Forest_Deci,1.176,Aporr_limi,1
Hg,0.4,Aporr_limi,1
MAP,3.563,Aporr_limi,1
MAP_Seas,0.11,Aporr_limi,1
MAT,69.526,Aporr_limi,1
Moisture,3.071,Aporr_limi,1
N,0.086,Aporr_limi,1
NDVI,0.485,Aporr_limi,1
P,1.052,Aporr_limi,1
Pastures,0.037,Aporr_limi,1
Pop_Dens,0.364,Aporr_limi,1
SOC,0.03,Aporr_limi,1
Shrubland,0,Aporr_limi,1
Slope,0.054,Aporr_limi,1
pH,0.122,Aporr_limi,1
Agriculture,6.601,Aporr_long,1
Aspect,0.084,Aporr_long,1
CEC,7.784,Aporr_long,1
Clay.Silt,2.258,Aporr_long,1
Cu,0.638,Aporr_long,1
Dist_Coast,4.602,Aporr_long,1
Dist_River,0,Aporr_long,1
Dist_Urban,0.385,Aporr_long,1
Elev,3.493,Aporr_long,1
Forest_Coni,4.225,Aporr_long,1
Forest_Deci,1.775,Aporr_long,1
Hg,1.089,Aporr_long,1
MAP,3.777,Aporr_long,1
MAP_Seas,15.04,Aporr_long,1
MAT,17.92,Aporr_long,1
Moisture,2.399,Aporr_long,1
N,0.397,Aporr_long,1
NDVI,1.705,Aporr_long,1
P,5.75,Aporr_long,1
Pastures,3.186,Aporr_long,1
