Predictor,maxent,Species
Agriculture,3.033,Allol_chlo
Aspect,0.404,Allol_chlo
CEC,6.009,Allol_chlo
Clay.Silt,4.734,Allol_chlo
Cu,7.219,Allol_chlo
Dist_Coast,4.014,Allol_chlo
Dist_River,0.391,Allol_chlo
Dist_Urban,1.303,Allol_chlo
Elev,4.944,Allol_chlo
Forest_Coni,2.347,Allol_chlo
Forest_Deci,0.941,Allol_chlo
Hg,0.149,Allol_chlo
MAP,1.615,Allol_chlo
MAP_Seas,8.338,Allol_chlo
MAT,21.169,Allol_chlo
Moisture,2.19,Allol_chlo
N,1.532,Allol_chlo
NDVI,2.735,Allol_chlo
P,3.672,Allol_chlo
Pastures,1.984,Allol_chlo
Pop_Dens,3.779,Allol_chlo
SOC,0.341,Allol_chlo
Shrubland,0.594,Allol_chlo
Slope,1.294,Allol_chlo
pH,15.265,Allol_chlo
Agriculture,3.312,Aporr_rose
Aspect,0.187,Aporr_rose
CEC,4.14,Aporr_rose
Clay.Silt,4.006,Aporr_rose
Cu,5.711,Aporr_rose
Dist_Coast,6.039,Aporr_rose
Dist_River,0.852,Aporr_rose
Dist_Urban,6.476,Aporr_rose
Elev,2.598,Aporr_rose
Forest_Coni,2.058,Aporr_rose
Forest_Deci,1.305,Aporr_rose
Hg,1.685,Aporr_rose
MAP,0.07,Aporr_rose
MAP_Seas,12.01,Aporr_rose
MAT,14.286,Aporr_rose
Moisture,4.734,Aporr_rose
N,1.39,Aporr_rose
NDVI,5.554,Aporr_rose
P,6.62,Aporr_rose
Pastures,4.675,Aporr_rose
Pop_Dens,2.285,Aporr_rose
SOC,1.088,Aporr_rose
Shrubland,1.124,Aporr_rose
Slope,0.729,Aporr_rose
pH,7.068,Aporr_rose
Agriculture,7.757,Allol_eise
Aspect,0.574,Allol_eise
CEC,1.437,Allol_eise
Clay.Silt,6.85,Allol_eise
Cu,0,Allol_eise
Dist_Coast,15.462,Allol_eise
Dist_River,1.389,Allol_eise
Dist_Urban,0.107,Allol_eise
Elev,2.923,Allol_eise
Forest_Coni,0.759,Allol_eise
Forest_Deci,3.474,Allol_eise
Hg,1.432,Allol_eise
MAP,1.118,Allol_eise
MAP_Seas,4.892,Allol_eise
MAT,30.062,Allol_eise
Moisture,3.221,Allol_eise
N,0.08,Allol_eise
NDVI,0.318,Allol_eise
P,4.891,Allol_eise
Pastures,2.968,Allol_eise
Pop_Dens,2.357,Allol_eise
SOC,1.612,Allol_eise
Shrubland,1.092,Allol_eise
Slope,1.04,Allol_eise
pH,4.185,Allol_eise
Agriculture,2.995,Aporr_cali
Aspect,0.114,Aporr_cali
CEC,7.648,Aporr_cali
Clay.Silt,2.276,Aporr_cali
Cu,7.449,Aporr_cali
Dist_Coast,8.199,Aporr_cali
Dist_River,0.173,Aporr_cali
Dist_Urban,4.579,Aporr_cali
Elev,4.004,Aporr_cali
Forest_Coni,1.045,Aporr_cali
Forest_Deci,1.124,Aporr_cali
Hg,0.25,Aporr_cali
MAP,5.804,Aporr_cali
MAP_Seas,13.16,Aporr_cali
MAT,7.262,Aporr_cali
Moisture,5.436,Aporr_cali
N,2.824,Aporr_cali
NDVI,1.472,Aporr_cali
P,5.583,Aporr_cali
Pastures,2.582,Aporr_cali
Pop_Dens,5.075,Aporr_cali
SOC,1.564,Aporr_cali
Shrubland,0.38,Aporr_cali
Slope,0.339,Aporr_cali
pH,8.663,Aporr_cali
Agriculture,0,Aporr_cupu
Aspect,0,Aporr_cupu
CEC,0,Aporr_cupu
Clay.Silt,1.863,Aporr_cupu
Cu,0,Aporr_cupu
Dist_Coast,4.081,Aporr_cupu
Dist_River,0.458,Aporr_cupu
Dist_Urban,0.15,Aporr_cupu
Elev,19.118,Aporr_cupu
Forest_Coni,0,Aporr_cupu
Forest_Deci,0,Aporr_cupu
Hg,15.313,Aporr_cupu
MAP,0.363,Aporr_cupu
MAP_Seas,32.039,Aporr_cupu
MAT,0,Aporr_cupu
Moisture,4.949,Aporr_cupu
N,3.465,Aporr_cupu
NDVI,0.158,Aporr_cupu
P,0,Aporr_cupu
Pastures,10.024,Aporr_cupu
Pop_Dens,8.02,Aporr_cupu
SOC,0,Aporr_cupu
Shrubland,0,Aporr_cupu
Slope,0,Aporr_cupu
pH,0,Aporr_cupu
Agriculture,7.346,Aporr_icte
Aspect,1.141,Aporr_icte
CEC,0.288,Aporr_icte
Clay.Silt,6.442,Aporr_icte
Cu,0,Aporr_icte
Dist_Coast,7.749,Aporr_icte
Dist_River,0.878,Aporr_icte
Dist_Urban,0,Aporr_icte
Elev,9.91,Aporr_icte
Forest_Coni,0,Aporr_icte
Forest_Deci,0.659,Aporr_icte
Hg,14.903,Aporr_icte
MAP,0.062,Aporr_icte
MAP_Seas,5.431,Aporr_icte
MAT,7.045,Aporr_icte
Moisture,5.285,Aporr_icte
N,0.894,Aporr_icte
NDVI,3.016,Aporr_icte
P,0.947,Aporr_icte
