Predictor,biomod,Species
MAP_Seas,0.119,Allol_chlo
MAT,0.221,Allol_chlo
Agriculture,0.075,Allol_chlo
Pop_Dens,0.05,Allol_chlo
Dist_Coast,0.033,Allol_chlo
Elev,0.014,Allol_chlo
CEC,0.027,Allol_chlo
Clay.Silt,0.045,Allol_chlo
P,0.103,Allol_chlo
pH,0.042,Allol_chlo
MAP_Seas,0.077,Allol_eise
MAT,0.408,Allol_eise
Agriculture,0.034,Allol_eise
Pop_Dens,0.038,Allol_eise
Dist_Coast,0.292,Allol_eise
Elev,0.034,Allol_eise
CEC,0.021,Allol_eise
Clay.Silt,0.089,Allol_eise
P,0.017,Allol_eise
pH,0.142,Allol_eise
MAP_Seas,0.248,Aporr_cali
MAT,0.123,Aporr_cali
Agriculture,0.044,Aporr_cali
Pop_Dens,0.031,Aporr_cali
Dist_Coast,0.008,Aporr_cali
Elev,0.008,Aporr_cali
CEC,0.023,Aporr_cali
Clay.Silt,0.031,Aporr_cali
P,0.129,Aporr_cali
pH,0.02,Aporr_cali
MAP_Seas,0.049,Aporr_limi
MAT,0.217,Aporr_limi
Agriculture,0.114,Aporr_limi
Pop_Dens,0.028,Aporr_limi
Dist_Coast,0.023,Aporr_limi
Elev,0.056,Aporr_limi
CEC,0.017,Aporr_limi
Clay.Silt,0.043,Aporr_limi
P,0.29,Aporr_limi
pH,0.046,Aporr_limi
MAP_Seas,0.241,Aporr_long
MAT,0.125,Aporr_long
Agriculture,0.038,Aporr_long
Pop_Dens,0.028,Aporr_long
Dist_Coast,0.058,Aporr_long
Elev,0.027,Aporr_long
CEC,0.029,Aporr_long
Clay.Silt,0.051,Aporr_long
P,0.125,Aporr_long
pH,0.011,Aporr_long
MAP_Seas,0.172,Aporr_rose
MAT,0.159,Aporr_rose
Agriculture,0.053,Aporr_rose
Pop_Dens,0.035,Aporr_rose
Dist_Coast,0.012,Aporr_rose
Elev,0.008,Aporr_rose
CEC,0.023,Aporr_rose
Clay.Silt,0.091,Aporr_rose
P,0.103,Aporr_rose
pH,0.03,Aporr_rose
MAP_Seas,0.066,Dendr_atte
MAT,0.397,Dendr_atte
Agriculture,0.171,Dendr_atte
Pop_Dens,0.068,Dendr_atte
Dist_Coast,0.181,Dendr_atte
Elev,0.029,Dendr_atte
CEC,0.037,Dendr_atte
Clay.Silt,0.076,Dendr_atte
P,0.05,Dendr_atte
pH,0.316,Dendr_atte
MAP_Seas,0.398,Dendr_illy
MAT,0.056,Dendr_illy
Agriculture,0.002,Dendr_illy
Pop_Dens,0.006,Dendr_illy
Dist_Coast,0.739,Dendr_illy
Elev,0.004,Dendr_illy
CEC,0.019,Dendr_illy
Clay.Silt,0.012,Dendr_illy
P,0.002,Dendr_illy
pH,0.072,Dendr_illy
MAP_Seas,0.033,Dendr_octa
MAT,0.373,Dendr_octa
Agriculture,0.322,Dendr_octa
Pop_Dens,0.045,Dendr_octa
Dist_Coast,0.025,Dendr_octa
Elev,0.048,Dendr_octa
CEC,0.116,Dendr_octa
Clay.Silt,0.219,Dendr_octa
P,0.028,Dendr_octa
pH,0.137,Dendr_octa
MAP_Seas,0.109,Dendr_rubi
MAT,0.168,Dendr_rubi
Agriculture,0.141,Dendr_rubi
Pop_Dens,0.11,Dendr_rubi
Dist_Coast,0.075,Dendr_rubi
Elev,0.027,Dendr_rubi
CEC,0.011,Dendr_rubi
Clay.Silt,0.119,Dendr_rubi
P,0.072,Dendr_rubi
pH,0.141,Dendr_rubi
MAP_Seas,0.012,Eisen_feti
MAT,0.294,Eisen_feti
Agriculture,0.087,Eisen_feti
Pop_Dens,0.142,Eisen_feti
Dist_Coast,0.058,Eisen_feti
Elev,0.214,Eisen_feti
CEC,0.027,Eisen_feti
Clay.Silt,0.16,Eisen_feti
P,0.006,Eisen_feti
pH,0.019,Eisen_feti
MAP_Seas,0.285,Eisen_tetr
MAT,0.179,Eisen_tetr
Agriculture,0.02,Eisen_tetr
Pop_Dens,0.018,Eisen_tetr
Dist_Coast,0.05,Eisen_tetr
Elev,0.033,Eisen_tetr
CEC,0.007,Eisen_tetr
Clay.Silt,0.019,Eisen_tetr
P,0.027,Eisen_tetr
pH,0.004,Eisen_tetr
MAP_Seas,0.339,Lumbr_cast
MAT,0.047,Lumbr_cast
Agriculture,0.081,Lumbr_cast
Pop_Dens,0.054,Lumbr_cast
Dist_Coast,0.038,Lumbr_cast
Elev,0.005,Lumbr_cast
CEC,0.01,Lumbr_cast
Clay.Silt,0.152,Lumbr_cast
P,0.112,Lumbr_cast
pH,0.017,Lumbr_cast
MAP_Seas,0.118,Lumbr_fest
MAT,0.075,Lumbr_fest
Agriculture,0.072,Lumbr_fest
Pop_Dens,0.01,Lumbr_fest
Dist_Coast,0.127,Lumbr_fest
Elev,0.037,Lumbr_fest
CEC,0.006,Lumbr_fest
Clay.Silt,0.035,Lumbr_fest
P,0.212,Lumbr_fest
pH,0.012,Lumbr_fest
