"SpeciesID","cells","area_km2","subset","cells_full","area_km2_full","area_km2_change","area_km2_change_p"
"Allol_chlo",86871,434355,75,77468,387340,47015,0.121379150100687
"Allol_eise",28893,144465,75,31594,157970,-13505,-0.0854909159967082
"Aporr_cali",68563,342815,75,69616,348080,-5265,-0.0151258331418065
"Aporr_limi",38498,192490,75,26435,132175,60315,0.456326839417439
"Aporr_long",90605,453025,75,94985,474925,-21900,-0.0461125440859083
"Aporr_rose",119091,595455,75,119737,598685,-3230,-0.00539515772067114
"Dendr_atte",33949,169745,75,25315,126575,43170,0.341062611100138
"Dendr_illy",19459,97295,75,3553,17765,79530,4.47678018575851
"Dendr_octa",100099,500495,75,107440,537200,-36705,-0.0683265078183172
"Dendr_rubi",79136,395680,75,146829,734145,-338465,-0.461032902219589
"Eisen_feti",46935,234675,75,43490,217450,17225,0.0792136123246723
"Eisen_tetr",52935,264675,75,40283,201415,63260,0.314077898865526
"Lumbr_cast",88815,444075,75,127771,638855,-194780,-0.304889215862754
"Lumbr_fest",48720,243600,75,40510,202550,41050,0.202666008392989
"Lumbr_rube",53689,268445,75,119342,596710,-328265,-0.550124851267785
"Lumbr_terr",140215,701075,75,114286,571430,129645,0.226878182804543
"Octol_cyan",120054,600270,75,109063,545315,54955,0.100776615350761
"Octol_lact",71626,358130,75,89185,445925,-87795,-0.196882883893031
"Octol_tyrt",90085,450425,75,102103,510515,-60090,-0.117704670773631
"Satch_mamm",23359,116795,75,26644,133220,-16425,-0.123292298453686
"Allol_chlo",93353,466765,90,77468,387340,79425,0.205052408736511
"Allol_eise",30063,150315,90,31594,157970,-7655,-0.0484585680825473
"Aporr_cali",148181,740905,90,69616,348080,392825,1.1285480349345
"Aporr_limi",29354,146770,90,26435,132175,14595,0.110421789294496
"Aporr_long",94377,471885,90,94985,474925,-3040,-0.00640101068589777
"Aporr_rose",137161,685805,90,119737,598685,87120,0.145518928986028
"Dendr_atte",32189,160945,90,25315,126575,34370,0.271538613470275
"Dendr_illy",18436,92180,90,3553,17765,74415,4.18885448916409
"Dendr_octa",91524,457620,90,107440,537200,-79580,-0.148138495904691
"Dendr_rubi",80274,401370,90,146829,734145,-332775,-0.453282389718652
"Eisen_feti",55482,277410,90,43490,217450,59960,0.275741549781559
"Eisen_tetr",38304,191520,90,40283,201415,-9895,-0.0491274234788869
"Lumbr_cast",102839,514195,90,127771,638855,-124660,-0.195130350392499
"Lumbr_fest",48923,244615,90,40510,202550,42065,0.207677116761293
"Lumbr_rube",132564,662820,90,119342,596710,66110,0.110790836419701
"Lumbr_terr",127027,635135,90,114286,571430,63705,0.111483471291322
"Octol_cyan",110313,551565,90,109063,545315,6250,0.0114612655070922
"Octol_lact",74521,372605,90,89185,445925,-73320,-0.164422268318663
"Octol_tyrt",89999,449995,90,102103,510515,-60520,-0.118546957484109
"Satch_mamm",19525,97625,90,26644,133220,-35595,-0.267189611169494
