"SpeciesID","cells","area_km2","subset","cells_full","area_km2_full","area_km2_change","area_km2_change_p"
"Allol_chlo",104750,523750,75,78254,391270,132480,0.338589720653257
"Aporr_rose",108466,542330,75,88139,440695,101635,0.230624354712443
"Allol_eise",72557,362785,75,53492,267460,95325,0.356408434906154
"Aporr_cali",138998,694990,75,62287,311435,383555,1.23157320147061
"Aporr_long",110586,552930,75,100696,503480,49450,0.0982164137602288
"Dendr_atte",46407,232035,75,47551,237755,-5720,-0.0240583794241972
"Dendr_illy",5366,26830,75,325,1625,25205,15.5107692307692
"Dendr_octa",97639,488195,75,93555,467775,20420,0.0436534658756881
"Dendr_rubi",118497,592485,75,129316,646580,-54095,-0.0836632744594636
"Eisen_feti",88798,443990,75,83038,415190,28800,0.0693658325104169
"Eisen_tetr",64979,324895,75,40774,203870,121025,0.593638102712513
"Lumbr_cast",119274,596370,75,126121,630605,-34235,-0.0542891350369883
"Lumbr_fest",80997,404985,75,54860,274300,130685,0.476430915056507
"Lumbr_rube",118901,594505,75,107566,537830,56675,0.105377163787814
"Lumbr_terr",122856,614280,75,135078,675390,-61110,-0.090481055390219
"Octol_cyan",129964,649820,75,95134,475670,174150,0.366115163874114
"Octol_lact",115873,579365,75,91098,455490,123875,0.271959867395552
"Octol_tyrt",66878,334390,75,87659,438295,-103905,-0.237066359415462
"Satch_mamm",35448,177240,75,31860,159300,17940,0.112617702448211
"Allol_chlo",109043,545215,50,78254,391270,153945,0.393449536125949
"Aporr_rose",119279,596395,50,88139,440695,155700,0.353305574149922
"Allol_eise",75927,379635,50,53492,267460,112175,0.419408509683691
"Aporr_cali",147128,735640,50,62287,311435,424205,1.36209803008653
"Aporr_long",123032,615160,50,100696,503480,111680,0.221816159529673
"Dendr_atte",56841,284205,50,47551,237755,46450,0.195369182561881
"Dendr_illy",5308,26540,50,325,1625,24915,15.3323076923077
"Dendr_octa",95032,475160,50,93555,467775,7385,0.0157875046763936
"Dendr_rubi",122201,611005,50,129316,646580,-35575,-0.0550202604472764
"Eisen_feti",88783,443915,50,83038,415190,28725,0.0691851923215877
"Eisen_tetr",50647,253235,50,40774,203870,49365,0.242139598763918
"Lumbr_cast",127539,637695,50,126121,630605,7090,0.0112431712403168
"Lumbr_fest",71351,356755,50,54860,274300,82455,0.300601531170252
"Lumbr_rube",127525,637625,50,107566,537830,99795,0.185551196474722
"Lumbr_terr",132386,661930,50,135078,675390,-13460,-0.0199292260767853
"Octol_cyan",149965,749825,50,95134,475670,274155,0.57635545651397
"Octol_lact",115731,578655,50,91098,455490,123165,0.270401106500692
"Octol_tyrt",69867,349335,50,87659,438295,-88960,-0.202968320423459
"Satch_mamm",31207,156035,50,31860,159300,-3265,-0.020495919648462
"Allol_chlo",101277,506385,90,78254,391270,115115,0.294208602755131
"Aporr_rose",109252,546260,90,88139,440695,105565,0.239542086930871
"Allol_eise",68450,342250,90,53492,267460,74790,0.27963059896807
"Aporr_cali",132230,661150,90,62287,311435,349715,1.12291489395861
"Aporr_long",117031,585155,90,100696,503480,81675,0.162220942241996
"Dendr_atte",41002,205010,90,47551,237755,-32745,-0.137725810182751
"Dendr_illy",6124,30620,90,325,1625,28995,17.8430769230769
"Dendr_octa",103755,518775,90,93555,467775,51000,0.109026775693442
"Dendr_rubi",110619,553095,90,129316,646580,-93485,-0.144583810201367
"Eisen_feti",73269,366345,90,83038,415190,-48845,-0.117644933644837
"Eisen_tetr",72102,360510,90,40774,203870,156640,0.768332761073233
"Lumbr_cast",119886,599430,90,126121,630605,-31175,-0.0494366521039319
"Lumbr_fest",64024,320120,90,54860,274300,45820,0.167043383157127
"Lumbr_rube",112970,564850,90,107566,537830,27020,0.0502389230797836
"Lumbr_terr",123011,615055,90,135078,675390,-60335,-0.0893335702334947
"Octol_cyan",137270,686350,90,95134,475670,210680,0.442912102928501
"Octol_lact",115319,576595,90,91098,455490,121105,0.265878504467716
"Octol_tyrt",66923,334615,90,87659,438295,-103680,-0.236553006536693
"Satch_mamm",26100,130500,90,31860,159300,-28800,-0.180790960451977
