x,y,species logistic values
1.0,1.0,0.07484112
2.0,2.0,0.0016549022
3.0,3.0,0.5570126
4.0,4.0,0.4561582
5.0,5.0,0.36078787
6.0,6.0,0.121422514
7.0,7.0,0.0067850645
8.0,8.0,0.3231308
9.0,9.0,0.57754046
10.0,10.0,0.0071169557
11.0,11.0,0.21288504
12.0,12.0,0.236767
13.0,13.0,0.096521996
14.0,14.0,0.19694619
15.0,15.0,0.066519484
16.0,16.0,0.1789131
17.0,17.0,0.0049218955
18.0,18.0,0.025977893
19.0,19.0,0.4569234
20.0,20.0,0.42550984
21.0,21.0,0.048384424
22.0,22.0,0.43727323
23.0,23.0,0.17478319
24.0,24.0,0.612692
25.0,25.0,0.19985531
26.0,26.0,0.34923264
27.0,27.0,0.25268304
28.0,28.0,0.00805555
29.0,29.0,0.15810728
30.0,30.0,0.098254256
31.0,31.0,0.09574771
32.0,32.0,0.11406495
33.0,33.0,0.12560624
34.0,34.0,0.067699775
35.0,35.0,0.080056265
36.0,36.0,0.1170021
37.0,37.0,0.6219267
38.0,38.0,0.026306823
39.0,39.0,0.3549234
40.0,40.0,0.1593363
41.0,41.0,0.16657645
42.0,42.0,0.09771231
43.0,43.0,0.064786434
44.0,44.0,0.13651684
45.0,45.0,0.4224573
46.0,46.0,0.21735857
47.0,47.0,0.51839936
48.0,48.0,0.12257062
49.0,49.0,0.30354202
50.0,50.0,0.17207302
51.0,51.0,0.4212353
52.0,52.0,0.18813047
53.0,53.0,0.057225946
54.0,54.0,0.20734464
55.0,55.0,0.0015825895
56.0,56.0,0.33365268
57.0,57.0,0.25431672
58.0,58.0,0.08034029
59.0,59.0,0.51131576
60.0,60.0,0.40489164
61.0,61.0,0.3146447
62.0,62.0,0.6217231
63.0,63.0,0.049462087
64.0,64.0,0.33391017
65.0,65.0,0.06873154
66.0,66.0,0.007869906
67.0,67.0,0.20993191
68.0,68.0,0.09535219
69.0,69.0,0.37445486
70.0,70.0,0.0042606657
71.0,71.0,0.5359177
72.0,72.0,0.15631983
73.0,73.0,0.69262576
74.0,74.0,0.2681708
75.0,75.0,0.0943387
76.0,76.0,0.29639706
77.0,77.0,0.13059741
78.0,78.0,0.017285494
79.0,79.0,0.0061986
80.0,80.0,8.696609E-4
81.0,81.0,0.03469685
82.0,82.0,0.11551356
83.0,83.0,0.47280362
84.0,84.0,0.07142362
85.0,85.0,0.0029903438
86.0,86.0,0.5145876
87.0,87.0,0.070376016
88.0,88.0,0.5221346
89.0,89.0,0.015109824
90.0,90.0,0.3683268
91.0,91.0,0.3234946
92.0,92.0,0.3245545
93.0,93.0,0.039597906
94.0,94.0,0.07813269
95.0,95.0,0.15562865
96.0,96.0,0.45616895
97.0,97.0,0.09342273
98.0,98.0,0.6145133
99.0,99.0,0.54578847
100.0,100.0,0.24128644
101.0,101.0,0.07009757
102.0,102.0,0.019815668
103.0,103.0,0.13493738
104.0,104.0,0.15320243
105.0,105.0,0.07769247
106.0,106.0,0.0067792824
107.0,107.0,0.0016074446
108.0,108.0,0.06677961
109.0,109.0,0.090379454
110.0,110.0,0.27681845
111.0,111.0,0.07557324
112.0,112.0,0.12961169
113.0,113.0,0.39071882
114.0,114.0,0.25087783
115.0,115.0,0.048632417
116.0,116.0,0.10225307
117.0,117.0,9.605263E-4
118.0,118.0,0.42477575
119.0,119.0,0.013599917
120.0,120.0,0.014817773
121.0,121.0,0.31719872
122.0,122.0,0.44962224
123.0,123.0,0.024034489
124.0,124.0,0.23672059
125.0,125.0,0.60116845
126.0,126.0,0.2724468
127.0,127.0,0.0020667452
128.0,128.0,0.5530931
129.0,129.0,0.0015625542
130.0,130.0,0.10877333
131.0,131.0,0.079677336
132.0,132.0,0.3590884
133.0,133.0,0.27197596
134.0,134.0,0.07073594
135.0,135.0,0.59085304
136.0,136.0,0.23178808
137.0,137.0,0.0032940577
138.0,138.0,0.049963746
139.0,139.0,0.46333593
140.0,140.0,0.22458726
141.0,141.0,0.46729985
142.0,142.0,0.040107746
143.0,143.0,0.04974373
144.0,144.0,0.022149095
145.0,145.0,0.058589607
146.0,146.0,0.0071198805
147.0,147.0,0.6710998
148.0,148.0,0.577607
149.0,149.0,0.15111005
150.0,150.0,0.09195967
151.0,151.0,0.5485724
152.0,152.0,0.1516846
153.0,153.0,0.054352332
154.0,154.0,0.49999878
155.0,155.0,0.3215829
156.0,156.0,0.010894383
157.0,157.0,0.005346998
158.0,158.0,0.33721617
159.0,159.0,0.5111158
160.0,160.0,0.04545335
161.0,161.0,0.28004417
162.0,162.0,0.1714183
163.0,163.0,7.560911E-4
164.0,164.0,0.022710225
165.0,165.0,0.28137127
166.0,166.0,0.19909582
167.0,167.0,0.0010476396
168.0,168.0,0.14863151
169.0,169.0,0.15904586
170.0,170.0,0.08536676
