Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
6.1203E-8,0.00000612,0.000244896,1,0,0
6.66346E-8,0.000012784,0.000266625,0.999867725,0,0
1.16174E-7,0.000033983,0.000464755,0.999603175,0,0
1.23174E-7,0.000057997,0.000492745,0.999338624,0,0
1.65074E-7,0.00011516,0.000660249,0.998809524,0,0
1.91424E-7,0.000258687,0.000765562,0.997751323,0,0
2.10355E-7,0.000502354,0.000841206,0.996164021,0,0
2.48905E-7,0.001010767,0.000995216,0.993253968,0,0
3.59779E-7,0.00250093,0.001437892,0.986904762,0,0
4.73133E-7,0.005000542,0.00189007,0.978835979,0,0
6.39942E-7,0.010049724,0.002554734,0.967063492,0,0
9.938E-7,0.0250332,0.003961786,0.942857143,0,0
1.46033E-6,0.050120272,0.005810783,0.91547619,0,0
2.44225E-6,0.100225621,0.009680155,0.880555556,0,0
4.73251E-6,0.200207262,0.018589103,0.842989418,0.000856164,0
7.04368E-6,0.300591271,0.027418365,0.82037037,0.001712329,0
8.73286E-6,0.400529474,0.033771641,0.803571429,0.002568493,0
1.01246E-5,0.500175204,0.038944087,0.789550265,0.002568493,0
1.15835E-5,0.601072696,0.044307348,0.777248677,0.003424658,0
1.27962E-5,0.700137701,0.048719749,0.766534392,0.004280822,0
1.31793E-5,0.750895134,0.050105465,0.761375661,0.004280822,0
1.38148E-5,0.800725191,0.052394912,0.756481481,0.004280822,0
1.49013E-5,0.900888391,0.056283735,0.747222222,0.005136986,0
1.6179E-5,1.000170193,0.060815999,0.738756614,0.005136986,0
1.71156E-5,1.100189188,0.06411099,0.730820106,0.005136986,0
1.82488E-5,1.200981327,0.068066619,0.723280423,0.005993151,0
1.94329E-5,1.300776047,0.072164607,0.716269841,0.005993151,0
2.02875E-5,1.40012742,0.075100021,0.709656085,0.005993151,0
2.118E-5,1.501625998,0.07814563,0.703174603,0.006849315,0
2.34878E-5,1.750953247,0.085928563,0.688492063,0.006849315,0
2.55307E-5,2.00184207,0.092709506,0.675,0.007705479,0
2.76405E-5,2.250849991,0.099607838,0.662566138,0.011130137,0
2.95841E-5,2.502727115,0.105870436,0.650925926,0.011130137,0
3.1413E-5,2.752967198,0.111684272,0.640079365,0.01369863,0
3.35148E-5,3.002346434,0.118273285,0.62989418,0.015410959,0
3.53451E-5,3.253101637,0.123932002,0.620238095,0.017123288,0
3.7091E-5,3.5033,0.129262402,0.611111111,0.018835616,0
3.88736E-5,3.750231675,0.134638291,0.602513228,0.020547945,0
4.07E-5,4.000634155,0.140077813,0.594179894,0.022260274,0
4.1995E-5,4.252854157,0.143893573,0.586111111,0.023116438,0
4.38627E-5,4.501701874,0.149337548,0.578439153,0.024828767,0
4.58752E-5,4.752327839,0.155126452,0.571031746,0.02739726,0
4.78221E-5,5.000489905,0.160652047,0.564021164,0.029109589,0
4.93723E-5,5.252945432,0.165000691,0.557142857,0.031678082,0
5.08794E-5,5.503682256,0.169185036,0.550529101,0.032534247,0
5.24921E-5,5.75163747,0.173616778,0.544179894,0.03510274,0
5.39129E-5,6.00205016,0.177481915,0.537962963,0.036815068,0
5.54326E-5,6.253280247,0.181576506,0.531878307,0.04109589,0
5.70621E-5,6.500874128,0.185921539,0.526058201,0.042808219,0
5.90917E-5,6.750433536,0.19126961,0.52037037,0.043664384,0
6.08662E-5,7.002450349,0.195888315,0.514814815,0.045376712,0
6.24938E-5,7.256060258,0.200078426,0.509391534,0.047089041,0
6.41459E-5,7.502930923,0.204287308,0.504232804,0.047945205,0
6.61546E-5,7.751162066,0.209345101,0.499206349,0.04880137,0
6.75551E-5,8.005439383,0.212833845,0.494179894,0.050513699,0
6.87772E-5,8.250722602,0.215853041,0.489417989,0.053082192,0
7.04476E-5,8.501204905,0.219942226,0.484656085,0.056506849,0
7.24718E-5,8.751049363,0.224841024,0.480026455,0.060787671,0
7.42501E-5,9.000060821,0.229094242,0.475529101,0.061643836,0
7.59533E-5,9.255059984,0.233124202,0.471031746,0.063356164,0
7.78523E-5,9.501558403,0.237568171,0.466798942,0.065068493,0
7.97383E-5,9.754161573,0.241930967,0.462566138,0.065924658,0
8.135E-5,10.004037153,0.245619877,0.458465608,0.067636986,0
8.27824E-5,10.250220602,0.248868461,0.454497354,0.069349315,0
8.44803E-5,10.501769012,0.252683056,0.450529101,0.071917808,0
8.60916E-5,10.757775515,0.256267468,0.446560847,0.075342466,0
8.73889E-5,11.001087769,0.259128482,0.442857143,0.077054795,0
8.90982E-5,11.257077148,0.262864643,0.439021164,0.079623288,0
9.07565E-5,11.508431013,0.266453549,0.43531746,0.08390411,0
9.20559E-5,11.755076094,0.269241242,0.431746032,0.085616438,0
9.34882E-5,12.005558874,0.272289624,0.428174603,0.087328767,0
9.53173E-5,12.250638915,0.276145928,0.42473545,0.089041096,0
9.65008E-5,12.509536705,0.278619287,0.421164021,0.092465753,0
9.84007E-5,12.753138261,0.282554783,0.417857143,0.094178082,0
1.00119E-4,13.001514899,0.286077741,0.414550265,0.095890411,0
1.01573E-4,13.253654909,0.28903186,0.411243386,0.098458904,0
1.03668E-4,13.500228255,0.293244089,0.408068783,0.100171233,0
1.05921E-4,13.751847623,0.29771975,0.40489418,0.101883562,0
1.07523E-4,14.008110088,0.300867975,0.401719577,0.106164384,0
1.08877E-4,14.257037606,0.3035068,0.398677249,0.106164384,0
1.10637E-4,14.509915242,0.30690694,0.395634921,0.106164384,0
1.12178E-4,14.754971034,0.309858637,0.392724868,0.107876712,0
1.13647E-4,15.003434526,0.312646475,0.389814815,0.109589041,0
1.15766E-4,15.256035036,0.31663011,0.386904762,0.112157534,0
1.16962E-4,15.500595377,0.318858182,0.384126984,0.116438356,0
1.18633E-4,15.759791271,0.321947729,0.381216931,0.116438356,0
1.19589E-4,16.009989909,0.323702263,0.378439153,0.117294521,0
1.21062E-4,16.250624083,0.326388524,0.375793651,0.119863014,0
1.22988E-4,16.507072541,0.329867477,0.373015873,0.123287671,0
1.24426E-4,16.754823894,0.332441432,0.37037037,0.125,0
1.25387E-4,17.004775911,0.334152079,0.367724868,0.125,0
1.26719E-4,17.256741419,0.336506075,0.365079365,0.127568493,0
1.28039E-4,17.511384929,0.338824284,0.362433862,0.129280822,0
1.29732E-4,17.75621274,0.341773448,0.359920635,0.132705479,0
1.30944E-4,18.003898723,0.343868537,0.357407407,0.132705479,0
1.3208E-4,18.253640397,0.345820925,0.35489418,0.135273973,0
1.33679E-4,18.506331972,0.348546823,0.352380952,0.137842466,0
1.35963E-4,18.762396191,0.352404155,0.349867725,0.144691781,0
1.3747E-4,19.008346473,0.354923401,0.347486772,0.148116438,0
1.39337E-4,19.257681394,0.35801758,0.34510582,0.150684932,0
1.40235E-4,19.509314683,0.3594965,0.342724868,0.153253425,0
1.4115E-4,19.76255905,0.360995291,0.340343915,0.157534247,0
1.42502E-4,20.003410215,0.363197587,0.338095238,0.159246575,0
1.43569E-4,20.260997555,0.364923854,0.335714286,0.159246575,0
1.45113E-4,20.506523491,0.367406602,0.333465608,0.162671233,0
1.46076E-4,20.754177455,0.368945642,0.331216931,0.16609589,0
1.47248E-4,21.00382737,0.370807086,0.328968254,0.166952055,0
1.48357E-4,21.255265555,0.372559639,0.326719577,0.168664384,0
1.49524E-4,21.508622451,0.374394165,0.324470899,0.168664384,0
1.50604E-4,21.76384502,0.376080563,0.322222222,0.169520548,0
1.51743E-4,22.005812661,0.377850557,0.32010582,0.172945205,0
1.53687E-4,22.26527487,0.380847521,0.317857143,0.175513699,0
1.55126E-4,22.512495662,0.383047201,0.315740741,0.178938356,0
1.56584E-4,22.762184163,0.385259737,0.313624339,0.183219178,0
1.58156E-4,23.014026261,0.38762884,0.311507937,0.184931507,0
1.59152E-4,23.252088096,0.389120495,0.30952381,0.1875,0
1.6055E-4,23.508048112,0.391201185,0.307407407,0.192636986,0
1.6227E-4,23.750313293,0.393742231,0.30542328,0.197773973,0
1.63591E-4,24.011030452,0.395679088,0.303306878,0.204623288,0
1.65118E-4,24.257851716,0.39790281,0.301322751,0.208047945,0
1.66316E-4,24.506406322,0.39963629,0.299338624,0.209760274,0
1.68254E-4,24.757159599,0.402418373,0.297354497,0.213184932,0
1.69829E-4,25.010759561,0.404661464,0.29537037,0.215753425,0
1.71E-4,25.266326623,0.406318446,0.293386243,0.216609589,0
1.72269E-4,25.506736259,0.408103104,0.291534392,0.218321918,0
1.73084E-4,25.765672069,0.409243891,0.289550265,0.220034247,0
1.74216E-4,26.008752701,0.410820053,0.287698413,0.220890411,0
1.75886E-4,26.253580076,0.413131057,0.285846561,0.224315068,0
1.77606E-4,26.500861269,0.415492185,0.283994709,0.226883562,0
1.78298E-4,26.750031822,0.416437899,0.282142857,0.230308219,0
1.79627E-4,27.000579869,0.418243323,0.280291005,0.233732877,0
1.80944E-4,27.253103458,0.420021672,0.278439153,0.237157534,0
1.82286E-4,27.5073871,0.42182314,0.276587302,0.238869863,0
1.8336E-4,27.763524295,0.423255613,0.27473545,0.239726027,0
1.84803E-4,28.003055,0.425171225,0.273015873,0.243150685,0
1.8569E-4,28.262440977,0.426341422,0.271164021,0.246575342,0
1.87034E-4,28.504852459,0.428106215,0.269444444,0.249143836,0
1.88781E-4,28.76861904,0.43038378,0.267592593,0.251712329,0
1.8981E-4,29.01476061,0.431716813,0.265873016,0.255136986,0
1.91567E-4,29.262511988,0.433978717,0.264153439,0.257705479,0
1.93167E-4,29.512493476,0.436024118,0.262433862,0.261130137,0
1.94236E-4,29.764439511,0.437381551,0.260714286,0.26369863,0
1.95791E-4,30.018132016,0.439343976,0.258994709,0.264554795,0
1.9691E-4,30.253733469,0.440748019,0.257407407,0.267979452,0
1.97748E-4,30.510328252,0.4417953,0.255687831,0.270547945,0
1.99285E-4,30.768432168,0.443705945,0.253968254,0.272260274,0
2.00446E-4,31.008239224,0.445139619,0.252380952,0.274828767,0
2.01807E-4,31.269714917,0.446812445,0.250661376,0.276541096,0
2.02707E-4,31.512667318,0.447912138,0.249074074,0.278253425,0
2.0358E-4,31.756642751,0.448975637,0.247486772,0.279109589,0
2.04779E-4,32.001663796,0.450427923,0.245899471,0.282534247,0
2.06058E-4,32.26865168,0.451970253,0.244179894,0.283390411,0
2.07002E-4,32.516643172,0.453102187,0.242592593,0.286815068,0
2.08713E-4,32.76638923,0.455142663,0.241005291,0.289383562,0
2.1013E-4,33.017928239,0.456821959,0.239417989,0.29109589,0
2.11E-4,33.270601296,0.457846447,0.237830688,0.293664384,0
2.11733E-4,33.503336287,0.458707404,0.236375661,0.296232877,0
2.12583E-4,33.757973464,0.459702506,0.23478836,0.29880137,0
2.13921E-4,34.014135443,0.461262079,0.233201058,0.302226027,0
2.14754E-4,34.271329784,0.462227599,0.231613757,0.309075342,0
2.15714E-4,34.508106944,0.463335942,0.23015873,0.3125,0
2.1677E-4,34.767637705,0.464550783,0.228571429,0.315068493,0
2.18215E-4,35.007085999,0.466204224,0.227116402,0.317636986,0
2.18767E-4,35.269292415,0.466832158,0.225529101,0.321061644,0
2.19977E-4,35.510725119,0.468205783,0.224074074,0.322773973,0
2.20838E-4,35.753176814,0.469178684,0.222619048,0.325342466,0
2.22235E-4,36.018972298,0.470749896,0.221031746,0.327910959,0
2.23257E-4,36.264133431,0.47189226,0.21957672,0.331335616,0
2.24086E-4,36.510289131,0.472816841,0.218121693,0.332191781,0
2.2584E-4,36.757621979,0.474759889,0.216666667,0.333047945,0
2.2739E-4,37.006970568,0.476465649,0.21521164,0.335616438,0
2.28597E-4,37.257620376,0.477787221,0.213756614,0.338184932,0
2.29921E-4,37.509995777,0.479227837,0.212301587,0.340753425,0
2.30921E-4,37.763418485,0.480310733,0.210846561,0.342465753,0
2.32443E-4,38.018357774,0.48195162,0.209391534,0.345890411,0
2.33721E-4,38.251699102,0.483319993,0.208068783,0.350171233,0
2.34945E-4,38.509353997,0.48462511,0.206613757,0.351883562,0
