Predictor variable,Categorical,Sample average
Agriculture,false,0.1586006241822398
Aspect,false,0.38450380853681376
CEC,false,0.11258261522076057
Clay.Silt,false,0.3660604703901511
Cu,false,0.14478415815923254
Dist_Coast,false,-0.28759876616703417
Dist_River,false,-0.2854753427402027
Dist_Urban,false,-0.3461931581060364
Elev,false,-0.5186488098104697
Forest_Coni,false,-0.4222220912303023
Forest_Deci,false,-0.11104357274000418
Hg,false,0.2612927889622868
MAP,false,0.0660595623623696
MAP_Seas,false,-0.7868461902309145
MAT,false,0.4464362816686171
Moisture,false,0.15027876854626762
N,false,0.5184777528508787
NDVI,false,0.7004321454236785
P,false,0.915307810769276
Pastures,false,0.5769036918643637
Pop_Dens,false,0.6425753837194039
SOC,false,0.12599627075786424
Shrubland,false,-0.36183076768524286
Slope,false,0.37206811745910606
pH,false,0.3047279047387834
