X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,1.7753936364614048E-4,26.491281084651426,0.41540162548143345
2.0,2.0,train,2.359050017080802E-4,38.67962823352111,0.4856433448750411
3.0,3.0,train,5.439087878380725E-5,6.081067499896065,0.17877411432181825
4.0,4.0,train,6.277254442126274E-4,90.29552402861431,0.7152929212686939
5.0,5.0,train,1.8341118002022553E-4,27.77201991961991,0.423324405010354
6.0,6.0,train,1.0157331999752904E-4,13.253692571463699,0.28903185950611765
7.0,7.0,train,1.502944426959948E-4,21.690691306684332,0.3755979276495597
8.0,8.0,train,3.9475771529551447E-4,68.25035492714203,0.6123973450330669
9.0,9.0,train,2.527676564009601E-6,0.1039549303599292,0.010015344541616676
10.0,10.0,train,3.247867989801385E-4,56.43980742075635,0.5652009508833374
11.0,11.0,train,2.8513217578845455E-4,49.0711261897555,0.5329723911694108
12.0,12.0,train,2.1358631027906114E-4,33.950058625909826,0.4608725187764723
13.0,13.0,train,2.2806057656260778E-4,37.146224823730684,0.4772007416634558
14.0,14.0,train,2.487904530842828E-4,41.75450212944268,0.49893484892276174
15.0,15.0,train,3.991099834496739E-4,68.99607195183839,0.6149968021345272
16.0,16.0,train,1.2660261166722123E-4,17.23472501855415,0.33630182159012645
17.0,17.0,train,6.398592765673934E-4,91.01166846894162,0.7191757372825761
18.0,18.0,train,2.47481091426151E-4,41.37375502279713,0.4976156635179322
19.0,19.0,train,2.88091446232228E-4,49.77741050466547,0.5355415444425329
20.0,20.0,train,3.5072205061148395E-4,60.66259499049325,0.5839773354703562
21.0,21.0,train,2.017227539027455E-4,31.253529533706715,0.4467088413262429
22.0,22.0,train,3.797697896176574E-4,66.12320872107404,0.6031706103553783
23.0,23.0,train,5.732144931460606E-4,86.06856202675552,0.6964370447278726
24.0,24.0,train,3.452443779571168E-4,59.96393046090077,0.5801479839157091
25.0,25.0,train,3.16678815028225E-4,55.02928378302442,0.5589782721200232
26.0,26.0,train,4.1614800881007894E-4,71.24081186627821,0.6248461822138428
27.0,27.0,train,2.3519466258238703E-4,38.553636319881335,0.4848900830813197
28.0,28.0,train,1.0652543766564842E-4,13.848535941438145,0.2989112471076013
29.0,29.0,train,5.43266379681396E-4,84.16668155882132,0.6849745318416476
30.0,30.0,train,2.870980459998101E-4,49.511883030097515,0.5346822605522187
