"x","y","MAP","MAP_Seas","MAT","MAT_Seas","Agriculture","Dist_Urban","Forest_Coni","Forest_Deci","NDVI","Pastures","Pop_Dens","Shrubland","Aspect","Dist_Coast","Dist_River","Elev","Slope","CEC","Clay.Silt","Cu","Hg","Moisture","N","P","pH","SOC"
1,0.46,-0.32,0.05,-0.54,0.85,-0.12,0.16,0.29,0.14,0.01,-0.31,-0.08,-0.06,-0.1,0.26,-0.24,-0.16,0.08,0.13,-0.25,-0.16,-0.12,0.03,-0.28,-0.18,-0.3,-0.16
0.46,1,0.01,-0.22,-0.88,0.45,-0.38,0.44,0.52,-0.07,0.13,-0.13,-0.06,-0.01,-0.14,-0.11,-0.36,-0.36,0.31,-0.33,-0.59,-0.53,0.08,0.1,-0.11,0.14,-0.72,0.27
-0.32,0.01,1,-0.14,-0.14,-0.4,-0.36,0.08,0.02,0.12,0.37,0.3,-0.03,0.1,0.05,-0.14,0.04,0.33,-0.45,0.02,0.03,0.13,0.47,0.13,0.63,-0.06,-0.21,0.56
0.05,-0.22,-0.14,1,0.16,0.16,-0.03,0.2,0.04,-0.02,-0.36,-0.19,-0.09,0.31,-0.02,-0.05,0.07,0.23,-0.16,-0.03,-0.08,0.13,-0.12,-0.24,-0.22,-0.44,0.07,-0.27
-0.54,-0.88,-0.14,0.16,1,-0.55,0.52,-0.49,-0.56,-0.05,-0.12,0.09,0.11,-0.05,0.13,-0.07,0.3,-0.08,0.02,0.25,0.51,0.48,-0.2,-0.05,-0.04,0.02,0.72,-0.27
0.85,0.45,-0.4,0.16,-0.55,1,-0.13,0.3,0.37,0.1,-0.25,-0.39,-0.12,0,-0.13,0.35,-0.31,-0.02,0.1,0.03,-0.26,-0.2,-0.19,-0.12,-0.42,-0.29,-0.27,-0.3
-0.12,-0.38,-0.36,-0.03,0.52,-0.13,1,-0.37,-0.52,-0.34,-0.37,-0.22,0,-0.33,0.05,0.07,0.12,-0.28,0.3,0.14,0.4,0.21,-0.32,-0.05,-0.25,0.38,0.63,-0.33
0.16,0.44,0.08,0.2,-0.49,0.3,-0.37,1,0.36,0,-0.19,-0.12,-0.17,0.26,-0.08,-0.12,-0.1,0.15,-0.02,-0.16,-0.32,-0.2,-0.04,-0.23,-0.12,-0.28,-0.33,0.09
0.29,0.52,0.02,0.04,-0.56,0.37,-0.52,0.36,1,-0.17,0.15,-0.25,-0.12,0.03,-0.08,-0.05,-0.22,0.06,0,-0.28,-0.51,-0.34,0.13,0.09,-0.15,-0.28,-0.63,0.12
0.14,-0.07,0.12,-0.02,-0.05,0.1,-0.34,0,-0.17,1,0.35,-0.14,-0.06,-0.05,0.02,0.13,0.03,0.17,-0.28,0.08,0.09,0.09,0.07,0.05,0.15,-0.33,-0.13,0
0.01,0.13,0.37,-0.36,-0.12,-0.25,-0.37,-0.19,0.15,0.35,1,0.26,-0.07,-0.11,0.04,-0.02,0,-0.14,-0.07,-0.05,-0.06,-0.01,0.25,0.36,0.41,0.11,-0.45,0.39
-0.31,-0.13,0.3,-0.19,0.09,-0.39,-0.22,-0.12,-0.25,-0.14,0.26,1,-0.01,-0.12,0.06,-0.01,0.13,0.13,-0.12,0.1,0.15,0.05,0.21,0.03,0.49,0.25,0.06,0.26
-0.08,-0.06,-0.03,-0.09,0.11,-0.12,0,-0.17,-0.12,-0.06,-0.07,-0.01,1,-0.1,0.01,0.01,-0.01,-0.1,0.06,-0.02,0.07,0.08,0.09,0.01,-0.01,0.14,0.1,-0.05
-0.06,-0.01,0.1,0.31,-0.05,0,-0.33,0.26,0.03,-0.05,-0.11,-0.12,-0.1,1,-0.01,-0.18,0.02,0.22,-0.2,-0.04,-0.16,-0.01,-0.01,-0.09,-0.02,-0.3,-0.09,0.02
-0.1,-0.14,0.05,-0.02,0.13,-0.13,0.05,-0.08,-0.08,0.02,0.04,0.06,0.01,-0.01,1,0.02,0.06,0.03,-0.04,0,0.05,0.03,0,0.03,0.07,0,0.08,0.02
0.26,-0.11,-0.14,-0.05,-0.07,0.35,0.07,-0.12,-0.05,0.13,-0.02,-0.01,0.01,-0.18,0.02,1,-0.04,0.17,0,0.01,0.25,-0.11,-0.01,-0.04,-0.07,-0.05,0.02,-0.19
-0.24,-0.36,0.04,0.07,0.3,-0.31,0.12,-0.1,-0.22,0.03,0,0.13,-0.01,0.02,0.06,-0.04,1,0.21,-0.18,0.14,0.27,0.22,0.01,-0.06,0.14,-0.01,0.3,-0.02
