"x","y","MAP","MAP_Seas","MAT","MAT_Seas","Agriculture","Dist_Urban","Forest_Coni","Forest_Deci","NDVI","Pastures","Pop_Dens","Shrubland","Aspect","Dist_Coast","Dist_River","Elev","Slope","CEC","Clay.Silt","Cu","Hg","Moisture","N","P","pH","SOC"
1,0.47,-0.34,0.07,-0.53,0.84,-0.15,0.15,0.32,0.17,-0.02,-0.35,-0.09,-0.05,-0.17,0.24,-0.19,-0.15,0.1,0.1,-0.27,-0.17,-0.14,0.01,-0.3,-0.19,-0.32,-0.18
0.47,1,0.01,-0.2,-0.88,0.47,-0.46,0.45,0.54,-0.07,0.05,-0.17,-0.09,0.05,-0.25,-0.11,-0.37,-0.31,0.31,-0.36,-0.61,-0.54,0.07,0.04,-0.1,0.12,-0.74,0.23
-0.34,0.01,1,-0.14,-0.15,-0.39,-0.37,0.12,-0.01,0.12,0.27,0.33,-0.03,0.13,0.08,-0.14,0.02,0.35,-0.48,0.02,0.03,0.13,0.5,0.1,0.66,-0.06,-0.19,0.55
0.07,-0.2,-0.14,1,0.15,0.14,-0.04,0.2,0.04,-0.03,-0.36,-0.21,-0.07,0.35,-0.08,-0.07,0.16,0.19,-0.15,-0.02,-0.06,0.14,-0.15,-0.25,-0.23,-0.45,0.08,-0.27
-0.53,-0.88,-0.15,0.15,1,-0.57,0.57,-0.49,-0.56,-0.06,-0.02,0.1,0.15,-0.12,0.18,-0.06,0.34,-0.13,0.04,0.29,0.52,0.48,-0.21,0.01,-0.07,0.04,0.72,-0.22
0.84,0.47,-0.39,0.14,-0.57,1,-0.16,0.27,0.4,0.14,-0.22,-0.42,-0.13,0.03,-0.14,0.34,-0.33,0.01,0.1,-0.01,-0.27,-0.21,-0.2,-0.13,-0.41,-0.3,-0.3,-0.31
-0.15,-0.46,-0.37,-0.04,0.57,-0.16,1,-0.4,-0.54,-0.27,-0.2,-0.17,0.01,-0.35,0.2,0.11,0.14,-0.26,0.28,0.18,0.43,0.23,-0.33,-0.02,-0.25,0.35,0.65,-0.31
0.15,0.45,0.12,0.2,-0.49,0.27,-0.4,1,0.3,-0.01,-0.25,-0.13,-0.18,0.36,-0.15,-0.12,-0.14,0.15,-0.01,-0.15,-0.32,-0.2,-0.03,-0.23,-0.06,-0.28,-0.32,0.04
0.32,0.54,-0.01,0.04,-0.56,0.4,-0.54,0.3,1,-0.17,0.16,-0.27,-0.14,0.04,-0.1,-0.05,-0.22,0.04,0.02,-0.31,-0.54,-0.36,0.12,0.1,-0.18,-0.27,-0.66,0.1
0.17,-0.07,0.12,-0.03,-0.06,0.14,-0.27,-0.01,-0.17,1,0.33,-0.12,-0.07,-0.03,0.09,0.17,-0.01,0.17,-0.26,0.09,0.11,0.1,0.04,0.04,0.15,-0.3,-0.1,-0.01
