"x","y","MAP","MAP_Seas","MAT","MAT_Seas","Agriculture","Dist_Urban","Forest_Coni","Forest_Deci","NDVI","Pastures","Pop_Dens","Shrubland","Aspect","Dist_Coast","Dist_River","Elev","Slope","CEC","Clay.Silt","Cu","Hg","Moisture","N","P","pH","SOC"
1,0.43,-0.31,0.19,-0.53,0.86,-0.18,0.14,0.28,0.19,-0.11,-0.36,-0.21,0.11,-0.18,0.23,-0.31,-0.12,0.24,0.02,-0.27,-0.28,-0.15,0.12,-0.31,-0.15,-0.32,-0.06
0.43,1,0.1,-0.12,-0.86,0.45,-0.48,0.29,0.49,-0.04,0.04,-0.34,-0.37,0.1,-0.24,-0.07,-0.45,-0.31,0.39,-0.36,-0.62,-0.64,0.2,0.36,-0.08,0.21,-0.74,0.37
-0.31,0.1,1,-0.25,-0.2,-0.32,-0.42,0.11,0.12,0.15,0.43,0.2,-0.09,0.1,0.07,-0.14,0.06,0.27,-0.41,-0.01,0.05,0.17,0.47,0.23,0.56,-0.05,-0.25,0.54
0.19,-0.12,-0.25,1,-0.03,0.3,-0.14,0.29,0.12,-0.04,-0.37,-0.29,-0.3,0.4,-0.09,-0.01,-0.06,0.31,-0.17,-0.07,-0.14,-0.02,-0.21,-0.23,-0.31,-0.43,-0.04,-0.35
-0.53,-0.86,-0.2,-0.03,1,-0.58,0.62,-0.38,-0.61,-0.09,-0.04,0.27,0.47,-0.22,0.2,-0.13,0.39,-0.07,-0.1,0.29,0.55,0.56,-0.29,-0.33,-0.02,0,0.75,-0.38
0.86,0.45,-0.32,0.3,-0.58,1,-0.25,0.25,0.35,0.16,-0.28,-0.45,-0.34,0.2,-0.19,0.4,-0.42,0.07,0.21,-0.06,-0.3,-0.33,-0.16,0.04,-0.42,-0.22,-0.36,-0.17
-0.18,-0.48,-0.42,-0.14,0.62,-0.25,1,-0.46,-0.57,-0.15,-0.15,0.09,0.52,-0.47,0.19,0.07,0.27,-0.28,0.29,0.16,0.45,0.25,-0.35,-0.16,-0.13,0.34,0.65,-0.35
0.14,0.29,0.11,0.29,-0.38,0.25,-0.46,1,0.32,0.01,-0.14,-0.24,-0.71,0.45,-0.13,-0.08,-0.2,0.27,-0.14,-0.14,-0.34,-0.24,-0.03,-0.01,-0.12,-0.35,-0.33,0.06
0.28,0.49,0.12,0.12,-0.61,0.35,-0.57,0.32,1,0.03,0.2,-0.31,-0.38,0.31,-0.12,0.04,-0.26,0.12,-0.06,-0.36,-0.56,-0.47,0.18,0.32,-0.13,-0.22,-0.7,0.27
0.19,-0.04,0.15,-0.04,-0.09,0.16,-0.15,0.01,0.03,1,0.36,-0.01,-0.03,0.11,0.08,0.21,0,0.2,-0.26,0.03,0.07,0.03,0.06,0.13,0.17,-0.22,-0.12,0.08
-0.11,0.04,0.43,-0.37,-0.04,-0.28,-0.15,-0.14,0.2,0.36,1,0.29,0.17,-0.11,0.16,-0.03,0.12,-0.03,-0.18,-0.03,-0.01,0.01,0.37,0.37,0.47,0.08,-0.32,0.48
-0.36,-0.34,0.2,-0.29,0.27,-0.45,0.09,-0.24,-0.31,-0.01,0.29,1,0.28,-0.21,0.23,0.1,0.32,0.12,-0.22,0.2,0.28,0.22,0.18,-0.06,0.47,0.23,0.29,0.17
